Date,Close Price
2024-01-02,19.19
2023-12-29,18.79
2023-12-28,18.77
2023-12-27,18.51
2023-12-26,18.33
2023-12-22,18.28
2023-12-21,19.25
2023-12-20,18.77
2023-12-19,20.62
2023-12-18,19.37
2023-12-15,20.53
2023-12-14,19.56
2023-12-13,18.34
2023-12-12,17.12
2023-12-11,17.75
2023-12-08,17.92
2023-12-07,17.39
2023-12-06,16.77
2023-12-05,16.25
2023-12-04,16.74
2023-12-01,16.16
2023-11-30,15.24
2023-11-29,15.48
2023-11-28,15.26
2023-11-27,15.25
2023-11-24,15.31
2023-11-22,15.41
2023-11-21,15.79
2023-11-20,15.67
2023-11-17,15.61
2023-11-16,14.33
2023-11-15,14.69
2023-11-14,14.68
2023-11-13,13.34
2023-11-10,13.95
2023-11-09,13.47
2023-11-08,13.62
2023-11-07,14.07
2023-11-06,14.66
2023-11-03,15.0
2023-11-02,13.18
2023-11-01,12.07
2023-10-31,11.8
2023-10-30,11.56
2023-10-27,11.16
2023-10-26,11.46
2023-10-25,11.54
2023-10-24,11.98
2023-10-23,11.7
2023-10-20,12.23
2023-10-19,12.79
2023-10-18,12.8
2023-10-17,13.01
2023-10-16,12.72
2023-10-13,11.57
2023-10-12,11.76
2023-10-11,12.15
2023-10-10,12.33
2023-10-09,12.36
2023-10-06,11.73
2023-10-05,11.17
2023-10-04,11.35
2023-10-03,11.3
2023-10-02,11.42
2023-09-29,11.78
2023-09-28,11.3
2023-09-27,11.11
2023-09-26,10.77
2023-09-25,11.39
2023-09-22,11.87
2023-09-21,12.29
2023-09-20,11.54
2023-09-19,11.54
2023-09-18,11.71
2023-09-15,11.88
2023-09-14,11.63
2023-09-13,10.91
2023-09-12,11.05
2023-09-11,10.9
2023-09-08,10.52
2023-09-07,10.09
2023-09-06,10.98
2023-09-05,11.12
2023-09-01,11.36
2023-08-31,11.64
2023-08-30,11.97
2023-08-29,11.73
2023-08-28,11.47
2023-08-25,11.14
2023-08-24,11.5
2023-08-23,11.66
2023-08-22,11.23
2023-08-21,11.39
2023-08-18,11.37
2023-08-17,12.0
2023-08-16,11.84
2023-08-15,12.19
2023-08-14,12.26
2023-08-11,12.55
2023-08-10,12.58
2023-08-09,12.87
2023-08-08,13.62
2023-08-07,13.58
2023-08-04,13.92
2023-08-03,12.28
2023-08-02,12.1
2023-08-01,12.58
2023-07-31,12.62
2023-07-28,13.23
2023-07-27,12.94
2023-07-26,13.37
2023-07-25,12.89
2023-07-24,13.11
2023-07-21,13.28
2023-07-20,13.4
2023-07-19,13.91
2023-07-18,13.63
2023-07-17,12.83
2023-07-14,12.92
2023-07-13,13.12
2023-07-12,12.92
2023-07-11,13.1
2023-07-10,12.74
2023-07-07,12.73
2023-07-06,12.03
2023-07-05,12.11
2023-07-03,11.95
2023-06-30,11.95
2023-06-29,12.24
2023-06-28,11.61
2023-06-27,11.55
2023-06-26,11.27
2023-06-23,10.63
2023-06-22,10.7
2023-06-21,10.75
2023-06-20,10.71
2023-06-16,11.49
2023-06-15,11.81
2023-06-14,11.91
2023-06-13,12.05
2023-06-12,11.83
2023-06-09,11.97
2023-06-08,12.425
2023-06-07,12.62
2023-06-06,11.53
2023-06-05,11.44
2023-06-02,11.64
2023-06-01,11.41
2023-05-31,11.31
2023-05-30,11.78
2023-05-26,12.1
2023-05-25,11.96
2023-05-24,12.65
2023-05-23,12.9
2023-05-22,13.22
2023-05-19,13.38
2023-05-18,13.99
2023-05-17,14.02
2023-05-16,13.38
2023-05-15,14.32
2023-05-12,14.0
2023-05-11,14.29
2023-05-10,14.87
2023-05-09,16.11
2023-05-08,15.28
2023-05-05,15.06
2023-05-04,14.66
2023-05-03,16.73
2023-05-02,17.3
2023-05-01,17.97
2023-04-28,17.69
2023-04-27,17.37
2023-04-26,16.96
2023-04-25,17.4
2023-04-24,18.52
2023-04-21,18.36
2023-04-20,18.2
2023-04-19,18.53
2023-04-18,18.37
2023-04-17,18.43
2023-04-14,17.88
2023-04-13,18.41
2023-04-12,17.77
2023-04-11,18.54
2023-04-10,18.22
2023-04-06,17.59
2023-04-05,17.0
2023-04-04,17.13
2023-04-03,17.21
2023-03-31,17.58
2023-03-30,16.95
2023-03-29,16.94
2023-03-28,16.63
2023-03-27,16.48
2023-03-24,15.64
2023-03-23,16.19
2023-03-22,15.96
2023-03-21,16.63
2023-03-20,15.93
2023-03-17,16.0
2023-03-16,16.39
2023-03-15,16.74
2023-03-14,16.59
2023-03-13,16.85
2023-03-10,18.3
2023-03-09,19.46
2023-03-08,21.25
2023-03-07,21.0
2023-03-06,21.34
2023-03-03,22.67
2023-03-02,22.65
2023-03-01,22.89
2023-02-28,22.36
2023-02-27,22.77
2023-02-24,23.67
2023-02-23,24.61
2023-02-22,23.85
2023-02-21,23.93
2023-02-17,27.13
2023-02-16,20.5
2023-02-15,20.28
2023-02-14,18.4
2023-02-13,18.53
2023-02-10,17.95
2023-02-09,17.8
2023-02-08,18.04
2023-02-07,18.18
2023-02-06,18.43
2023-02-03,19.07
2023-02-02,19.69
2023-02-01,19.06
2023-01-31,18.51
2023-01-30,17.68
2023-01-27,18.26
2023-01-26,17.71
2023-01-25,17.54
2023-01-24,17.54
2023-01-23,17.64
2023-01-20,17.11
2023-01-19,17.09
2023-01-18,17.2
2023-01-17,17.58
2023-01-13,17.58
2023-01-12,17.87
2023-01-11,17.66
2023-01-10,17.66
2023-01-09,17.34
2023-01-06,17.01
2023-01-05,16.97
2023-01-04,16.78
2023-01-03,15.9
2022-12-30,15.67
2022-12-29,15.44
2022-12-28,14.48
2022-12-27,15.55
2022-12-23,15.55
2022-12-22,15.64
2022-12-21,15.26
2022-12-20,15.64
2022-12-19,15.67
2022-12-16,16.78
2022-12-15,17.04
2022-12-14,18.33
2022-12-13,18.54
2022-12-12,18.7
2022-12-09,17.87
2022-12-08,17.72
2022-12-07,17.41
2022-12-06,17.92
2022-12-05,18.76
2022-12-02,19.23
2022-12-01,19.84
2022-11-30,19.96
2022-11-29,19.48
2022-11-28,20.58
2022-11-25,20.91
2022-11-23,21.02
2022-11-22,20.77
2022-11-21,20.49
2022-11-18,20.82
2022-11-17,20.77
2022-11-16,20.5
2022-11-15,21.49
2022-11-14,21.0
2022-11-11,21.7
2022-11-10,19.26
2022-11-09,17.75
2022-11-08,19.19
2022-11-07,18.59
2022-11-04,18.39
2022-11-03,20.84
2022-11-02,21.74
2022-11-01,23.3
2022-10-31,22.51
2022-10-28,22.66
2022-10-27,22.03
2022-10-26,22.0
2022-10-25,22.46
2022-10-24,22.01
2022-10-21,22.21
2022-10-20,22.05
2022-10-19,22.07
2022-10-18,22.41
2022-10-17,22.52
2022-10-14,21.93
2022-10-13,22.25
2022-10-12,21.46
2022-10-11,21.25
2022-10-10,21.51
2022-10-07,21.12
2022-10-06,21.51
2022-10-05,21.55
2022-10-04,21.97
2022-10-03,21.18
2022-09-30,20.3
2022-09-29,20.68
2022-09-28,21.37
2022-09-27,20.25
2022-09-26,20.48
2022-09-23,21.38
2022-09-22,21.43
2022-09-21,21.98
2022-09-20,23.26
2022-09-19,23.8
2022-09-16,23.46
2022-09-15,23.54
2022-09-14,23.5
2022-09-13,23.77
2022-09-12,25.48
2022-09-09,25.3
2022-09-08,23.92
2022-09-07,24.07
2022-09-06,24.33
2022-09-02,25.32
2022-09-01,25.99
2022-08-31,26.79
2022-08-30,27.12
2022-08-29,27.21
2022-08-26,27.62
2022-08-25,28.45
2022-08-24,27.46
2022-08-23,26.28
2022-08-22,26.16
2022-08-19,28.27
2022-08-18,28.7
2022-08-17,28.99
2022-08-16,31.11
2022-08-15,30.98
2022-08-12,30.48
2022-08-11,30.47
2022-08-10,29.96
2022-08-09,29.44
2022-08-08,30.23
2022-08-05,28.93
2022-08-04,33.15
2022-08-03,32.59
2022-08-02,31.6
2022-08-01,31.13
2022-07-29,30.52
2022-07-28,31.91
2022-07-27,31.85
2022-07-26,31.02
2022-07-25,32.27
2022-07-22,32.31
2022-07-21,32.65
2022-07-20,32.56
2022-07-19,31.2
2022-07-18,29.95
2022-07-15,29.65
2022-07-14,28.76
2022-07-13,29.24
2022-07-12,29.15
2022-07-11,28.43
2022-07-08,29.26
2022-07-07,29.58
2022-07-06,28.72
2022-07-05,29.43
2022-07-01,29.47
2022-06-30,29.12
2022-06-29,29.12
2022-06-28,30.31
2022-06-27,30.56
2022-06-24,30.78
2022-06-23,28.72
2022-06-22,28.76
2022-06-21,28.25
2022-06-17,28.21
2022-06-16,28.1
2022-06-15,30.72
2022-06-14,30.28
2022-06-13,30.39
2022-06-10,33.07
2022-06-09,34.5
2022-06-08,35.7
2022-06-07,36.76
2022-06-06,36.26
2022-06-03,36.44
2022-06-02,38.09
2022-06-01,38.59
2022-05-31,39.26
2022-05-27,39.53
2022-05-26,38.94
2022-05-25,39.94
2022-05-24,38.51
2022-05-23,40.21
2022-05-20,40.54
2022-05-19,41.81
2022-05-18,41.07
2022-05-17,40.39
2022-05-16,35.86
2022-05-13,35.24
2022-05-12,33.94
2022-05-11,31.83
2022-05-10,32.4
2022-05-09,31.41
2022-05-06,32.45
2022-05-05,32.95
2022-05-04,35.07
2022-05-03,33.65
2022-05-02,33.34
2022-04-29,32.63
2022-04-28,33.44
2022-04-27,32.8
2022-04-26,34.0
2022-04-25,35.79
2022-04-22,35.48
2022-04-21,36.81
2022-04-20,38.12
2022-04-19,39.85
2022-04-18,37.69
2022-04-14,38.05
2022-04-13,38.92
2022-04-12,38.41
2022-04-11,38.17
2022-04-08,38.06
2022-04-07,37.58
2022-04-06,38.57
2022-04-05,39.38
2022-04-04,42.05
2022-04-01,41.22
2022-03-31,40.63
2022-03-30,42.69
2022-03-29,43.19
2022-03-28,41.59
2022-03-25,42.35
2022-03-24,41.43
2022-03-23,40.32
2022-03-22,39.79
2022-03-21,38.98
2022-03-18,40.5
2022-03-17,40.34
2022-03-16,39.85
2022-03-15,38.81
2022-03-14,41.19
2022-03-11,38.5
2022-03-10,39.72
2022-03-09,38.89
2022-03-08,38.85
2022-03-07,39.96
2022-03-04,41.83
2022-03-03,42.5
2022-03-02,43.44
2022-03-01,41.25
2022-02-28,41.45
2022-02-25,40.86
2022-02-24,41.06
2022-02-23,40.03
2022-02-22,37.57
2022-02-18,38.5
2022-02-17,37.41
2022-02-16,37.95
2022-02-15,44.66
2022-02-14,42.33
2022-02-11,43.36
2022-02-10,42.98
2022-02-09,42.77
2022-02-08,41.5
2022-02-07,39.69
2022-02-04,40.12
2022-02-03,40.51
2022-02-02,41.2
2022-02-01,42.02
2022-01-31,42.63
2022-01-28,40.16
2022-01-27,38.56
2022-01-26,38.27
2022-01-25,38.73
2022-01-24,37.27
2022-01-21,35.97
2022-01-20,38.94
2022-01-19,40.0
2022-01-18,40.56
2022-01-14,42.2
2022-01-13,41.96
2022-01-12,41.22
2022-01-11,41.71
2022-01-10,41.39
2022-01-07,40.62
2022-01-06,37.91
2022-01-05,38.39
2022-01-04,39.19
2022-01-03,37.2
2021-12-31,34.44
2021-12-30,35.68
2021-12-29,34.45
2021-12-28,35.05
2021-12-27,35.19
2021-12-23,35.92
2021-12-22,34.77
2021-12-21,35.07
2021-12-20,33.5
2021-12-17,35.31
2021-12-16,34.08
2021-12-15,34.33
2021-12-14,35.39
2021-12-13,37.09
2021-12-10,39.07
2021-12-09,38.84
2021-12-08,39.99
2021-12-07,40.79
2021-12-06,39.75
2021-12-03,38.55
2021-12-02,37.04
2021-12-01,35.44
2021-11-30,38.61
2021-11-29,39.51
2021-11-26,39.26
2021-11-24,41.22
2021-11-23,41.83
2021-11-22,44.25
2021-11-19,43.37
2021-11-18,44.35
2021-11-17,45.73
2021-11-16,46.85
2021-11-15,48.61
2021-11-12,46.69
2021-11-11,47.05
2021-11-10,47.21
2021-11-09,48.72
2021-11-08,48.71
2021-11-05,49.1
2021-11-04,42.97
2021-11-03,43.16
2021-11-02,42.13
2021-11-01,41.27
2021-10-29,39.79
2021-10-28,40.62
2021-10-27,39.83
2021-10-26,41.47
2021-10-25,42.6
2021-10-22,43.15
2021-10-21,44.5
2021-10-20,46.09
2021-10-19,45.35
2021-10-18,44.66
2021-10-15,45.2
2021-10-14,47.21
2021-10-13,46.16
2021-10-12,45.26
2021-10-11,45.2
2021-10-08,45.91
2021-10-07,45.85
2021-10-06,45.19
2021-10-05,45.98
2021-10-04,46.36
2021-10-01,47.34
2021-09-30,46.59
2021-09-29,47.33
2021-09-28,48.14
2021-09-27,47.92
2021-09-24,47.29
2021-09-23,46.64
2021-09-22,45.83
2021-09-21,45.21
2021-09-20,46.38
2021-09-17,47.68
2021-09-16,47.29
2021-09-15,47.42
2021-09-14,46.56
2021-09-13,46.98
2021-09-10,45.86
2021-09-09,46.49
2021-09-08,44.2
2021-09-07,44.59
2021-09-03,45.53
2021-09-02,46.96
2021-09-01,47.28
2021-08-31,47.53
2021-08-30,47.69
2021-08-27,48.24
2021-08-26,46.58
2021-08-25,47.16
2021-08-24,48.7
2021-08-23,49.33
2021-08-20,48.06
2021-08-19,47.33
2021-08-18,49.0
2021-08-17,49.97
2021-08-16,51.24
2021-08-13,51.41
2021-08-12,52.56
2021-08-11,55.46
2021-08-10,54.34
2021-08-09,52.9
2021-08-06,52.71
2021-08-05,49.53
2021-08-04,48.05
2021-08-03,47.96
2021-08-02,50.02
2021-07-30,50.04
2021-07-29,51.63
2021-07-28,52.6
2021-07-27,53.14
2021-07-26,54.65
2021-07-23,52.23
2021-07-22,53.43
2021-07-21,56.54
2021-07-20,54.36
2021-07-19,53.07
2021-07-16,55.01
2021-07-15,55.54
2021-07-14,57.48
2021-07-13,58.98
2021-07-12,62.71
2021-07-09,60.92
2021-07-08,58.86
2021-07-07,60.97
2021-07-06,61.84
2021-07-02,66.86
2021-07-01,65.99
2021-06-30,66.8
2021-06-29,66.73
2021-06-28,66.73
2021-06-25,65.15
2021-06-24,64.96
2021-06-23,64.31
2021-06-22,62.78
2021-06-21,61.26
2021-06-18,61.44
2021-06-17,61.62
2021-06-16,64.43
2021-06-15,63.35
2021-06-14,65.1
2021-06-11,64.97
2021-06-10,63.05
2021-06-09,66.16
2021-06-08,71.43
2021-06-07,70.0
2021-06-04,66.8
2021-06-03,56.77
2021-06-02,55.32
2021-06-01,54.25
2021-05-28,53.68
2021-05-27,53.31
2021-05-26,51.73
2021-05-25,49.89
2021-05-24,50.42
2021-05-21,50.97
2021-05-20,49.93
2021-05-19,49.02
2021-05-18,48.01
2021-05-17,47.53
2021-05-14,49.22
2021-05-13,47.45
2021-05-12,46.08
2021-05-11,47.91
2021-05-10,47.26
2021-05-07,47.22
2021-05-06,45.55
2021-05-05,45.15
2021-05-04,47.06
2021-05-03,47.94
2021-04-30,50.28
2021-04-29,51.15
2021-04-28,52.73
2021-04-27,53.0
2021-04-26,52.31
2021-04-23,52.54
2021-04-22,52.0
2021-04-21,52.06
2021-04-20,51.31
2021-04-19,52.29
2021-04-16,52.86
2021-04-15,51.64
2021-04-14,53.08
2021-04-13,52.39
2021-04-12,51.74
2021-04-09,51.62
2021-04-08,51.48
2021-04-07,52.19
2021-04-06,53.67
2021-04-05,51.8
2021-04-01,53.56
2021-03-31,53.16
2021-03-30,53.76
2021-03-29,52.5
2021-03-26,54.01
2021-03-25,60.87
2021-03-24,60.51
2021-03-23,64.74
2021-03-22,69.19
2021-03-19,69.27
2021-03-18,70.01
2021-03-17,72.57
2021-03-16,76.31
2021-03-15,76.17
2021-03-12,78.63
2021-03-11,73.6
2021-03-10,71.33
2021-03-09,71.28
2021-03-08,74.37
2021-03-05,69.07
2021-03-04,68.15
2021-03-03,68.74
2021-03-02,67.14
2021-03-01,71.13
2021-02-26,65.59
2021-02-25,53.07
2021-02-24,54.31
2021-02-23,51.92
2021-02-22,53.85
2021-02-19,50.27
2021-02-18,50.48
2021-02-17,51.16
2021-02-16,49.86
2021-02-12,49.55
2021-02-11,47.18
2021-02-10,47.44
2021-02-09,46.45
2021-02-08,47.22
2021-02-05,46.87
2021-02-04,44.81
2021-02-03,47.0
2021-02-02,45.79
2021-02-01,51.67
2021-01-29,49.42
2021-01-28,47.74
2021-01-27,48.27
2021-01-26,59.83
2021-01-25,54.41
2021-01-22,49.38
2021-01-21,43.09
2021-01-20,43.0
2021-01-19,43.69
2021-01-15,42.05
2021-01-14,42.95
2021-01-13,41.49
2021-01-12,41.11
2021-01-11,39.99
2021-01-08,39.18
2021-01-07,38.65
2021-01-06,37.99
2021-01-05,36.14
2021-01-04,35.6
2020-12-31,35.77
2020-12-30,35.47
2020-12-29,34.89
2020-12-28,34.2
2020-12-24,32.93
2020-12-23,33.735
2020-12-22,31.51
2020-12-21,31.69
2020-12-18,32.07
2020-12-17,32.4
2020-12-16,31.96
2020-12-15,32.85
2020-12-14,32.31
2020-12-11,32.18
2020-12-10,32.73
2020-12-09,32.39
2020-12-08,31.07
2020-12-07,32.11
2020-12-04,33.03
2020-12-03,32.4
2020-12-02,32.42
2020-12-01,32.36
2020-11-30,32.97
2020-11-27,34.11
2020-11-25,33.15
2020-11-24,32.99
2020-11-23,31.32
2020-11-20,30.12
2020-11-19,29.0
2020-11-18,28.98
2020-11-17,29.53
2020-11-16,28.39
2020-11-13,26.36
2020-11-12,24.86
2020-11-11,25.55
2020-11-10,26.34
2020-11-09,24.97
2020-11-06,23.89
2020-11-05,23.73
2020-11-04,23.26
2020-11-03,23.02
2020-11-02,22.63
2020-10-30,21.25
2020-10-29,21.31
2020-10-28,20.97
2020-10-27,21.99
2020-10-26,22.76
2020-10-23,23.36
2020-10-22,23.91
2020-10-21,24.51
2020-10-20,23.14
2020-10-19,23.0
2020-10-16,23.275
2020-10-15,22.62
2020-10-14,23.74
