Date,Close Price
2024-01-03,75.82
2024-01-02,77.44
2023-12-29,74.88
2023-12-28,75.12
2023-12-27,75.2
2023-12-26,75.71
2023-12-22,74.79
2023-12-21,73.12
2023-12-20,70.68
2023-12-19,71.26
2023-12-18,69.54
2023-12-15,70.11
2023-12-14,71.33
2023-12-13,69.67
2023-12-12,68.92
2023-12-11,69.83
2023-12-08,68.69
2023-12-07,68.8
2023-12-06,68.5
2023-12-05,70.3
2023-12-04,72.94
2023-12-01,69.21
2023-11-30,67.8
2023-11-29,68.29
2023-11-28,68.36
2023-11-27,67.25
2023-11-24,67.44
2023-11-22,67.81
2023-11-21,67.0
2023-11-20,66.99
2023-11-17,66.64
2023-11-16,65.87
2023-11-15,66.07
2023-11-14,63.28
2023-11-13,58.17
2023-11-10,60.44
2023-11-09,60.57
2023-11-08,60.48
2023-11-07,62.91
2023-11-06,65.35
2023-11-03,67.15
2023-11-02,72.75
2023-11-01,76.45
2023-10-31,75.86
2023-10-30,74.17
2023-10-27,75.7
2023-10-26,75.63
2023-10-25,73.66
2023-10-24,74.07
2023-10-23,73.17
2023-10-20,73.75
2023-10-19,73.34
2023-10-18,74.46
2023-10-17,73.85
2023-10-16,73.89
2023-10-13,73.89
2023-10-12,73.34
2023-10-11,77.13
2023-10-10,80.28
2023-10-09,79.29
2023-10-06,78.13
2023-10-05,83.11
2023-10-04,87.38
2023-10-03,83.08
2023-10-02,84.61
2023-09-29,85.18
2023-09-28,85.3
2023-09-27,82.82
2023-09-26,81.88
2023-09-25,83.14
2023-09-22,82.47
2023-09-21,82.06
2023-09-20,84.21
2023-09-19,87.45
2023-09-18,87.55
2023-09-15,88.07
2023-09-14,85.43
2023-09-13,84.07
2023-09-12,84.98
2023-09-11,85.7
2023-09-08,86.66
2023-09-07,85.76
2023-09-06,86.59
2023-09-05,86.96
2023-09-01,87.61
2023-08-31,88.38
2023-08-30,89.79
2023-08-29,87.54
2023-08-28,87.19
2023-08-25,87.53
2023-08-24,88.38
2023-08-23,88.67
2023-08-22,87.56
2023-08-21,89.3
2023-08-18,89.16
2023-08-17,87.8
2023-08-16,87.39
2023-08-15,90.49
2023-08-14,90.0
2023-08-11,89.81
2023-08-10,90.56
2023-08-09,91.93
2023-08-08,89.69
2023-08-07,90.3
2023-08-04,89.91
2023-08-03,101.68
2023-08-02,107.58
