Date,Close Price
2024-01-02,340.92
2023-12-29,338.92
2023-12-28,347.36
2023-12-27,353.29
2023-12-26,347.53
2023-12-22,339.89
2023-12-21,335.85
2023-12-20,340.42
2023-12-19,345.86
2023-12-18,319.84
2023-12-15,315.89
2023-12-14,296.08
2023-12-13,290.77
2023-12-12,287.98
2023-12-11,293.52
2023-12-08,299.32
2023-12-07,298.67
2023-12-06,296.01
2023-12-05,297.16
2023-12-04,294.4
2023-12-01,293.5
2023-11-30,280.56
2023-11-29,275.23
2023-11-28,276.13
2023-11-27,279.72
2023-11-24,273.21
2023-11-22,272.24
2023-11-21,263.14
2023-11-20,259.71
2023-11-17,259.06
2023-11-16,243.73
2023-11-15,242.84
2023-11-14,243.62
2023-11-13,227.37
2023-11-10,223.34
2023-11-09,219.5
2023-11-08,222.43
2023-11-07,207.03
2023-11-06,218.2
2023-11-03,219.81
2023-11-02,218.01
2023-11-01,223.4
2023-10-31,219.96
2023-10-30,221.65
2023-10-27,220.37
2023-10-26,220.39
2023-10-25,220.07
2023-10-24,218.27
2023-10-23,218.03
2023-10-20,219.51
2023-10-19,225.08
2023-10-18,229.34
2023-10-17,239.83
2023-10-16,227.9
2023-10-13,223.59
2023-10-12,223.49
2023-10-11,250.41
2023-10-10,253.14
2023-10-09,250.52
2023-10-06,245.13
2023-10-05,242.98
2023-10-04,239.86
2023-10-03,246.98
2023-10-02,251.47
2023-09-29,259.73
2023-09-28,265.53
2023-09-27,257.87
2023-09-26,245.26
2023-09-25,244.2
2023-09-22,235.43
2023-09-21,238.23
2023-09-20,238.33
2023-09-19,242.78
2023-09-18,246.62
2023-09-15,246.43
2023-09-14,244.63
2023-09-13,228.64
2023-09-12,220.4
2023-09-11,214.89
2023-09-08,218.05
2023-09-07,219.4
2023-09-06,217.39
2023-09-05,213.74
2023-09-01,213.25
2023-08-31,202.84
2023-08-30,201.58
2023-08-29,202.33
2023-08-28,199.84
2023-08-25,195.81
2023-08-24,192.33
2023-08-23,196.96
2023-08-22,195.18
2023-08-21,190.21
2023-08-18,195.94
2023-08-17,194.48
2023-08-16,195.39
2023-08-15,188.02
2023-08-14,190.29
2023-08-11,185.74
2023-08-10,182.72
2023-08-09,183.73
2023-08-08,180.01
2023-08-07,178.84
2023-08-04,176.65
2023-08-03,166.43
2023-08-02,170.6
2023-08-01,173.98
2023-07-31,173.22
2023-07-28,170.0
2023-07-27,167.95
2023-07-26,169.37
2023-07-25,168.59
2023-07-24,168.79
2023-07-21,164.27
2023-07-20,163.7
2023-07-19,159.58
2023-07-18,160.14
2023-07-17,154.04
2023-07-14,154.32
2023-07-13,156.81
2023-07-12,157.53
2023-07-11,161.03
2023-07-10,161.41
2023-07-07,160.12
2023-07-06,155.42
2023-07-05,163.63
2023-07-03,164.86
2023-06-30,164.36
2023-06-29,165.09
2023-06-28,159.65
2023-06-27,162.31
2023-06-26,161.83
2023-06-23,165.01
2023-06-22,164.92
2023-06-21,168.52
2023-06-20,164.29
2023-06-16,157.56
2023-06-15,158.95
2023-06-14,150.55
2023-06-13,150.21
2023-06-12,147.12
2023-06-09,150.17
2023-06-08,148.45
2023-06-07,153.94
2023-06-06,148.24
2023-06-05,142.9
2023-06-02,145.02
2023-06-01,140.84
2023-05-31,134.97
2023-05-30,136.73
2023-05-26,137.88
2023-05-25,137.8
2023-05-24,139.21
2023-05-23,142.94
2023-05-22,144.65
2023-05-19,144.44
2023-05-18,144.77
2023-05-17,146.86
2023-05-16,146.55
2023-05-15,155.2
2023-05-12,152.82
2023-05-11,157.95
2023-05-10,163.38
2023-05-09,159.87
2023-05-08,158.85
2023-05-05,147.12
2023-05-04,139.16
2023-05-03,138.37
2023-05-02,141.09
2023-05-01,140.74
2023-04-28,146.56
2023-04-27,146.41
2023-04-26,146.04
2023-04-25,146.73
2023-04-24,159.0
2023-04-21,155.87
2023-04-20,163.73
2023-04-19,167.92
2023-04-18,167.13
2023-04-17,163.84
2023-04-14,164.51
2023-04-13,165.51
2023-04-12,161.98
2023-04-11,158.89
2023-04-10,152.98
2023-04-06,153.77
2023-04-05,157.03
2023-04-04,158.12
2023-04-03,162.37
2023-03-31,156.0
2023-03-30,153.39
2023-03-29,153.37
2023-03-28,155.36
2023-03-27,151.79
2023-03-24,147.72
2023-03-23,144.88
2023-03-22,143.52
2023-03-21,146.97
