Date,Close Price
2024-01-03,11.35
2024-01-02,11.67
2023-12-29,11.85
2023-12-28,12.06
2023-12-27,11.93
2023-12-26,11.88
2023-12-22,11.52
2023-12-21,11.35
2023-12-20,10.91
2023-12-19,11.09
2023-12-18,10.84
2023-12-15,10.76
2023-12-14,10.73
2023-12-13,9.94
2023-12-12,9.56
2023-12-11,9.685
2023-12-08,9.37
2023-12-07,9.44
2023-12-06,9.31
2023-12-05,9.46
2023-12-04,9.52
2023-12-01,9.81
2023-11-30,9.32
2023-11-29,9.23
2023-11-28,9.14
2023-11-27,9.07
2023-11-24,9.12
2023-11-22,8.95
2023-11-21,8.99
2023-11-20,8.67
2023-11-17,8.65
2023-11-16,8.5
2023-11-15,8.5
2023-11-14,8.9
2023-11-13,8.46
2023-11-10,8.45
2023-11-09,8.16
2023-11-08,8.86
2023-11-07,9.05
2023-11-06,8.84
2023-11-03,8.61
2023-11-02,8.0
2023-11-01,8.19
2023-10-31,8.62
2023-10-30,8.34
2023-10-27,8.25
2023-10-26,8.36
2023-10-25,8.45
2023-10-24,8.44
2023-10-23,8.65
2023-10-20,8.88
2023-10-19,9.16
2023-10-18,9.35
2023-10-17,9.8
2023-10-16,9.71
2023-10-13,9.45
2023-10-12,9.27
2023-10-11,9.61
2023-10-10,9.59
2023-10-09,9.42
2023-10-06,9.36
2023-10-05,9.07
2023-10-04,9.0
2023-10-03,8.9
2023-10-02,9.18
2023-09-29,9.3
2023-09-28,9.32
2023-09-27,9.17
2023-09-26,9.08
2023-09-25,9.17
2023-09-22,8.99
2023-09-21,9.18
2023-09-20,9.4
2023-09-19,9.56
2023-09-18,9.68
2023-09-15,9.98
2023-09-14,10.04
2023-09-13,9.64
2023-09-12,9.6
2023-09-11,9.72
2023-09-08,9.58
2023-09-07,9.8
2023-09-06,9.66
2023-09-05,10.08
2023-09-01,10.08
2023-08-31,9.9
2023-08-30,9.83
2023-08-29,9.5
2023-08-28,9.54
2023-08-25,9.52
2023-08-24,9.72
2023-08-23,9.89
2023-08-22,9.8
2023-08-21,9.96
2023-08-18,10.31
2023-08-17,10.07
2023-08-16,10.17
2023-08-15,12.21
2023-08-14,11.98
2023-08-11,11.75
2023-08-10,12.3
2023-08-09,12.61
2023-08-08,11.6
2023-08-07,11.73
2023-08-04,12.05
2023-08-03,11.93
2023-08-02,11.56
2023-08-01,11.74
2023-07-31,11.46
2023-07-28,11.04
2023-07-27,11.02
2023-07-26,11.44
2023-07-25,11.36
2023-07-24,11.16
2023-07-21,11.09
2023-07-20,11.29
2023-07-19,11.49
2023-07-18,11.51
2023-07-17,11.25
2023-07-14,10.83
2023-07-13,10.59
2023-07-12,11.25
2023-07-11,11.16
2023-07-10,10.6
2023-07-07,10.16
2023-07-06,10.13
2023-07-05,10.3
2023-07-03,10.45
2023-06-30,10.43
2023-06-29,10.03
2023-06-28,9.97
2023-06-27,10.23
2023-06-26,9.45
2023-06-23,9.24
2023-06-22,9.43
2023-06-21,9.13
2023-06-20,9.13
2023-06-16,8.92
2023-06-15,9.09
2023-06-14,9.04
2023-06-13,9.24
2023-06-12,8.63
2023-06-09,8.44
2023-06-08,8.49
2023-06-07,8.05
2023-06-06,7.55
2023-06-05,7.24
2023-06-02,7.25
2023-06-01,6.81
2023-05-31,7.07
2023-05-30,7.13
2023-05-26,7.19
2023-05-25,7.16
2023-05-24,7.19
2023-05-23,7.42
2023-05-22,7.415
2023-05-19,7.37
2023-05-18,7.55
2023-05-17,7.62
2023-05-16,7.43
2023-05-15,8.44
2023-05-12,8.53
2023-05-11,8.63
2023-05-10,8.72
2023-05-09,8.57
2023-05-08,8.37
2023-05-05,8.19
2023-05-04,7.61
2023-05-03,7.43
2023-05-02,7.65
2023-05-01,7.98
2023-04-28,8.02
2023-04-27,7.83
2023-04-26,7.48
2023-04-25,7.68
2023-04-24,7.98
2023-04-21,8.16
2023-04-20,8.32
2023-04-19,8.16
2023-04-18,8.24
2023-04-17,8.07
2023-04-14,7.84
2023-04-13,7.85
2023-04-12,7.83
2023-04-11,7.87
2023-04-10,7.86
2023-04-06,7.56
2023-04-05,7.515
2023-04-04,7.5
2023-04-03,7.84
2023-03-31,8.29
2023-03-30,8.05
2023-03-29,8.33
2023-03-28,8.37
2023-03-27,8.23
2023-03-24,8.14
2023-03-23,8.32
2023-03-22,8.22
2023-03-21,8.72
2023-03-20,8.52
2023-03-17,8.52
2023-03-16,8.98
2023-03-15,8.59
2023-03-14,8.83
2023-03-13,8.84
2023-03-10,9.44
2023-03-09,10.24
2023-03-08,12.8
2023-03-07,13.11
2023-03-06,13.3
2023-03-03,14.18
2023-03-02,13.94
2023-03-01,13.98
2023-02-28,14.51
2023-02-27,14.41
2023-02-24,14.03
2023-02-23,14.3
2023-02-22,13.71
2023-02-21,13.4
2023-02-17,14.31
2023-02-16,14.58
2023-02-15,14.9
2023-02-14,14.38
2023-02-13,14.26
2023-02-10,13.88
2023-02-09,14.07
2023-02-08,14.49
2023-02-07,14.82
2023-02-06,14.53
2023-02-03,14.54
2023-02-02,14.58
2023-02-01,14.44
2023-01-31,14.15
2023-01-30,13.9
2023-01-27,13.42
2023-01-26,13.35
2023-01-25,13.54
2023-01-24,13.83
2023-01-23,13.92
2023-01-20,12.92
2023-01-19,12.32
2023-01-18,12.52
2023-01-17,13.13
2023-01-13,12.6
2023-01-12,12.87
2023-01-11,12.21
2023-01-10,11.95
2023-01-09,11.64
2023-01-06,10.24
2023-01-05,10.3
2023-01-04,10.09
2023-01-03,9.4
2022-12-30,9.75
2022-12-29,9.75
2022-12-28,9.5
2022-12-27,9.44
2022-12-23,9.24
2022-12-22,9.75
2022-12-21,9.79
2022-12-20,9.56
2022-12-19,9.51
2022-12-16,9.78
2022-12-15,9.51
2022-12-14,9.97
2022-12-13,9.84
2022-12-12,9.57
2022-12-09,9.56
2022-12-08,9.79
2022-12-07,9.55
2022-12-06,9.61
2022-12-05,9.9
2022-12-02,10.26
2022-12-01,9.93
2022-11-30,9.63
2022-11-29,9.36
2022-11-28,9.15
2022-11-25,9.19
2022-11-23,9.06
2022-11-22,8.77
2022-11-21,8.43
2022-11-18,8.55
2022-11-17,8.34
2022-11-16,8.49
2022-11-15,8.96
2022-11-14,8.93
2022-11-11,8.72
2022-11-10,8.93
2022-11-09,9.12
2022-11-08,9.35
2022-11-07,9.37
2022-11-04,8.71
2022-11-03,8.29
2022-11-02,8.07
2022-11-01,8.25
2022-10-31,8.33
2022-10-28,8.36
2022-10-27,8.16
2022-10-26,8.48
2022-10-25,8.47
2022-10-24,7.86
2022-10-21,7.74
2022-10-20,7.43
2022-10-19,7.51
2022-10-18,7.65
2022-10-17,7.64
2022-10-14,7.16
2022-10-13,7.18
2022-10-12,7.17
2022-10-11,7.22
2022-10-10,7.12
2022-10-07,7.27
2022-10-06,7.52
2022-10-05,7.48
2022-10-04,7.56
2022-10-03,7.36
2022-09-30,7.05
2022-09-29,7.39
2022-09-28,7.57
2022-09-27,7.6
2022-09-26,7.88
2022-09-23,7.88
2022-09-22,8.02
2022-09-21,8.57
2022-09-20,8.48
2022-09-19,8.38
2022-09-16,8.42
2022-09-15,8.45
2022-09-14,8.14
2022-09-13,8.24
2022-09-12,8.6
2022-09-09,9.06
2022-09-08,8.9
2022-09-07,9.24
2022-09-06,8.92
2022-09-02,8.55
2022-09-01,8.4
2022-08-31,8.56
2022-08-30,8.8
2022-08-29,8.83
2022-08-26,8.7
2022-08-25,9.23
2022-08-24,8.94
2022-08-23,8.87
2022-08-22,8.95
2022-08-19,8.94
2022-08-18,9.52
2022-08-17,8.92
2022-08-16,9.26
2022-08-15,8.84
2022-08-12,8.01
2022-08-11,7.93
2022-08-10,6.4
2022-08-09,5.88
2022-08-08,6.28
2022-08-05,6.01
2022-08-04,5.95
2022-08-03,5.98
2022-08-02,5.75
2022-08-01,5.61
2022-07-29,5.51
2022-07-28,5.42
2022-07-27,5.25
2022-07-26,5.15
2022-07-25,5.26
2022-07-22,5.52
2022-07-21,5.59
2022-07-20,5.65
2022-07-19,5.54
2022-07-18,5.36
2022-07-15,4.95
2022-07-14,4.71
2022-07-13,4.64
2022-07-12,4.56
2022-07-11,4.86
2022-07-08,4.95
2022-07-07,4.97
2022-07-06,4.6
2022-07-05,4.52
2022-07-01,4.47
2022-06-30,4.5
2022-06-29,5.02
2022-06-28,5.05
2022-06-27,5.44
2022-06-24,5.73
2022-06-23,5.57
2022-06-22,5.41
2022-06-21,5.46
2022-06-17,5.25
2022-06-16,4.98
2022-06-15,5.39
2022-06-14,5.27
2022-06-13,5.33
2022-06-10,5.53
2022-06-09,5.57
2022-06-08,5.69
2022-06-07,5.79
2022-06-06,5.76
2022-06-03,5.88
2022-06-02,5.99
2022-06-01,5.77
2022-05-31,5.79
2022-05-27,5.95
2022-05-26,5.92
2022-05-25,5.7
2022-05-24,5.36
2022-05-23,5.96
2022-05-20,5.58
2022-05-19,5.89
2022-05-18,5.96
2022-05-17,6.54
2022-05-16,6.08
2022-05-13,6.15
2022-05-12,6.19
2022-05-11,6.24
2022-05-10,6.82
2022-05-09,7.19
2022-05-06,7.4
2022-05-05,7.18
2022-05-04,7.5
2022-05-03,7.67
2022-05-02,7.32
2022-04-29,7.17
2022-04-28,7.41
2022-04-27,7.25
2022-04-26,7.12
2022-04-25,7.5
2022-04-22,7.19
2022-04-21,7.24
2022-04-20,7.75
2022-04-19,8.0
2022-04-18,7.44
2022-04-14,7.71
2022-04-13,7.94
2022-04-12,8.13
2022-04-11,8.09
2022-04-08,8.33
2022-04-07,8.09
2022-04-06,8.34
2022-04-05,8.9
2022-04-04,8.98
2022-04-01,8.54
2022-03-31,8.51
2022-03-30,8.7
2022-03-29,7.2
2022-03-28,7.36
2022-03-25,7.27
2022-03-24,7.61
2022-03-23,7.55
2022-03-22,7.65
2022-03-21,7.5
2022-03-18,7.66
2022-03-17,7.59
2022-03-16,7.09
2022-03-15,6.57
2022-03-14,6.3
2022-03-11,6.44
2022-03-10,6.76
2022-03-09,7.05
2022-03-08,6.61
2022-03-07,6.48
2022-03-04,6.48
2022-03-03,6.92
2022-03-02,7.1
2022-03-01,6.8
2022-02-28,6.68
