Date,Close Price
2024-01-02,716.92
2023-12-29,756.92
2023-12-28,757.85
2023-12-27,764.03
2023-12-26,762.68
2023-12-22,752.53
2023-12-21,755.27
2023-12-20,729.61
2023-12-19,744.72
2023-12-18,742.06
2023-12-15,752.96
2023-12-14,753.71
2023-12-13,735.29
2023-12-12,720.56
2023-12-11,710.24
2023-12-08,696.43
2023-12-07,699.65
2023-12-06,692.08
2023-12-05,694.53
2023-12-04,690.32
2023-12-01,692.2
2023-11-30,683.76
2023-11-29,687.61
2023-11-28,675.99
2023-11-27,688.38
2023-11-24,691.18
2023-11-22,684.8
2023-11-21,684.42
2023-11-20,694.31
2023-11-17,686.09
2023-11-16,680.87
2023-11-15,678.0
2023-11-14,675.41
2023-11-13,654.6
2023-11-10,661.28
2023-11-09,634.26
2023-11-08,639.29
2023-11-07,636.31
2023-11-06,637.44
2023-11-03,642.41
2023-11-02,631.39
2023-11-01,608.27
2023-10-31,598.81
2023-10-30,588.88
2023-10-27,590.0
2023-10-26,588.2
2023-10-25,583.34
2023-10-24,600.75
2023-10-23,587.79
2023-10-20,580.1
2023-10-19,587.73
2023-10-18,583.25
2023-10-17,608.63
2023-10-16,603.8
2023-10-13,599.75
2023-10-12,616.76
2023-10-11,606.19
2023-10-10,602.15
2023-10-09,591.37
2023-10-06,597.36
2023-10-05,581.69
2023-10-04,590.86
2023-10-03,570.6
2023-10-02,582.18
2023-09-29,588.66
2023-09-28,580.65
2023-09-27,574.53
2023-09-26,572.71
2023-09-25,586.13
2023-09-22,587.1
2023-09-21,582.12
2023-09-20,589.88
2023-09-19,593.77
2023-09-18,597.73
2023-09-15,596.66
2023-09-14,621.9
2023-09-13,617.05
2023-09-12,618.8
2023-09-11,627.71
2023-09-08,627.86
2023-09-07,637.79
2023-09-06,666.04
2023-09-05,663.56
2023-09-01,662.52
2023-08-31,660.53
2023-08-30,669.56
2023-08-29,667.51
2023-08-28,658.99
2023-08-25,651.01
2023-08-24,647.82
2023-08-23,677.12
2023-08-22,667.52
2023-08-21,662.52
2023-08-18,655.33
2023-08-17,644.34
2023-08-16,646.44
2023-08-15,651.7
2023-08-14,666.55
2023-08-11,661.78
2023-08-10,677.81
2023-08-09,672.49
2023-08-08,679.37
2023-08-07,693.42
2023-08-04,678.04
2023-08-03,681.01
2023-08-02,683.06
2023-08-01,708.71
2023-07-31,716.41
2023-07-28,718.37
2023-07-27,708.12
2023-07-26,684.3
2023-07-25,687.3
2023-07-24,684.48
2023-07-21,693.36
2023-07-20,676.13
2023-07-19,715.78
2023-07-18,757.03
2023-07-17,754.49
2023-07-14,754.02
2023-07-13,750.74
2023-07-12,724.86
2023-07-11,705.0
2023-07-10,709.83
2023-07-07,696.74
2023-07-06,699.31
2023-07-05,715.67
2023-07-03,733.88
2023-06-30,724.75
2023-06-29,723.35
2023-06-28,724.19
2023-06-27,725.08
2023-06-26,700.24
2023-06-23,697.89
2023-06-22,717.41
2023-06-21,707.3
2023-06-20,720.41
2023-06-16,721.88
2023-06-15,738.69
2023-06-14,740.21
2023-06-13,737.27
2023-06-12,730.17
2023-06-09,715.86
2023-06-08,720.05
2023-06-07,710.21
2023-06-06,716.63
2023-06-05,722.2
2023-06-02,724.65
2023-06-01,726.77
2023-05-31,722.93
2023-05-30,728.26
2023-05-26,735.93
2023-05-25,708.48
2023-05-24,666.79
2023-05-23,681.45
2023-05-22,698.64
2023-05-19,694.0
2023-05-18,695.93
2023-05-17,670.5
2023-05-16,652.05
2023-05-15,655.69
2023-05-12,647.51
2023-05-11,650.19
2023-05-10,657.14
2023-05-09,643.05
2023-05-08,654.99
2023-05-05,650.32
2023-05-04,635.05
2023-05-03,634.74
2023-05-02,634.05
2023-05-01,635.2
2023-04-28,636.86
2023-04-27,629.24
2023-04-26,609.1
2023-04-25,605.76
2023-04-24,627.38
2023-04-21,634.47
2023-04-20,633.57
2023-04-19,623.6
2023-04-18,643.33
2023-04-17,639.04
2023-04-14,666.2
2023-04-13,665.41
2023-04-12,654.66
2023-04-11,659.77
2023-04-10,661.64
