Date,Close Price
2024-01-03,23.25
2024-01-02,24.67
2023-12-29,26.21
2023-12-28,26.82
2023-12-27,25.84
2023-12-26,25.72
2023-12-22,25.61
2023-12-21,25.82
2023-12-20,26.74
2023-12-19,26.88
2023-12-18,27.09
2023-12-15,26.62
2023-12-14,25.93
2023-12-13,26.68
2023-12-12,25.05
2023-12-11,25.24
2023-12-08,25.53
2023-12-07,25.0
2023-12-06,24.21
2023-12-05,22.79
2023-12-04,23.4
2023-12-01,19.14
2023-11-30,18.42
2023-11-29,19.81
2023-11-28,20.71
2023-11-27,21.47
2023-11-24,22.36
2023-11-22,22.14
2023-11-21,22.7
2023-11-20,23.11
2023-11-17,22.34
2023-11-16,21.62
2023-11-15,22.33
2023-11-14,23.67
2023-11-13,23.92
2023-11-10,21.01
2023-11-09,22.45
2023-11-08,22.61
2023-11-07,22.52
2023-11-06,22.06
2023-11-03,22.36
2023-11-02,21.65
2023-11-01,20.8
2023-10-31,21.59
2023-10-30,20.99
2023-10-27,20.41
2023-10-26,20.83
2023-10-25,20.59
2023-10-24,21.23
2023-10-23,21.71
2023-10-20,22.5
2023-10-19,24.76
2023-10-18,25.09
2023-10-17,25.37
2023-10-16,25.19
2023-10-13,23.87
2023-10-12,24.33
2023-10-11,24.99
2023-10-10,24.88
2023-10-09,25.09
2023-10-06,23.99
2023-10-05,23.51
2023-10-04,23.62
2023-10-03,23.47
2023-10-02,24.07
2023-09-29,25.18
2023-09-28,24.63
2023-09-27,23.81
2023-09-26,24.02
2023-09-25,24.73
2023-09-22,25.24
2023-09-21,26.42
2023-09-20,25.33
2023-09-19,25.56
2023-09-18,25.89
2023-09-15,25.12
2023-09-14,25.85
2023-09-13,26.4
2023-09-12,26.52
2023-09-11,26.45
2023-09-08,26.49
2023-09-07,26.58
2023-09-06,31.41
2023-09-05,31.49
2023-09-01,31.5
2023-08-31,31.93
2023-08-30,32.13
2023-08-29,31.43
2023-08-28,31.49
2023-08-25,30.75
2023-08-24,30.08
2023-08-23,30.96
2023-08-22,29.59
2023-08-21,29.43
2023-08-18,29.98
2023-08-17,31.1
2023-08-16,31.14
2023-08-15,31.35
2023-08-14,31.77
2023-08-11,31.76
2023-08-10,31.46
2023-08-09,31.01
2023-08-08,30.99
2023-08-07,32.06
2023-08-04,30.49
2023-08-03,30.48
2023-08-02,30.53
2023-08-01,31.38
2023-07-31,32.41
2023-07-28,32.67
2023-07-27,32.24
2023-07-26,32.6
2023-07-25,32.58
2023-07-24,32.15
2023-07-21,32.36
2023-07-20,33.02
2023-07-19,34.38
2023-07-18,34.96
2023-07-17,33.19
2023-07-14,33.68
2023-07-13,34.3
2023-07-12,33.41
2023-07-11,32.24
2023-07-10,30.69
2023-07-07,30.41
2023-07-06,30.11
2023-07-05,31.26
2023-07-03,32.44
2023-06-30,31.0
2023-06-29,30.41
2023-06-28,30.39
2023-06-27,30.35
2023-06-26,30.16
2023-06-23,29.57
2023-06-22,29.96
2023-06-21,30.51
2023-06-20,32.59
2023-06-16,31.69
2023-06-15,32.96
2023-06-14,32.57
2023-06-13,34.37
2023-06-12,33.89
2023-06-09,35.56
2023-06-08,35.77
2023-06-07,35.97
2023-06-06,35.89
2023-06-05,34.62
2023-06-02,36.57
2023-06-01,35.54
2023-05-31,36.45
2023-05-30,36.05
2023-05-26,36.21
2023-05-25,35.21
2023-05-24,35.42
2023-05-23,35.85
2023-05-22,36.25
2023-05-19,34.63
2023-05-18,34.66
2023-05-17,36.08
2023-05-16,34.3
2023-05-15,34.66
2023-05-12,33.125
2023-05-11,33.46
2023-05-10,36.32
2023-05-09,35.09
2023-05-08,36.16
2023-05-05,36.86
2023-05-04,36.35
2023-05-03,36.77
2023-05-02,36.56
2023-05-01,37.98
2023-04-28,37.33
2023-04-27,37.27
2023-04-26,37.29
2023-04-25,37.59
2023-04-24,38.66
2023-04-21,39.15
2023-04-20,39.59
2023-04-19,39.01
2023-04-18,37.98
2023-04-17,38.67
2023-04-14,39.06
2023-04-13,39.07
2023-04-12,37.88
2023-04-11,37.27
2023-04-10,36.47
2023-04-06,34.72
2023-04-05,33.58
2023-04-04,33.74
2023-04-03,33.78
2023-03-31,34.09
2023-03-30,32.82
2023-03-29,32.24
2023-03-28,31.78
2023-03-27,32.63
2023-03-24,31.35
2023-03-23,30.48
2023-03-22,31.85
2023-03-21,33.52
2023-03-20,32.41
2023-03-17,31.79
2023-03-16,30.69
2023-03-15,31.17
2023-03-14,31.5
2023-03-13,32.24
2023-03-10,34.26
2023-03-09,35.18
2023-03-08,36.22
2023-03-07,37.89
2023-03-06,37.31
2023-03-03,38.21
2023-03-02,38.59
2023-03-01,40.61
2023-02-28,41.04
2023-02-27,42.27
2023-02-24,44.16
2023-02-23,46.92
2023-02-22,59.5
2023-02-21,59.05
2023-02-17,60.92
2023-02-16,61.0
2023-02-15,61.7
2023-02-14,59.75
2023-02-13,60.0
2023-02-10,58.82
2023-02-09,59.24
2023-02-08,59.94
