Date,Close Price
2024-01-03,16.66
2024-01-02,17.11
2023-12-29,16.81
2023-12-28,17.2
2023-12-27,17.29
2023-12-26,17.14
2023-12-22,16.58
2023-12-21,16.07
2023-12-20,14.3
2023-12-19,14.73
2023-12-18,14.1
2023-12-15,14.38
2023-12-14,14.49
2023-12-13,14.03
2023-12-12,13.35
2023-12-11,13.81
2023-12-08,14.15
2023-12-07,14.31
2023-12-06,14.01
2023-12-05,14.25
2023-12-04,15.06
2023-12-01,14.82
2023-11-30,14.43
2023-11-29,14.05
2023-11-28,14.21
2023-11-27,14.1
2023-11-24,14.06
2023-11-22,13.86
2023-11-21,13.74
2023-11-20,13.71
2023-11-17,13.81
2023-11-16,13.38
2023-11-15,13.65
2023-11-14,13.38
2023-11-13,12.63
2023-11-10,12.85
2023-11-09,12.32
2023-11-08,12.54
2023-11-07,12.85
2023-11-06,12.99
2023-11-03,13.16
2023-11-02,12.62
2023-11-01,12.64
2023-10-31,12.41
2023-10-30,12.2
2023-10-27,12.005
2023-10-26,13.44
2023-10-25,12.95
2023-10-24,12.76
2023-10-23,12.53
2023-10-20,12.8
2023-10-19,12.95
2023-10-18,13.3
2023-10-17,13.67
2023-10-16,13.25
2023-10-13,12.78
2023-10-12,12.71
2023-10-11,13.02
2023-10-10,12.91
2023-10-09,12.78
2023-10-06,12.53
2023-10-05,12.53
2023-10-04,12.09
2023-10-03,11.91
2023-10-02,11.78
2023-09-29,11.69
2023-09-28,11.94
2023-09-27,12.17
2023-09-26,12.14
2023-09-25,12.13
2023-09-22,12.1
2023-09-21,12.13
2023-09-20,12.18
2023-09-19,12.71
2023-09-18,12.62
2023-09-15,12.46
2023-09-14,12.81
2023-09-13,12.73
2023-09-12,12.93
2023-09-11,12.78
2023-09-08,12.74
2023-09-07,12.92
2023-09-06,12.9
2023-09-05,12.94
2023-09-01,13.92
2023-08-31,14.04
2023-08-30,14.44
2023-08-29,14.11
2023-08-28,14.21
2023-08-25,14.24
2023-08-24,13.85
2023-08-23,14.14
2023-08-22,14.42
2023-08-21,14.6
2023-08-18,14.44
2023-08-17,14.24
2023-08-16,14.74
2023-08-15,14.98
2023-08-14,14.86
2023-08-11,14.88
2023-08-10,15.02
2023-08-09,14.12
2023-08-08,14.33
2023-08-07,13.98
2023-08-04,13.92
2023-08-03,13.55
2023-08-02,13.47
2023-08-01,13.75
2023-07-31,13.83
2023-07-28,13.97
2023-07-27,13.34
2023-07-26,13.31
2023-07-25,13.41
2023-07-24,13.54
2023-07-21,13.66
2023-07-20,13.68
2023-07-19,13.57
2023-07-18,13.89
2023-07-17,13.47
2023-07-14,12.86
2023-07-13,12.62
2023-07-12,12.8
2023-07-11,12.81
2023-07-10,12.59
2023-07-07,12.33
2023-07-06,12.34
2023-07-05,12.66
2023-07-03,12.76
2023-06-30,13.44
2023-06-29,13.53
2023-06-28,13.34
2023-06-27,13.13
2023-06-26,12.9
2023-06-23,13.15
2023-06-22,13.13
2023-06-21,13.25
2023-06-20,12.62
2023-06-16,12.2
2023-06-15,12.37
2023-06-14,11.83
2023-06-13,11.67
2023-06-12,11.9
2023-06-09,11.62
2023-06-08,11.86
2023-06-07,11.98
2023-06-06,12.06
2023-06-05,11.54
2023-06-02,11.55
2023-06-01,11.64
2023-05-31,11.55
2023-05-30,11.55
2023-05-26,11.5
2023-05-25,11.59
2023-05-24,11.75
2023-05-23,12.08
2023-05-22,12.45
2023-05-19,12.17
2023-05-18,12.2
2023-05-17,12.53
2023-05-16,12.51
2023-05-15,13.14
2023-05-12,13.45
2023-05-11,14.15
2023-05-10,17.51
2023-05-09,17.4
2023-05-08,17.37
2023-05-05,17.21
2023-05-04,16.66
2023-05-03,16.6
2023-05-02,16.62
2023-05-01,16.94
2023-04-28,15.92
2023-04-27,15.76
2023-04-26,16.02
2023-04-25,16.09
2023-04-24,16.52
2023-04-21,16.48
2023-04-20,16.5
2023-04-19,17.33
2023-04-18,17.82
2023-04-17,18.08
2023-04-14,17.69
2023-04-13,17.97
2023-04-12,17.55
2023-04-11,17.55
2023-04-10,17.26
2023-04-06,17.38
2023-04-05,16.93
2023-04-04,16.78
2023-04-03,16.94
2023-03-31,16.58
2023-03-30,16.46
2023-03-29,16.72
