Date,Close Price
2024-01-02,256.22
2023-12-29,263.14
2023-12-28,265.58
2023-12-27,266.72
2023-12-26,266.22
2023-12-22,266.34
2023-12-21,267.25
2023-12-20,260.25
2023-12-19,264.34
2023-12-18,263.59
2023-12-15,261.6
2023-12-14,257.21
2023-12-13,257.32
2023-12-12,256.45
2023-12-11,252.1
2023-12-08,250.81
2023-12-07,248.85
2023-12-06,249.13
2023-12-05,251.02
2023-12-04,250.66
2023-12-01,260.0
2023-11-30,251.9
2023-11-29,230.35
2023-11-28,224.92
2023-11-27,224.79
2023-11-24,224.38
2023-11-22,223.84
2023-11-21,224.32
2023-11-20,225.13
2023-11-17,221.22
2023-11-16,221.45
2023-11-15,219.42
2023-11-14,221.18
2023-11-13,215.28
2023-11-10,213.63
2023-11-09,210.01
2023-11-08,211.47
2023-11-07,211.84
2023-11-06,207.42
2023-11-03,207.47
2023-11-02,208.11
2023-11-01,203.91
2023-10-31,200.83
2023-10-30,199.27
2023-10-27,196.57
2023-10-26,196.25
2023-10-25,197.06
2023-10-24,204.22
2023-10-23,202.0
2023-10-20,203.73
2023-10-19,208.32
2023-10-18,204.83
2023-10-17,209.84
2023-10-16,208.53
2023-10-13,204.59
2023-10-12,205.68
2023-10-11,206.85
2023-10-10,206.88
2023-10-09,207.22
2023-10-06,207.36
2023-10-05,202.01
2023-10-04,201.87
2023-10-03,199.83
2023-10-02,203.71
2023-09-29,202.78
2023-09-28,203.2
2023-09-27,202.73
2023-09-26,202.49
2023-09-25,206.34
2023-09-22,206.43
2023-09-21,208.61
2023-09-20,213.03
2023-09-19,215.7
2023-09-18,215.0
2023-09-15,214.61
2023-09-14,218.78
2023-09-13,218.8
2023-09-12,221.66
2023-09-11,225.31
2023-09-08,224.76
2023-09-07,222.53
2023-09-06,221.62
2023-09-05,218.69
2023-09-01,221.53
2023-08-31,221.46
2023-08-30,215.04
2023-08-29,211.96
2023-08-28,211.72
2023-08-25,209.47
2023-08-24,205.51
