Date,Close Price
2024-01-02,11.4
2023-12-29,11.27
2023-12-28,11.46
2023-12-27,11.38
2023-12-26,11.37
2023-12-22,11.13
2023-12-21,11.08
2023-12-20,10.9
2023-12-19,11.29
2023-12-18,11.0
2023-12-15,10.94
2023-12-14,11.52
2023-12-13,10.87
2023-12-12,10.47
2023-12-11,10.59
2023-12-08,10.52
2023-12-07,10.37
2023-12-06,10.02
2023-12-05,9.99
2023-12-04,10.88
2023-12-01,10.88
2023-11-30,10.45
2023-11-29,10.6
2023-11-28,10.62
2023-11-27,10.68
2023-11-24,11.02
2023-11-22,10.93
2023-11-21,10.83
2023-11-20,11.1
2023-11-17,11.18
2023-11-16,10.88
2023-11-15,11.15
2023-11-14,11.44
2023-11-13,11.11
2023-11-10,11.44
2023-11-09,10.94
2023-11-08,11.76
2023-11-07,11.9
2023-11-06,11.6
2023-11-03,11.5
2023-11-02,11.08
2023-11-01,10.75
2023-10-31,10.79
2023-10-30,10.8
2023-10-27,10.76
2023-10-26,10.8
2023-10-25,10.89
2023-10-24,11.22
2023-10-23,10.72
2023-10-20,11.1
2023-10-19,11.22
2023-10-18,11.67
2023-10-17,11.8
2023-10-16,11.75
2023-10-13,11.71
2023-10-12,11.97
2023-10-11,12.43
2023-10-10,13.08
2023-10-09,12.78
2023-10-06,12.77
2023-10-05,12.72
2023-10-04,12.7
2023-10-03,12.67
2023-10-02,13.1
2023-09-29,13.22
2023-09-28,13.47
2023-09-27,13.21
2023-09-26,13.34
2023-09-25,13.61
2023-09-22,13.88
2023-09-21,13.82
2023-09-20,14.14
2023-09-19,14.29
2023-09-18,14.55
2023-09-15,14.93
2023-09-14,14.98
2023-09-13,14.45
2023-09-12,14.62
2023-09-11,14.24
2023-09-08,14.11
2023-09-07,14.09
2023-09-06,14.52
2023-09-05,14.51
2023-09-01,14.76
2023-08-31,14.46
2023-08-30,14.36
2023-08-29,14.23
2023-08-28,14.03
2023-08-25,13.85
2023-08-24,13.69
2023-08-23,13.58
2023-08-22,13.57
2023-08-21,13.42
2023-08-18,13.27
2023-08-17,13.13
2023-08-16,13.01
2023-08-15,12.99
2023-08-14,13.43
2023-08-11,13.6
2023-08-10,13.35
2023-08-09,12.95
2023-08-08,14.61
2023-08-07,14.93
2023-08-04,14.87
2023-08-03,14.57
2023-08-02,14.71
2023-08-01,15.19
2023-07-31,14.84
2023-07-28,14.84
2023-07-27,14.72
2023-07-26,15.06
2023-07-25,14.9
2023-07-24,14.82
2023-07-21,14.73
2023-07-20,14.7
2023-07-19,14.93
2023-07-18,14.8
2023-07-17,14.74
2023-07-14,14.74
2023-07-13,14.87
2023-07-12,14.99
2023-07-11,14.48
2023-07-10,14.46
2023-07-07,14.03
2023-07-06,13.8
2023-07-05,14.12
2023-07-03,14.64
2023-06-30,14.46
2023-06-29,14.52
2023-06-28,14.13
2023-06-27,14.3
2023-06-26,14.05
2023-06-23,14.1
2023-06-22,14.61
2023-06-21,14.66
2023-06-20,14.86
2023-06-16,14.75
2023-06-15,14.94
2023-06-14,15.11
2023-06-13,15.64
2023-06-12,15.69
2023-06-09,15.66
2023-06-08,15.93
2023-06-07,15.92
2023-06-06,15.48
2023-06-05,14.75
2023-06-02,14.91
2023-06-01,14.08
2023-05-31,13.9
2023-05-30,14.06
2023-05-26,14.41
2023-05-25,14.38
2023-05-24,14.76
2023-05-23,14.84
2023-05-22,15.08
2023-05-19,15.06
2023-05-18,14.72
2023-05-17,14.68
2023-05-16,14.56
2023-05-15,15.21
2023-05-12,14.45
2023-05-11,14.59
2023-05-10,15.32
2023-05-09,15.03
2023-05-08,14.99
2023-05-05,15.13
2023-05-04,14.78
2023-05-03,15.13
2023-05-02,15.12
2023-05-01,15.35
2023-04-28,15.2
2023-04-27,15.09
2023-04-26,14.74
2023-04-25,14.82
2023-04-24,15.18
2023-04-21,15.51
2023-04-20,15.92
2023-04-19,16.37
2023-04-18,16.47
2023-04-17,16.64
2023-04-14,16.32
2023-04-13,16.56
2023-04-12,16.37
2023-04-11,16.55
2023-04-10,16.11
2023-04-06,16.19
2023-04-05,16.34
2023-04-04,17.03
2023-04-03,17.04
2023-03-31,17.15
2023-03-30,16.87
2023-03-29,16.91
2023-03-28,16.62
2023-03-27,16.6
2023-03-24,16.44
2023-03-23,16.37
2023-03-22,16.64
2023-03-21,17.16
2023-03-20,16.82
2023-03-17,16.74
2023-03-16,16.98
2023-03-15,16.83
2023-03-14,16.97
2023-03-13,16.36
2023-03-10,17.13
2023-03-09,17.89
2023-03-08,18.38
2023-03-07,18.61
2023-03-06,18.75
2023-03-03,19.0
2023-03-02,18.79
2023-03-01,18.66
2023-02-28,18.99
2023-02-27,18.83
2023-02-24,18.2
2023-02-23,18.61
2023-02-22,18.6
2023-02-21,18.56
2023-02-17,19.16
2023-02-16,18.87
2023-02-15,19.0
2023-02-14,18.74
2023-02-13,18.55
2023-02-10,18.53
2023-02-09,18.47
2023-02-08,18.76
2023-02-07,18.73
2023-02-06,18.35
2023-02-03,18.74
2023-02-02,18.37
2023-02-01,18.01
2023-01-31,17.37
2023-01-30,16.92
2023-01-27,17.07
2023-01-26,17.04
2023-01-25,17.01
2023-01-24,16.53
2023-01-23,16.76
2023-01-20,16.34
2023-01-19,16.1
2023-01-18,15.88
2023-01-17,16.02
2023-01-13,16.06
2023-01-12,16.0
2023-01-11,15.58
2023-01-10,15.2
2023-01-09,15.06
2023-01-06,14.89
2023-01-05,14.66
2023-01-04,14.52
2023-01-03,14.24
2022-12-30,14.35
2022-12-29,14.33
2022-12-28,13.85
2022-12-27,14.03
2022-12-23,14.3
2022-12-22,14.05
2022-12-21,13.78
2022-12-20,14.02
2022-12-19,13.74
2022-12-16,14.83
2022-12-15,14.56
2022-12-14,15.18
2022-12-13,15.43
2022-12-12,14.97
2022-12-09,14.7
2022-12-08,14.79
2022-12-07,14.69
2022-12-06,15.1
2022-12-05,15.67
2022-12-02,16.39
2022-12-01,16.49
2022-11-30,16.72
2022-11-29,16.45
2022-11-28,16.57
2022-11-25,16.44
2022-11-23,16.21
2022-11-22,16.66
2022-11-21,16.83
2022-11-18,17.01
2022-11-17,16.97
2022-11-16,17.13
2022-11-15,17.23
2022-11-14,16.95
2022-11-11,17.1
2022-11-10,17.1
2022-11-09,16.22
2022-11-08,16.85
2022-11-07,19.02
2022-11-04,18.41
2022-11-03,17.92
2022-11-02,18.37
2022-11-01,19.13
2022-10-31,18.98
2022-10-28,19.01
2022-10-27,18.69
2022-10-26,18.66
2022-10-25,18.63
2022-10-24,18.13
2022-10-21,18.06
2022-10-20,17.86
2022-10-19,17.88
2022-10-18,18.11
2022-10-17,17.89
2022-10-14,17.16
2022-10-13,17.5
2022-10-12,17.04
2022-10-11,17.18
2022-10-10,17.31
2022-10-07,17.54
2022-10-06,17.89
2022-10-05,17.99
2022-10-04,17.91
2022-10-03,16.63
2022-09-30,16.22
2022-09-29,16.09
2022-09-28,16.66
2022-09-27,16.04
2022-09-26,15.49
2022-09-23,16.02
2022-09-22,16.55
2022-09-21,17.04
2022-09-20,17.41
2022-09-19,17.6
2022-09-16,17.45
2022-09-15,17.74
2022-09-14,17.63
2022-09-13,17.83
2022-09-12,18.87
2022-09-09,18.56
2022-09-08,18.32
2022-09-07,18.3
2022-09-06,17.99
2022-09-02,18.4
2022-09-01,18.53
2022-08-31,18.5
2022-08-30,18.75
2022-08-29,19.14
2022-08-26,18.71
2022-08-25,19.9
2022-08-24,19.94
2022-08-23,20.16
2022-08-22,19.85
2022-08-19,20.4
2022-08-18,20.72
2022-08-17,20.52
2022-08-16,21.0
2022-08-15,20.8
2022-08-12,20.88
2022-08-11,20.41
2022-08-10,20.47
2022-08-09,19.96
2022-08-08,20.52
2022-08-05,20.03
2022-08-04,19.75
2022-08-03,19.78
2022-08-02,19.71
2022-08-01,19.3
2022-07-29,19.21
2022-07-28,19.05
2022-07-27,18.91
2022-07-26,17.93
2022-07-25,18.24
2022-07-22,18.24
2022-07-21,18.3
2022-07-20,17.85
2022-07-19,17.9
2022-07-18,17.32
2022-07-15,17.47
2022-07-14,16.94
2022-07-13,17.37
2022-07-12,17.25
2022-07-11,17.0
2022-07-08,17.48
2022-07-07,17.63
2022-07-06,16.93
2022-07-05,16.88
2022-07-01,16.69
2022-06-30,16.31
2022-06-29,16.39
2022-06-28,16.58
2022-06-27,16.93
2022-06-24,16.76
2022-06-23,16.14
2022-06-22,16.06
2022-06-21,16.03
2022-06-17,15.7
2022-06-16,15.29
2022-06-15,16.75
2022-06-14,16.47
2022-06-13,15.97
2022-06-10,17.28
