Date,Close Price
2024-01-02,20.06
2023-12-29,18.295
2023-12-28,18.0
2023-12-27,18.22
2023-12-26,16.46
2023-12-22,14.86
2023-12-21,14.9
2023-12-20,14.91
2023-12-19,16.52
2023-12-18,15.56
2023-12-15,13.08
2023-12-14,13.14
2023-12-13,13.52
2023-12-12,14.2
2023-12-11,14.57
2023-12-08,13.33
2023-12-07,13.39
2023-12-06,13.64
2023-12-05,13.45
2023-12-04,12.28
2023-12-01,11.8
2023-11-30,9.72
2023-11-29,9.75
2023-11-28,9.92
2023-11-27,9.82
2023-11-24,10.07
2023-11-22,9.48
2023-11-21,9.74
2023-11-20,9.62
2023-11-17,9.41
2023-11-16,9.35
2023-11-15,9.71
2023-11-14,9.47
2023-11-13,9.14
2023-11-10,9.31
2023-11-09,9.54
2023-11-08,9.92
2023-11-07,10.33
2023-11-06,10.37
2023-11-03,10.79
2023-11-02,10.6
2023-11-01,9.92
2023-10-31,9.47
2023-10-30,8.89
2023-10-27,8.22
2023-10-26,8.4
2023-10-25,8.3
2023-10-24,8.48
2023-10-23,8.3
2023-10-20,8.55
2023-10-19,8.66
2023-10-18,8.6
2023-10-17,9.21
2023-10-16,9.03
2023-10-13,8.69
2023-10-12,9.19
2023-10-11,8.77
2023-10-10,9.07
2023-10-09,9.96
2023-10-06,8.67
2023-10-05,8.5
2023-10-04,8.94
2023-10-03,8.96
2023-10-02,9.04
2023-09-29,8.81
2023-09-28,7.69
2023-09-27,9.47
2023-09-26,9.49
2023-09-25,9.89
2023-09-22,9.25
2023-09-21,9.81
2023-09-20,10.62
2023-09-19,10.52
2023-09-18,10.0
2023-09-15,11.45
2023-09-14,11.93
2023-09-13,12.21
2023-09-12,13.25
2023-09-11,17.73
2023-09-08,16.4
2023-09-07,14.77
2023-09-06,14.15
2023-09-05,14.49
2023-09-01,13.58
2023-08-31,12.51
2023-08-30,12.66
2023-08-29,12.25
2023-08-28,11.6
2023-08-25,12.09
2023-08-24,12.3
2023-08-23,12.66
2023-08-22,12.96
2023-08-21,12.59
2023-08-18,11.54
2023-08-17,11.89
2023-08-16,11.59
2023-08-15,10.14
2023-08-14,10.32
2023-08-11,10.72
2023-08-10,10.63
2023-08-09,10.39
2023-08-08,9.73
2023-08-07,9.24
2023-08-04,9.08
2023-08-03,9.4
2023-08-02,8.84
2023-08-01,9.0
2023-07-31,8.74
2023-07-28,8.47
2023-07-27,8.29
2023-07-26,8.54
2023-07-25,8.18
2023-07-24,8.51
2023-07-21,8.7
2023-07-20,8.32
2023-07-19,8.85
2023-07-18,8.25
2023-07-17,8.2
2023-07-14,7.75
2023-07-13,8.06
2023-07-12,7.57
2023-07-11,7.08
2023-07-10,7.36
2023-07-07,7.13
2023-07-06,7.39
2023-07-05,7.4
2023-07-03,7.15
2023-06-30,6.76
2023-06-29,7.5
2023-06-28,7.66
2023-06-27,7.84
2023-06-26,7.78
2023-06-23,7.79
2023-06-22,7.8
2023-06-21,7.56
2023-06-20,7.65
2023-06-16,8.08
2023-06-15,7.84
2023-06-14,7.8
2023-06-13,7.5
2023-06-12,7.5
2023-06-09,6.98
2023-06-08,7.0
2023-06-07,7.0
2023-06-06,6.8
2023-06-05,6.78
2023-06-02,6.78
2023-06-01,6.68
2023-05-31,6.75
2023-05-30,6.76
2023-05-26,6.45
2023-05-25,5.79
2023-05-24,7.16
2023-05-23,5.66
2023-05-22,5.465
2023-05-19,5.27
2023-05-18,5.29
2023-05-17,5.32
2023-05-16,5.27
2023-05-15,5.5
2023-05-12,5.24
2023-05-11,5.24
2023-05-10,5.42
2023-05-09,5.295
2023-05-08,5.26
2023-05-05,5.05
2023-05-04,5.26
2023-05-03,5.18
2023-05-02,5.18
2023-05-01,5.58
2023-04-28,5.53
