Date,Close Price
2024-01-03,132.08
2024-01-02,134.09
2023-12-29,133.2
2023-12-28,134.13
2023-12-27,136.41
2023-12-26,137.32
2023-12-22,135.3
2023-12-21,135.97
2023-12-20,131.18
2023-12-19,133.06
2023-12-18,131.96
2023-12-15,129.89
2023-12-14,130.93
2023-12-13,130.9
2023-12-12,128.58
2023-12-11,132.08
2023-12-08,134.85
2023-12-07,133.65
2023-12-06,133.84
2023-12-05,137.92
2023-12-04,138.05
2023-12-01,137.94
2023-11-30,137.04
2023-11-29,131.77
2023-11-28,131.61
2023-11-27,133.75
2023-11-24,133.13
2023-11-22,132.61
2023-11-21,132.51
2023-11-20,130.69
2023-11-17,129.09
2023-11-16,127.31
2023-11-15,128.74
2023-11-14,128.38
2023-11-13,126.38
2023-11-10,124.17
2023-11-09,124.91
2023-11-08,126.8
2023-11-07,126.41
2023-11-06,128.1
2023-11-03,133.17
2023-11-02,133.63
2023-11-01,129.96
2023-10-31,123.61
2023-10-30,122.76
2023-10-27,123.93
2023-10-26,124.79
2023-10-25,124.19
2023-10-24,125.45
2023-10-23,125.27
2023-10-20,126.02
2023-10-19,126.62
2023-10-18,127.51
2023-10-17,126.02
2023-10-16,122.68
2023-10-13,122.35
2023-10-12,122.63
2023-10-11,123.4
2023-10-10,123.6
2023-10-09,125.69
2023-10-06,120.97
2023-10-05,116.99
2023-10-04,113.71
2023-10-03,116.36
2023-10-02,117.21
2023-09-29,118.66
2023-09-28,120.92
2023-09-27,118.58
2023-09-26,113.45
2023-09-25,113.39
2023-09-22,111.54
2023-09-21,111.02
2023-09-20,111.95
2023-09-19,113.56
2023-09-18,114.96
2023-09-15,115.9
2023-09-14,119.94
2023-09-13,120.05
2023-09-12,121.75
2023-09-11,117.29
2023-09-08,120.59
2023-09-07,119.52
2023-09-06,120.71
2023-09-05,123.1
2023-09-01,123.44
2023-08-31,118.0
2023-08-30,114.45
2023-08-29,114.6
2023-08-28,114.52
2023-08-25,113.72
2023-08-24,112.5
2023-08-23,111.57
2023-08-22,110.92
2023-08-21,111.28
2023-08-18,110.79
2023-08-17,111.61
2023-08-16,111.3
2023-08-15,112.23
2023-08-14,113.1
2023-08-11,113.99
2023-08-10,112.88
2023-08-09,112.59
2023-08-08,108.02
2023-08-07,105.39
2023-08-04,107.0
2023-08-03,103.69
2023-08-02,102.75
2023-08-01,103.74
2023-07-31,102.45
2023-07-28,102.98
2023-07-27,99.19
2023-07-26,102.52
2023-07-25,102.26
2023-07-24,103.45
2023-07-21,106.41
2023-07-20,104.41
2023-07-19,101.96
2023-07-18,104.4
2023-07-17,104.94
2023-07-14,104.01
2023-07-13,106.7
2023-07-12,105.75
2023-07-11,105.59
2023-07-10,104.11
2023-07-07,104.05
2023-07-06,103.48
2023-07-05,105.08
2023-07-03,104.04
2023-06-30,105.07
2023-06-29,103.46
2023-06-28,100.39
2023-06-27,98.22
2023-06-26,96.32
2023-06-23,97.27
2023-06-22,95.95
2023-06-21,107.88
2023-06-20,104.46
2023-06-16,104.37
2023-06-15,101.56
2023-06-14,100.0
2023-06-13,99.06
2023-06-12,98.61
2023-06-09,101.04
2023-06-08,101.92
2023-06-07,102.75
2023-06-06,98.91
2023-06-05,97.39
2023-06-02,98.63
2023-06-01,96.36
2023-05-31,97.02
2023-05-30,97.65
2023-05-26,99.37
2023-05-25,99.88
2023-05-24,102.42
2023-05-23,99.8
2023-05-22,99.79
2023-05-19,102.71
2023-05-18,101.55
2023-05-17,97.42
2023-05-16,96.0
2023-05-15,96.94
2023-05-12,95.82
2023-05-11,91.9
2023-05-10,92.36
2023-05-09,92.45
2023-05-08,91.18
2023-05-05,90.53
2023-05-04,86.56
2023-05-03,88.41
2023-05-02,81.59
2023-05-01,84.53
2023-04-28,90.46
2023-04-27,85.43
2023-04-26,82.63
2023-04-25,83.62
2023-04-24,84.74
2023-04-21,83.1
2023-04-20,81.54
2023-04-19,81.22
2023-04-18,80.86
2023-04-17,80.15
2023-04-14,81.48
2023-04-13,81.38
2023-04-12,80.74
2023-04-11,81.63
2023-04-10,80.0
2023-04-06,75.81
2023-04-05,78.45
2023-04-04,79.44
2023-04-03,79.5
2023-03-31,80.0
2023-03-30,79.21
2023-03-29,79.43
2023-03-28,79.2
2023-03-27,79.42
