Date,Close Price
2024-01-03,9.12
2024-01-02,9.48
2023-12-29,9.67
2023-12-28,9.6
2023-12-27,9.57
2023-12-26,9.43
2023-12-22,9.17
2023-12-21,8.92
2023-12-20,8.34
2023-12-19,8.15
2023-12-18,8.01
2023-12-15,7.99
2023-12-14,8.27
2023-12-13,8.21
2023-12-12,8.41
2023-12-11,8.33
2023-12-08,8.07
2023-12-07,7.85
2023-12-06,7.77
2023-12-05,7.73
2023-12-04,7.72
2023-12-01,7.58
2023-11-30,7.4
2023-11-29,7.5
2023-11-28,7.53
2023-11-27,7.58
2023-11-24,7.56
2023-11-22,7.48
2023-11-21,7.41
2023-11-20,7.44
2023-11-17,7.5
2023-11-16,7.4
2023-11-15,7.47
2023-11-14,7.45
2023-11-13,7.28
2023-11-10,7.35
2023-11-09,7.32
2023-11-08,7.47
2023-11-07,7.48
2023-11-06,7.39
2023-11-03,7.46
2023-11-02,7.38
2023-11-01,7.18
2023-10-31,7.06
2023-10-30,7.15
2023-10-27,7.12
2023-10-26,7.02
2023-10-25,7.155
2023-10-24,7.07
2023-10-23,7.19
2023-10-20,7.29
2023-10-19,7.34
2023-10-18,7.34
2023-10-17,7.66
2023-10-16,7.64
2023-10-13,7.49
2023-10-12,7.39
2023-10-11,7.52
2023-10-10,7.44
2023-10-09,7.37
2023-10-06,7.4
2023-10-05,7.36
2023-10-04,7.39
2023-10-03,7.45
2023-10-02,7.56
2023-09-29,7.88
2023-09-28,7.87
2023-09-27,7.66
2023-09-26,7.56
2023-09-25,7.59
2023-09-22,7.59
2023-09-21,7.64
2023-09-20,7.98
2023-09-19,7.99
2023-09-18,7.97
2023-09-15,7.94
2023-09-14,7.88
2023-09-13,7.79
2023-09-12,7.75
2023-09-11,7.58
2023-09-08,7.61
2023-09-07,7.6
2023-09-06,7.78
2023-09-05,7.88
2023-09-01,7.67
2023-08-31,7.76
2023-08-30,7.71
2023-08-29,7.56
2023-08-28,7.92
2023-08-25,7.99
2023-08-24,8.02
2023-08-23,8.02
2023-08-22,8.0
2023-08-21,7.97
2023-08-18,8.01
2023-08-17,7.87
2023-08-16,7.85
2023-08-15,7.99
2023-08-14,7.87
2023-08-11,7.65
2023-08-10,7.69
2023-08-09,7.95
2023-08-08,7.6
2023-08-07,7.67
2023-08-04,7.6
2023-08-03,7.57
2023-08-02,7.86
2023-08-01,7.89
2023-07-31,7.78
2023-07-28,8.04
2023-07-27,7.77
2023-07-26,7.44
2023-07-25,7.29
2023-07-24,7.41
2023-07-21,7.44
2023-07-20,7.32
2023-07-19,7.39
2023-07-18,7.23
2023-07-17,7.45
2023-07-14,7.46
2023-07-13,7.44
2023-07-12,7.47
2023-07-11,7.44
2023-07-10,7.46
2023-07-07,7.41
2023-07-06,7.48
2023-07-05,7.51
2023-07-03,7.56
2023-06-30,7.57
2023-06-29,7.63
2023-06-28,7.72
2023-06-27,7.59
2023-06-26,7.47
2023-06-23,7.36
2023-06-22,7.6
2023-06-21,7.64
2023-06-20,7.64
2023-06-16,7.6
2023-06-15,7.54
2023-06-14,7.76
2023-06-13,7.97
2023-06-12,7.74
2023-06-09,7.68
2023-06-08,7.7
2023-06-07,8.22
2023-06-06,8.31
2023-06-05,8.09
2023-06-02,8.52
2023-06-01,8.53
2023-05-31,8.28
2023-05-30,7.98
2023-05-26,8.12
2023-05-25,8.19
2023-05-24,8.15
2023-05-23,8.19
2023-05-22,8.29
2023-05-19,8.13
2023-05-18,8.3
2023-05-17,8.12
2023-05-16,8.22
2023-05-15,8.09
2023-05-12,7.98
2023-05-11,8.09
2023-05-10,8.27
2023-05-09,8.32
2023-05-08,8.08
2023-05-05,7.97
2023-05-04,7.78
2023-05-03,8.08
2023-05-02,8.41
2023-05-01,8.35
2023-04-28,8.26
2023-04-27,8.31
2023-04-26,8.15
2023-04-25,8.16
2023-04-24,8.13
2023-04-21,8.18
2023-04-20,8.19
2023-04-19,8.12
2023-04-18,7.97
2023-04-17,8.02
2023-04-14,7.9
2023-04-13,8.18
2023-04-12,8.25
2023-04-11,8.24
2023-04-10,8.11
2023-04-06,8.01
2023-04-05,8.16
2023-04-04,8.13
2023-04-03,7.71
2023-03-31,7.66
2023-03-30,7.31
2023-03-29,7.44
2023-03-28,7.35
2023-03-27,7.16
2023-03-24,7.12
2023-03-23,6.96
2023-03-22,7.08
2023-03-21,6.89
2023-03-20,6.82
2023-03-17,6.84
2023-03-16,7.07
2023-03-15,7.0
2023-03-14,7.29
2023-03-13,7.15
2023-03-10,7.3
2023-03-09,7.64
2023-03-08,7.85
2023-03-07,8.04
2023-03-06,7.95
2023-03-03,8.03
2023-03-02,7.91
2023-03-01,7.84
2023-02-28,7.72
2023-02-27,7.75
2023-02-24,7.7
2023-02-23,7.72
2023-02-22,7.95
2023-02-21,7.91
2023-02-17,8.36
2023-02-16,8.24
2023-02-15,8.32
2023-02-14,8.27
2023-02-13,8.44
2023-02-10,8.35
2023-02-09,8.27
2023-02-08,8.39
2023-02-07,8.3
2023-02-06,8.62
2023-02-03,8.5
2023-02-02,8.38
2023-02-01,8.38
2023-01-31,8.0
2023-01-30,7.79
2023-01-27,7.84
2023-01-26,7.75
2023-01-25,7.65
2023-01-24,7.68
2023-01-23,7.56
2023-01-20,7.6
2023-01-19,7.62
2023-01-18,7.67
2023-01-17,7.61
2023-01-13,7.91
2023-01-12,7.82
2023-01-11,7.79
2023-01-10,7.69
2023-01-09,7.62
2023-01-06,7.6
2023-01-05,7.62
2023-01-04,7.84
2023-01-03,7.9
2022-12-30,7.62
2022-12-29,7.87
2022-12-28,7.7
2022-12-27,7.6
2022-12-23,7.85
2022-12-22,7.37
2022-12-21,7.54
2022-12-20,7.59
2022-12-19,7.41
2022-12-16,7.34
2022-12-15,7.42
2022-12-14,7.49
2022-12-13,7.09
2022-12-12,7.39
2022-12-09,7.59
2022-12-08,7.6
2022-12-07,7.48
2022-12-06,7.53
2022-12-05,7.52
