Date,Close Price
2024-01-02,29.83
2023-12-29,30.09
2023-12-28,30.18
2023-12-27,30.24
2023-12-26,30.41
2023-12-22,30.18
2023-12-21,30.14
2023-12-20,29.79
2023-12-19,30.28
2023-12-18,30.26
2023-12-15,30.78
2023-12-14,30.93
2023-12-13,30.15
2023-12-12,30.23
2023-12-11,30.37
2023-12-08,29.46
2023-12-07,29.41
2023-12-06,28.49
2023-12-05,28.86
2023-12-04,29.04
2023-12-01,29.5
2023-11-30,29.34
2023-11-29,29.07
2023-11-28,28.64
2023-11-27,28.52
2023-11-24,28.64
2023-11-22,28.66
2023-11-21,27.87
2023-11-20,27.99
2023-11-17,28.31
2023-11-16,28.21
2023-11-15,28.47
2023-11-14,28.28
2023-11-13,27.78
2023-11-10,27.62
2023-11-09,27.02
2023-11-08,27.21
2023-11-07,27.33
2023-11-06,27.33
2023-11-03,27.42
2023-11-02,26.84
2023-11-01,26.48
2023-10-31,26.33
2023-10-30,26.16
2023-10-27,25.84
2023-10-26,26.17
2023-10-25,26.03
2023-10-24,26.16
2023-10-23,25.88
2023-10-20,26.01
2023-10-19,26.45
2023-10-18,27.04
2023-10-17,27.1
2023-10-16,26.88
2023-10-13,26.5
2023-10-12,26.75
2023-10-11,26.83
2023-10-10,26.43
2023-10-09,26.08
2023-10-06,25.9
2023-10-05,26.23
2023-10-04,26.04
2023-10-03,26.13
2023-10-02,25.67
2023-09-29,25.7
2023-09-28,25.57
2023-09-27,25.64
2023-09-26,25.72
2023-09-25,26.3
2023-09-22,26.77
2023-09-21,26.8
2023-09-20,27.06
2023-09-19,27.57
2023-09-18,27.32
2023-09-15,27.34
2023-09-14,27.82
2023-09-13,28.33
2023-09-12,28.94
2023-09-11,29.56
2023-09-08,29.45
2023-09-07,29.32
2023-09-06,30.13
2023-09-05,30.14
2023-09-01,30.37
2023-08-31,29.71
2023-08-30,29.29
2023-08-29,31.37
2023-08-28,31.33
2023-08-25,30.84
2023-08-24,30.75
2023-08-23,31.15
2023-08-22,31.02
2023-08-21,31.29
2023-08-18,31.06
2023-08-17,30.96
2023-08-16,31.3
2023-08-15,31.84
2023-08-14,32.07
2023-08-11,32.77
2023-08-10,32.97
2023-08-09,32.81
2023-08-08,33.07
2023-08-07,32.75
2023-08-04,32.43
2023-08-03,32.7
2023-08-02,32.5
2023-08-01,32.95
2023-07-31,32.83
2023-07-28,32.63
2023-07-27,32.88
2023-07-26,33.04
2023-07-25,33.1
2023-07-24,32.43
2023-07-21,32.24
2023-07-20,32.56
2023-07-19,32.93
2023-07-18,32.78
2023-07-17,32.82
2023-07-14,32.79
2023-07-13,33.56
2023-07-12,32.9
2023-07-11,33.45
2023-07-10,31.54
2023-07-07,31.13
2023-07-06,30.9
2023-07-05,30.68
2023-07-03,30.75
2023-06-30,30.71
2023-06-29,30.32
2023-06-28,29.94
2023-06-27,29.84
2023-06-26,29.77
2023-06-23,29.61
2023-06-22,29.8
2023-06-21,29.85
2023-06-20,30.16
2023-06-16,31.0
2023-06-15,31.1
2023-06-14,30.95
2023-06-13,30.89
2023-06-12,30.44
2023-06-09,29.8
2023-06-08,30.04
2023-06-07,29.93
2023-06-06,29.65
2023-06-05,29.29
2023-06-02,30.55
2023-06-01,29.42
2023-05-31,29.06
2023-05-30,30.93
2023-05-26,31.3
2023-05-25,30.9
2023-05-24,30.0
2023-05-23,30.56
2023-05-22,30.71
2023-05-19,30.54
2023-05-18,30.74
2023-05-17,30.27
2023-05-16,29.66
2023-05-15,29.57
2023-05-12,28.9
2023-05-11,29.39
2023-05-10,29.86
2023-05-09,30.29
2023-05-08,30.19
2023-05-05,30.13
2023-05-04,29.4
2023-05-03,29.86
2023-05-02,30.12
2023-05-01,29.96
2023-04-28,29.71
2023-04-27,29.72
2023-04-26,28.96
2023-04-25,29.26
2023-04-24,29.47
2023-04-21,29.48
2023-04-20,29.63
2023-04-19,30.21
2023-04-18,31.22
2023-04-17,30.93
2023-04-14,29.82
2023-04-13,29.9
2023-04-12,29.66
2023-04-11,29.94
2023-04-10,29.74
2023-04-06,29.29
2023-04-05,29.41
2023-04-04,29.55
2023-04-03,29.89
2023-03-31,29.35
2023-03-30,28.9
2023-03-29,28.31
2023-03-28,27.63
2023-03-27,27.89
2023-03-24,27.72
2023-03-23,27.72
2023-03-22,27.85
2023-03-21,28.61
2023-03-20,28.19
2023-03-17,28.04
2023-03-16,28.31
2023-03-15,27.96
2023-03-14,27.81
2023-03-13,27.34
2023-03-10,27.45
2023-03-09,27.89
2023-03-08,28.27
2023-03-07,27.66
2023-03-06,28.57
2023-03-03,28.61
2023-03-02,28.81
2023-03-01,28.86
2023-02-28,29.52
2023-02-27,29.39
2023-02-24,29.22
2023-02-23,29.55
2023-02-22,29.08
2023-02-21,29.0
2023-02-17,30.16
2023-02-16,30.27
2023-02-15,30.53
2023-02-14,30.4
2023-02-13,30.34
2023-02-10,29.97
2023-02-09,29.66
2023-02-08,29.61
2023-02-07,30.0
2023-02-06,29.77
2023-02-03,30.51
