Date,Close Price
2024-01-02,30.79
2023-12-29,32.3
2023-12-28,33.33
2023-12-27,32.97
2023-12-26,33.08
2023-12-22,32.14
2023-12-21,32.29
2023-12-20,32.04
2023-12-19,33.47
2023-12-18,32.52
2023-12-15,33.67
2023-12-14,33.78
2023-12-13,33.32
2023-12-12,31.74
2023-12-11,30.98
2023-12-08,31.0
2023-12-07,31.05
2023-12-06,32.06
2023-12-05,32.38
2023-12-04,31.25
2023-12-01,30.48
2023-11-30,29.06
2023-11-29,29.4
2023-11-28,29.09
2023-11-27,28.79
2023-11-24,29.03
2023-11-22,28.5
2023-11-21,27.47
2023-11-20,27.77
2023-11-17,26.97
2023-11-16,25.84
2023-11-15,25.2
2023-11-14,25.09
2023-11-13,24.23
2023-11-10,23.78
2023-11-09,23.31
2023-11-08,23.93
2023-11-07,24.35
2023-11-06,24.93
2023-11-03,25.92
2023-11-02,24.63
2023-11-01,24.52
2023-10-31,23.54
2023-10-30,19.71
2023-10-27,19.2
2023-10-26,19.57
2023-10-25,19.41
2023-10-24,19.64
2023-10-23,19.75
2023-10-20,20.13
2023-10-19,21.31
2023-10-18,22.52
2023-10-17,23.11
2023-10-16,23.9
2023-10-13,21.11
2023-10-12,30.265
2023-10-11,31.27
2023-10-10,32.53
2023-10-09,32.595
2023-10-06,32.41
2023-10-05,32.24
2023-10-04,31.78
2023-10-03,32.38
2023-10-02,32.44
2023-09-29,32.77
2023-09-28,34.36
2023-09-27,33.75
2023-09-26,34.0
2023-09-25,33.13
2023-09-22,36.28
2023-09-21,35.72
2023-09-20,37.35
2023-09-19,36.78
2023-09-18,35.95
2023-09-15,37.52
2023-09-14,38.03
2023-09-13,38.12
2023-09-12,39.03
2023-09-11,38.05
2023-09-08,38.1
2023-09-07,38.0
2023-09-06,36.64
2023-09-05,35.22
2023-09-01,36.09
2023-08-31,36.25
2023-08-30,35.34
2023-08-29,34.97
2023-08-28,34.3
2023-08-25,32.52
2023-08-24,31.89
2023-08-23,32.01
2023-08-22,32.62
2023-08-21,32.33
2023-08-18,32.43
2023-08-17,32.52
2023-08-16,32.33
2023-08-15,32.89
2023-08-14,32.4
2023-08-11,31.91
2023-08-10,32.06
2023-08-09,33.14
2023-08-08,33.31
2023-08-07,33.5
2023-08-04,33.6
2023-08-03,32.56
2023-08-02,32.56
2023-08-01,33.99
2023-07-31,35.37
2023-07-28,35.21
2023-07-27,35.06
2023-07-26,35.5
2023-07-25,36.45
2023-07-24,35.43
2023-07-21,35.61
2023-07-20,34.96
2023-07-19,35.56
2023-07-18,36.45
2023-07-17,36.44
2023-07-14,35.35
2023-07-13,34.6
2023-07-12,34.54
2023-07-11,34.24
2023-07-10,33.53
2023-07-07,33.43
2023-07-06,33.99
2023-07-05,34.24
2023-07-03,34.84
2023-06-30,35.19
2023-06-29,35.33
2023-06-28,34.83
2023-06-27,34.89
2023-06-26,35.66
2023-06-23,36.03
2023-06-22,36.91
2023-06-21,37.4
2023-06-20,36.54
2023-06-16,36.27
2023-06-15,36.27
2023-06-14,35.76
2023-06-13,36.23
2023-06-12,35.27
2023-06-09,34.95
2023-06-08,35.99
2023-06-07,36.44
2023-06-06,36.45
2023-06-05,35.46
2023-06-02,35.19
2023-06-01,34.39
2023-05-31,34.58
2023-05-30,35.08
2023-05-26,35.56
2023-05-25,35.99
2023-05-24,36.32
2023-05-23,35.98
2023-05-22,35.64
2023-05-19,35.01
2023-05-18,35.88
2023-05-17,35.53
2023-05-16,35.9
2023-05-15,36.54
2023-05-12,36.13
2023-05-11,36.31
2023-05-10,35.8
2023-05-09,36.59
2023-05-08,36.05
2023-05-05,35.86
2023-05-04,35.55
2023-05-03,35.99
2023-05-02,33.55
2023-05-01,32.76
2023-04-28,32.24
2023-04-27,31.3
2023-04-26,31.68
2023-04-25,31.76
2023-04-24,32.41
2023-04-21,32.4
2023-04-20,31.68
2023-04-19,32.97
2023-04-18,33.3
2023-04-17,33.35
2023-04-14,31.51
2023-04-13,31.79
2023-04-12,30.81
2023-04-11,31.675
2023-04-10,31.64
2023-04-06,30.5
2023-04-05,31.02
2023-04-04,31.13
2023-04-03,33.19
2023-03-31,32.65
2023-03-30,32.68
2023-03-29,33.36
2023-03-28,30.8
2023-03-27,41.5
2023-03-24,41.69
2023-03-23,41.8
2023-03-22,42.23
2023-03-21,44.0
2023-03-20,43.96
2023-03-17,41.92
2023-03-16,40.95
2023-03-15,40.64
2023-03-14,41.5
2023-03-13,41.52
2023-03-10,41.26
2023-03-09,42.72
2023-03-08,43.36
2023-03-07,43.22
2023-03-06,43.31
2023-03-03,43.24
2023-03-02,42.96
2023-03-01,42.81
2023-02-28,44.03
2023-02-27,44.76
2023-02-24,45.33
2023-02-23,46.1
2023-02-22,46.27
2023-02-21,43.81
2023-02-17,49.27
2023-02-16,48.69
2023-02-15,48.82
2023-02-14,47.04
2023-02-13,46.94
2023-02-10,47.16
2023-02-09,47.87
2023-02-08,48.82
2023-02-07,49.49
2023-02-06,49.55
2023-02-03,49.34
2023-02-02,48.84
2023-02-01,48.21
2023-01-31,48.17
2023-01-30,47.76
2023-01-27,48.57
2023-01-26,48.82
2023-01-25,49.68
2023-01-24,49.66
2023-01-23,49.07
2023-01-20,49.5
2023-01-19,49.88
2023-01-18,49.64
2023-01-17,49.04
2023-01-13,47.42
2023-01-12,47.71
2023-01-11,47.46
2023-01-10,47.31
2023-01-09,45.02
2023-01-06,53.66
2023-01-05,53.92
2023-01-04,53.78
2023-01-03,52.96
2022-12-30,55.1
2022-12-29,55.16
2022-12-28,54.05
2022-12-27,55.33
2022-12-23,56.7
2022-12-22,57.25
2022-12-21,57.19
2022-12-20,56.13
2022-12-19,55.27
2022-12-16,55.68
2022-12-15,56.13
2022-12-14,58.65
2022-12-13,59.29
2022-12-12,60.03
2022-12-09,59.03
2022-12-08,59.84
2022-12-07,60.02
2022-12-06,59.65
2022-12-05,60.91
2022-12-02,60.48
2022-12-01,60.0
2022-11-30,59.77
2022-11-29,57.44
2022-11-28,57.89
2022-11-25,58.09
2022-11-23,57.5
2022-11-22,57.95
2022-11-21,57.28
2022-11-18,57.01
2022-11-17,56.06
2022-11-16,55.64
2022-11-15,56.1
2022-11-14,58.57
2022-11-11,56.88
2022-11-10,58.71
2022-11-09,57.08
2022-11-08,58.65
2022-11-07,57.11
2022-11-04,58.85
2022-11-03,59.94
2022-11-02,58.49
2022-11-01,59.26
2022-10-31,52.0
2022-10-28,52.38
2022-10-27,51.7
2022-10-26,51.44
2022-10-25,51.69
2022-10-24,51.54
2022-10-21,50.17
2022-10-20,48.86
2022-10-19,50.19
2022-10-18,51.21
2022-10-17,49.46
2022-10-14,51.07
2022-10-13,47.63
2022-10-12,46.64
2022-10-11,47.66
2022-10-10,47.3
2022-10-07,47.31
2022-10-06,48.12
2022-10-05,48.47
2022-10-04,47.49
2022-10-03,45.4
2022-09-30,44.29
2022-09-29,43.64
2022-09-28,43.92
2022-09-27,42.65
2022-09-26,42.06
2022-09-23,42.47
2022-09-22,42.87
2022-09-21,42.78
2022-09-20,43.43
2022-09-19,43.55
2022-09-16,43.84
2022-09-15,44.94
2022-09-14,45.27
2022-09-13,45.85
2022-09-12,47.38
2022-09-09,47.01
2022-09-08,47.7
2022-09-07,46.06
2022-09-06,44.52
2022-09-02,44.36
2022-09-01,45.38
2022-08-31,43.91
2022-08-30,44.17
2022-08-29,45.26
2022-08-26,47.6
2022-08-25,48.07
2022-08-24,46.89
2022-08-23,47.23
2022-08-22,46.87
