Date,Close Price
2024-01-02,28.56
2023-12-29,29.53
2023-12-28,29.46
2023-12-27,29.48
2023-12-26,29.28
2023-12-22,29.24
2023-12-21,29.59
2023-12-20,28.78
2023-12-19,28.98
2023-12-18,28.2
2023-12-15,28.07
2023-12-14,28.54
2023-12-13,28.07
2023-12-12,28.05
2023-12-11,28.15
2023-12-08,28.1
2023-12-07,28.17
2023-12-06,27.62
2023-12-05,28.07
2023-12-04,28.64
2023-12-01,27.92
2023-11-30,27.18
2023-11-29,27.11
2023-11-28,26.97
2023-11-27,27.4
2023-11-24,27.24
2023-11-22,27.35
2023-11-21,27.22
2023-11-20,27.78
2023-11-17,27.15
2023-11-16,27.04
2023-11-15,27.25
2023-11-14,27.0
2023-11-13,25.33
2023-11-10,25.68
2023-11-09,25.51
2023-11-08,25.62
2023-11-07,25.09
2023-11-06,25.67
2023-11-03,25.09
2023-11-02,24.69
2023-11-01,24.26
2023-10-31,24.34
2023-10-30,24.14
2023-10-27,24.2
2023-10-26,24.74
2023-10-25,23.04
2023-10-24,23.0
2023-10-23,23.57
2023-10-20,24.55
2023-10-19,24.64
2023-10-18,25.15
2023-10-17,25.65
2023-10-16,25.26
2023-10-13,25.48
2023-10-12,25.97
2023-10-11,25.98
2023-10-10,25.93
2023-10-09,25.73
2023-10-06,25.55
2023-10-05,25.32
2023-10-04,25.38
2023-10-03,25.03
2023-10-02,25.05
2023-09-29,25.02
2023-09-28,25.15
2023-09-27,24.91
2023-09-26,24.73
2023-09-25,25.35
2023-09-22,25.23
2023-09-21,25.65
2023-09-20,25.58
2023-09-19,26.09
2023-09-18,25.66
2023-09-15,24.88
2023-09-14,24.56
2023-09-13,24.14
2023-09-12,24.29
2023-09-11,24.46
2023-09-08,24.4
2023-09-07,24.67
2023-09-06,25.44
2023-09-05,25.82
2023-09-01,26.87
2023-08-31,26.49
2023-08-30,27.23
2023-08-29,27.22
2023-08-28,27.39
2023-08-25,27.61
2023-08-24,27.27
2023-08-23,27.24
2023-08-22,27.24
2023-08-21,27.09
2023-08-18,27.25
2023-08-17,26.84
2023-08-16,26.8
2023-08-15,27.18
2023-08-14,27.42
2023-08-11,27.65
2023-08-10,27.87
2023-08-09,28.19
2023-08-08,28.17
2023-08-07,28.21
2023-08-04,27.31
2023-08-03,28.09
2023-08-02,28.0
2023-08-01,28.12
2023-07-31,27.27
2023-07-28,27.1
2023-07-27,26.86
2023-07-26,27.13
2023-07-25,27.38
2023-07-24,28.07
2023-07-21,27.49
2023-07-20,28.21
2023-07-19,29.32
2023-07-18,28.68
2023-07-17,28.25
