Date,Close Price
2024-01-03,24.92
2024-01-02,25.36
2023-12-29,25.78
2023-12-28,26.14
2023-12-27,26.66
2023-12-26,26.42
2023-12-22,26.06
2023-12-21,25.91
2023-12-20,24.92
2023-12-19,26.12
2023-12-18,25.79
2023-12-15,25.47
2023-12-14,25.83
2023-12-13,25.41
2023-12-12,25.35
2023-12-11,25.24
2023-12-08,25.32
2023-12-07,26.03
2023-12-06,25.71
2023-12-05,26.28
2023-12-04,28.83
2023-12-01,30.57
2023-11-30,29.51
2023-11-29,29.55
2023-11-28,30.36
2023-11-27,30.18
2023-11-24,31.2
2023-11-22,31.49
2023-11-21,31.09
2023-11-20,31.26
2023-11-17,31.44
2023-11-16,31.49
2023-11-15,31.19
2023-11-14,30.46
2023-11-13,29.35
2023-11-10,29.24
2023-11-09,29.18
2023-11-08,29.12
2023-11-07,29.29
2023-11-06,29.55
2023-11-03,29.48
2023-11-02,28.96
2023-11-01,28.54
2023-10-31,28.65
2023-10-30,28.54
2023-10-27,28.51
2023-10-26,28.59
2023-10-25,29.15
2023-10-24,29.39
2023-10-23,29.04
2023-10-20,28.78
2023-10-19,29.06
2023-10-18,29.51
2023-10-17,29.38
2023-10-16,28.7
2023-10-13,27.98
2023-10-12,28.94
2023-10-11,28.94
2023-10-10,28.94
2023-10-09,28.59
2023-10-06,27.86
2023-10-05,27.45
2023-10-04,28.64
2023-10-03,28.44
2023-10-02,29.43
2023-09-29,29.6
2023-09-28,29.68
2023-09-27,27.59
2023-09-26,27.09
2023-09-25,26.81
2023-09-22,26.43
2023-09-21,26.8
2023-09-20,26.55
2023-09-19,25.45
2023-09-18,25.98
2023-09-15,26.66
2023-09-14,26.97
2023-09-13,26.11
2023-09-12,26.72
2023-09-11,26.36
2023-09-08,25.89
2023-09-07,25.39
2023-09-06,25.86
2023-09-05,25.12
2023-09-01,25.81
2023-08-31,25.11
2023-08-30,23.41
2023-08-29,23.74
2023-08-28,23.34
2023-08-25,22.66
2023-08-24,22.63
2023-08-23,23.13
2023-08-22,22.98
2023-08-21,23.36
2023-08-18,23.63
2023-08-17,23.37
2023-08-16,24.01
2023-08-15,22.75
2023-08-14,23.1
2023-08-11,22.89
2023-08-10,22.59
2023-08-09,22.33
2023-08-08,21.97
2023-08-07,22.42
2023-08-04,23.08
2023-08-03,23.08
2023-08-02,22.64
2023-08-01,22.5
2023-07-31,22.7
2023-07-28,22.5
2023-07-27,22.53
2023-07-26,22.55
2023-07-25,22.6
2023-07-24,22.0
2023-07-21,21.23
2023-07-20,21.02
2023-07-19,20.52
2023-07-18,19.66
2023-07-17,18.89
2023-07-14,19.2
2023-07-13,19.18
2023-07-12,20.11
2023-07-11,19.54
2023-07-10,19.37
2023-07-07,19.33
2023-07-06,19.28
2023-07-05,20.21
2023-07-03,21.34
2023-06-30,21.43
2023-06-29,20.42
2023-06-28,20.27
2023-06-27,20.2
