Date,Close Price
2024-01-03,29.81
2024-01-02,29.23
2023-12-29,28.78
2023-12-28,28.75
2023-12-27,28.63
2023-12-26,28.85
2023-12-22,28.79
2023-12-21,28.63
2023-12-20,28.05
2023-12-19,28.33
2023-12-18,27.74
2023-12-15,27.84
2023-12-14,28.24
2023-12-13,27.64
2023-12-12,27.03
2023-12-11,26.8
2023-12-08,26.64
2023-12-07,26.5
2023-12-06,26.39
2023-12-05,26.2
2023-12-04,26.39
2023-12-01,27.34
2023-11-30,26.99
2023-11-29,26.94
2023-11-28,26.91
2023-11-27,26.79
2023-11-24,26.86
2023-11-22,26.72
2023-11-21,26.32
2023-11-20,26.47
2023-11-17,25.98
2023-11-16,26.37
2023-11-15,26.14
2023-11-14,25.8
2023-11-13,25.3
2023-11-10,25.435
2023-11-09,25.1
2023-11-08,25.0
2023-11-07,25.2
2023-11-06,25.48
2023-11-03,26.1
2023-11-02,25.75
2023-11-01,25.12
2023-10-31,24.55
2023-10-30,24.11
2023-10-27,23.85
2023-10-26,24.12
2023-10-25,24.45
2023-10-24,24.77
2023-10-23,24.73
2023-10-20,25.01
2023-10-19,25.23
2023-10-18,25.6
2023-10-17,26.3
2023-10-16,26.3
2023-10-13,26.12
2023-10-12,25.925
2023-10-11,25.98
2023-10-10,25.66
2023-10-09,25.47
2023-10-06,25.075
2023-10-05,24.62
2023-10-04,24.71
2023-10-03,24.61
2023-10-02,25.32
2023-09-29,25.46
2023-09-28,24.98
2023-09-27,24.72
2023-09-26,23.65
2023-09-25,22.9
2023-09-22,22.71
2023-09-21,22.78
2023-09-20,22.97
2023-09-19,22.95
2023-09-18,22.64
2023-09-15,22.53
2023-09-14,23.35
2023-09-13,22.87
2023-09-12,23.42
2023-09-11,22.83
2023-09-08,23.15
2023-09-07,23.04
2023-09-06,23.65
2023-09-05,23.63
2023-09-01,24.58
2023-08-31,24.44
2023-08-30,24.58
2023-08-29,23.84
2023-08-28,23.37
2023-08-25,23.28
2023-08-24,23.42
2023-08-23,23.84
2023-08-22,23.8
2023-08-21,23.91
2023-08-18,23.8
2023-08-17,24.04
2023-08-16,23.85
2023-08-15,24.07
2023-08-14,24.3
2023-08-11,23.66
2023-08-10,22.75
2023-08-09,23.04
2023-08-08,22.56
2023-08-07,23.08
2023-08-04,22.53
2023-08-03,32.83
2023-08-02,32.49
2023-08-01,32.54
2023-07-31,31.83
2023-07-28,32.31
2023-07-27,31.96
2023-07-26,32.13
2023-07-25,31.12
2023-07-24,31.72
2023-07-21,33.28
2023-07-20,34.57
2023-07-19,34.5
2023-07-18,34.68
2023-07-17,33.95
2023-07-14,33.41
2023-07-13,34.11
2023-07-12,33.92
2023-07-11,33.64
2023-07-10,33.43
2023-07-07,33.49
2023-07-06,32.78
2023-07-05,32.99
2023-07-03,33.01
2023-06-30,32.73
2023-06-29,31.75
2023-06-28,31.83
2023-06-27,30.65
2023-06-26,29.83
2023-06-23,29.72
2023-06-22,30.1
2023-06-21,29.99
2023-06-20,30.28
2023-06-16,30.91
2023-06-15,30.79
2023-06-14,30.46
2023-06-13,30.58
2023-06-12,30.08
2023-06-09,29.65
2023-06-08,29.79
2023-06-07,29.63
2023-06-06,29.18
2023-06-05,28.6
2023-06-02,28.2
2023-06-01,28.6
2023-05-31,27.96
2023-05-30,28.51
2023-05-26,28.42
2023-05-25,27.63
2023-05-24,28.08
2023-05-23,28.0
2023-05-22,28.19
2023-05-19,28.07
2023-05-18,28.59
2023-05-17,28.51
2023-05-16,27.75
2023-05-15,28.47
2023-05-12,27.8
2023-05-11,28.86
2023-05-10,28.15
2023-05-09,27.76
2023-05-08,29.0
2023-05-05,28.81
2023-05-04,26.9
2023-05-03,27.7
2023-05-02,27.53
2023-05-01,28.51
2023-04-28,27.94
2023-04-27,27.22
2023-04-26,26.62
2023-04-25,27.28
2023-04-24,27.85
2023-04-21,28.42
2023-04-20,28.36
2023-04-19,28.78
2023-04-18,28.56
2023-04-17,29.24
2023-04-14,29.0
2023-04-13,29.54
2023-04-12,29.12
2023-04-11,29.18
2023-04-10,28.82
2023-04-06,28.16
2023-04-05,28.24
2023-04-04,27.5
2023-04-03,28.0
2023-03-31,27.99
2023-03-30,27.2
2023-03-29,26.71
2023-03-28,26.37
2023-03-27,26.49
2023-03-24,25.75
2023-03-23,25.28
2023-03-22,26.21
2023-03-21,27.37
2023-03-20,26.7
2023-03-17,26.19
2023-03-16,26.63
2023-03-15,26.47
2023-03-14,26.67
2023-03-13,27.0
2023-03-10,27.46
2023-03-09,28.73
2023-03-08,29.07
2023-03-07,29.68
2023-03-06,31.29
2023-03-03,31.19
2023-03-02,31.6
2023-03-01,31.5
2023-02-28,32.22
2023-02-27,32.7
2023-02-24,32.01
2023-02-23,33.0
2023-02-22,32.95
2023-02-21,33.26
2023-02-17,33.84
2023-02-16,33.84
2023-02-15,34.67
2023-02-14,35.02
2023-02-13,35.15
2023-02-10,34.92
2023-02-09,35.14
2023-02-08,35.9
2023-02-07,35.78
2023-02-06,35.75
2023-02-03,37.06
2023-02-02,38.14
2023-02-01,40.91
2023-01-31,40.3
2023-01-30,40.13
2023-01-27,40.41
2023-01-26,40.57
2023-01-25,40.19
2023-01-24,39.96
2023-01-23,40.02
2023-01-20,39.99
2023-01-19,39.93
2023-01-18,40.44
2023-01-17,41.68
2023-01-13,41.19
2023-01-12,40.68
2023-01-11,40.66
2023-01-10,40.32
2023-01-09,40.37
2023-01-06,40.79
2023-01-05,40.21
2023-01-04,40.14
2023-01-03,39.45
2022-12-30,39.13
2022-12-29,39.34
2022-12-28,38.73
2022-12-27,38.9
2022-12-23,39.14
2022-12-22,38.98
2022-12-21,39.02
2022-12-20,38.57
2022-12-19,38.5
2022-12-16,38.88
2022-12-15,39.19
2022-12-14,40.81
2022-12-13,41.39
2022-12-12,41.31
2022-12-09,41.36
2022-12-08,41.69
2022-12-07,41.53
2022-12-06,41.77
2022-12-05,42.35
2022-12-02,42.84
2022-12-01,43.28
2022-11-30,43.83
2022-11-29,42.89
2022-11-28,42.99
2022-11-25,43.44
2022-11-23,43.37
2022-11-22,42.85
2022-11-21,42.13
2022-11-18,41.98
2022-11-17,43.37
2022-11-16,44.27
2022-11-15,44.42
2022-11-14,44.2
2022-11-11,44.7
2022-11-10,44.01
2022-11-09,42.92
2022-11-08,43.02
2022-11-07,42.6
2022-11-04,41.65
2022-11-03,42.04
2022-11-02,42.06
2022-11-01,42.37
2022-10-31,42.19
2022-10-28,42.65
2022-10-27,41.89
2022-10-26,41.92
2022-10-25,42.31
2022-10-24,42.0
2022-10-21,41.58
2022-10-20,40.5
2022-10-19,40.41
2022-10-18,40.97
2022-10-17,40.66
2022-10-14,39.26
2022-10-13,39.32
2022-10-12,38.53
2022-10-11,39.07
2022-10-10,39.38
2022-10-07,39.32
2022-10-06,39.72
2022-10-05,40.01
2022-10-04,39.88
2022-10-03,38.53
2022-09-30,37.71
2022-09-29,37.43
2022-09-28,37.92
2022-09-27,37.18
2022-09-26,37.2
2022-09-23,37.57
2022-09-22,38.97
2022-09-21,39.87
2022-09-20,40.18
2022-09-19,40.58
2022-09-16,40.4
2022-09-15,40.99
2022-09-14,41.29
2022-09-13,41.32
2022-09-12,42.91
2022-09-09,42.33
2022-09-08,41.14
2022-09-07,40.83
2022-09-06,40.11
2022-09-02,41.19
2022-09-01,41.2
2022-08-31,41.36
2022-08-30,41.44
2022-08-29,41.88
2022-08-26,42.18
2022-08-25,42.73
2022-08-24,42.25
2022-08-23,42.24
2022-08-22,42.63
2022-08-19,42.91
2022-08-18,43.84
2022-08-17,44.31
2022-08-16,44.87
2022-08-15,44.99
2022-08-12,44.56
2022-08-11,43.77
2022-08-10,42.63
2022-08-09,41.37
2022-08-08,41.48
2022-08-05,40.96
2022-08-04,41.44
2022-08-03,41.08
2022-08-02,40.23
2022-08-01,40.16
2022-07-29,39.82
2022-07-28,39.75
2022-07-27,39.31
2022-07-26,39.23
2022-07-25,39.4
2022-07-22,39.44
2022-07-21,39.67
2022-07-20,38.87
2022-07-19,37.67
2022-07-18,36.68
2022-07-15,36.56
2022-07-14,35.84
2022-07-13,36.57
2022-07-12,36.18
2022-07-11,36.04
2022-07-08,36.63
2022-07-07,37.09
2022-07-06,36.95
2022-07-05,37.12
2022-07-01,36.84
2022-06-30,36.05
2022-06-29,36.15
2022-06-28,36.0
2022-06-27,36.41
2022-06-24,36.09
2022-06-23,35.31
2022-06-22,34.86
2022-06-21,35.33
2022-06-17,35.62
2022-06-16,34.96
2022-06-15,36.64
2022-06-14,36.22
2022-06-13,36.31
2022-06-10,38.41
2022-06-09,39.32
2022-06-08,39.95
2022-06-07,40.43
2022-06-06,40.87
2022-06-03,40.67
2022-06-02,41.06
2022-06-01,41.01
2022-05-31,41.1
2022-05-27,41.53
2022-05-26,41.15
2022-05-25,40.72
2022-05-24,39.88
2022-05-23,40.29
2022-05-20,40.03
2022-05-19,40.3
2022-05-18,39.57
2022-05-17,40.23
2022-05-16,38.95
2022-05-13,39.44
2022-05-12,39.48
2022-05-11,39.08
2022-05-10,38.8
2022-05-09,38.46
2022-05-06,40.22
2022-05-05,42.0
2022-05-04,42.7
2022-05-03,41.92
2022-05-02,42.1
2022-04-29,41.88
2022-04-28,42.87
2022-04-27,41.83
2022-04-26,43.06
2022-04-25,43.83
2022-04-22,43.89
2022-04-21,44.43
2022-04-20,44.96
2022-04-19,45.31
2022-04-18,44.45
2022-04-14,45.32
2022-04-13,45.5
2022-04-12,45.01
2022-04-11,44.75
2022-04-08,44.52
2022-04-07,44.54
2022-04-06,44.79
2022-04-05,45.34
2022-04-04,46.07
2022-04-01,45.82
2022-03-31,45.73
2022-03-30,46.27
2022-03-29,46.26
2022-03-28,46.28
2022-03-25,46.66
2022-03-24,46.38
2022-03-23,45.6
2022-03-22,46.15
2022-03-21,45.37
2022-03-18,45.41
2022-03-17,45.57
2022-03-16,45.57
2022-03-15,45.58
2022-03-14,44.71
2022-03-11,44.24
2022-03-10,44.6
2022-03-09,44.8
2022-03-08,44.41
2022-03-07,43.94
2022-03-04,46.82
2022-03-03,48.37
2022-03-02,48.6
2022-03-01,48.32
2022-02-28,50.32
2022-02-25,50.76
2022-02-24,50.24
2022-02-23,49.51
2022-02-22,50.59
2022-02-18,51.16
2022-02-17,51.11
2022-02-16,52.34
2022-02-15,51.34
2022-02-14,50.59
2022-02-11,50.86
2022-02-10,51.1
2022-02-09,51.73
2022-02-08,51.24
2022-02-07,49.98
2022-02-04,49.78
2022-02-03,48.26
2022-02-02,48.28
2022-02-01,48.46
2022-01-31,46.53
2022-01-28,45.34
2022-01-27,44.7
2022-01-26,44.58
2022-01-25,45.42
2022-01-24,45.99
2022-01-21,46.5
2022-01-20,47.04
2022-01-19,47.72
2022-01-18,47.94
2022-01-14,48.66
2022-01-13,49.25
2022-01-12,49.33
2022-01-11,49.18
2022-01-10,48.85
2022-01-07,49.22
2022-01-06,49.25
2022-01-05,49.32
2022-01-04,50.3
2022-01-03,50.85
2021-12-31,50.85
2021-12-30,50.78
2021-12-29,50.51
2021-12-28,50.56
2021-12-27,50.14
2021-12-23,49.89
2021-12-22,48.99
2021-12-21,48.89
2021-12-20,48.03
2021-12-17,48.31
2021-12-16,48.01
2021-12-15,48.29
2021-12-14,47.74
2021-12-13,47.66
2021-12-10,48.29
2021-12-09,48.14
2021-12-08,48.43
2021-12-07,48.77
2021-12-06,49.69
2021-12-03,48.22
2021-12-02,47.82
2021-12-01,47.02
2021-11-30,48.93
2021-11-29,49.73
2021-11-26,49.31
2021-11-24,50.94
2021-11-23,51.25
2021-11-22,51.38
2021-11-19,52.09
2021-11-18,53.46
2021-11-17,55.6
2021-11-16,55.36
2021-11-15,55.59
2021-11-12,55.01
2021-11-11,54.94
2021-11-10,54.41
2021-11-09,54.53
2021-11-08,54.14
2021-11-05,54.68
2021-11-04,52.32
2021-11-03,51.38
2021-11-02,50.34
2021-11-01,50.46
2021-10-29,49.32
2021-10-28,49.54
2021-10-27,48.6
2021-10-26,48.73
2021-10-25,48.96
2021-10-22,48.96
2021-10-21,49.19
2021-10-20,49.34
2021-10-19,48.37
2021-10-18,48.51
2021-10-15,48.76
2021-10-14,48.65
2021-10-13,48.29
2021-10-12,48.82
2021-10-11,48.52
2021-10-08,48.57
2021-10-07,49.04
2021-10-06,48.76
2021-10-05,48.9
2021-10-04,48.12
2021-10-01,48.17
2021-09-30,47.47
2021-09-29,47.67
2021-09-28,47.63
2021-09-27,47.65
2021-09-24,47.17
2021-09-23,47.66
2021-09-22,47.38
2021-09-21,47.12
2021-09-20,47.15
2021-09-17,47.61
2021-09-16,48.01
2021-09-15,47.99
2021-09-14,47.75
2021-09-13,47.92
2021-09-10,47.39
2021-09-09,48.07
2021-09-08,48.8
2021-09-07,48.84
2021-09-03,50.1
2021-09-02,50.0
2021-09-01,49.64
2021-08-31,49.35
2021-08-30,49.4
2021-08-27,49.29
2021-08-26,48.55
2021-08-25,49.26
2021-08-24,48.71
2021-08-23,48.09
2021-08-20,48.26
2021-08-19,47.61
2021-08-18,47.89
2021-08-17,47.83
2021-08-16,47.55
2021-08-13,47.7
2021-08-12,47.63
2021-08-11,47.5
2021-08-10,47.71
2021-08-09,47.72
2021-08-06,48.67
2021-08-05,48.08
2021-08-04,46.94
2021-08-03,46.88
2021-08-02,46.57
2021-07-30,46.2
2021-07-29,46.39
2021-07-28,46.6
2021-07-27,47.03
2021-07-26,45.61
2021-07-23,45.73
2021-07-22,45.94
2021-07-21,46.05
2021-07-20,45.52
2021-07-19,43.95
2021-07-16,45.09
2021-07-15,45.46
2021-07-14,46.02
2021-07-13,45.55
2021-07-12,46.22
2021-07-09,46.52
2021-07-08,45.59
2021-07-07,46.01
2021-07-06,46.53
2021-07-02,46.49
2021-07-01,46.33
2021-06-30,46.39
2021-06-29,46.9
2021-06-28,46.94
2021-06-25,47.08
2021-06-24,46.01
2021-06-23,44.98
2021-06-22,44.66
2021-06-21,44.13
2021-06-18,43.69
2021-06-17,44.01
2021-06-16,44.79
2021-06-15,44.93
2021-06-14,45.66
2021-06-11,45.66
2021-06-10,45.47
2021-06-09,45.36
2021-06-08,46.04
2021-06-07,44.36
2021-06-04,43.89
2021-06-03,43.61
2021-06-02,44.34
2021-06-01,44.0
2021-05-28,43.51
2021-05-27,43.52
2021-05-26,41.91
2021-05-25,41.84
2021-05-24,42.24
2021-05-21,41.56
2021-05-20,41.7
2021-05-19,40.79
2021-05-18,40.88
2021-05-17,41.2
2021-05-14,41.78
2021-05-13,41.13
2021-05-12,41.32
2021-05-11,42.19
2021-05-10,42.16
2021-05-07,42.85
2021-05-06,42.77
2021-05-05,43.25
2021-05-04,43.69
2021-05-03,44.28
2021-04-30,45.23
2021-04-29,45.57
2021-04-28,44.97
2021-04-27,46.34
2021-04-26,46.96
2021-04-23,46.61
2021-04-22,46.0
2021-04-21,46.26
2021-04-20,45.87
2021-04-19,45.04
2021-04-16,45.5
2021-04-15,45.61
2021-04-14,45.92
2021-04-13,46.0
2021-04-12,46.48
2021-04-09,46.83
2021-04-08,46.43
2021-04-07,46.47
2021-04-06,45.87
2021-04-05,45.89
2021-04-01,45.54
2021-03-31,44.11
2021-03-30,44.34
2021-03-29,44.23
2021-03-26,44.62
2021-03-25,44.56
2021-03-24,44.18
2021-03-23,45.06
2021-03-22,45.68
2021-03-19,45.17
2021-03-18,45.61
2021-03-17,47.04
2021-03-16,46.79
2021-03-15,45.81
2021-03-12,45.34
2021-03-11,45.45
2021-03-10,45.34
2021-03-09,44.63
2021-03-08,44.05
2021-03-05,43.7
2021-03-04,43.38
2021-03-03,44.39
2021-03-02,44.65
2021-03-01,44.47
2021-02-26,44.12
2021-02-25,44.8
2021-02-24,45.43
2021-02-23,44.12
2021-02-22,44.17
2021-02-19,43.25
2021-02-18,42.31
2021-02-17,42.65
2021-02-16,42.8
2021-02-12,42.96
2021-02-11,42.81
2021-02-10,42.73
2021-02-09,43.18
2021-02-08,42.94
2021-02-05,42.77
2021-02-04,43.84
2021-02-03,43.45
2021-02-02,43.11
2021-02-01,40.99
2021-01-29,40.56
2021-01-28,41.34
2021-01-27,39.87
2021-01-26,42.61
2021-01-25,40.91
2021-01-22,40.38
2021-01-21,40.69
2021-01-20,40.62
2021-01-19,40.75
2021-01-15,39.85
2021-01-14,39.88
2021-01-13,40.92
2021-01-12,41.38
2021-01-11,42.79
2021-01-08,41.93
2021-01-07,44.19
2021-01-06,44.57
2021-01-05,42.43
2021-01-04,42.49
2020-12-31,43.51
2020-12-30,43.17
2020-12-29,43.03
2020-12-28,43.16
2020-12-24,42.79
2020-12-23,42.68
2020-12-22,42.45
2020-12-21,42.32
2020-12-18,43.16
2020-12-17,43.58
2020-12-16,43.28
2020-12-15,43.12
2020-12-14,42.76
2020-12-11,42.37
2020-12-10,42.13
2020-12-09,42.21
2020-12-08,43.32
2020-12-07,42.72
2020-12-04,41.385
2020-12-03,41.52
2020-12-02,41.22
2020-12-01,41.62
2020-11-30,41.01
2020-11-27,42.23
2020-11-25,41.63
2020-11-24,42.45
2020-11-23,42.72
2020-11-20,42.36
2020-11-19,42.94
2020-11-18,42.79
2020-11-17,42.87
2020-11-16,42.8
2020-11-13,41.51
2020-11-12,39.83
2020-11-11,40.35
2020-11-10,39.68
2020-11-09,39.65
2020-11-06,38.41
2020-11-05,38.78
2020-11-04,36.96
2020-11-03,36.07
2020-11-02,35.14
2020-10-30,34.6
2020-10-29,34.97
2020-10-28,34.22
2020-10-27,35.3
2020-10-26,34.93
2020-10-23,36.85
2020-10-22,36.43
2020-10-21,35.68
2020-10-20,35.22
2020-10-19,34.14
2020-10-16,34.28
2020-10-15,34.72
2020-10-14,35.01
2020-10-13,35.54
2020-10-12,35.34
2020-10-09,35.14
2020-10-08,36.15
2020-10-07,35.495
2020-10-06,34.35
2020-10-05,34.44
2020-10-02,34.24
2020-10-01,34.79
2020-09-30,33.08
2020-09-29,33.24
2020-09-28,33.48
2020-09-25,32.75
2020-09-24,32.4
