Date,Close Price
2024-01-02,53.91
2023-12-29,54.82
2023-12-28,55.25
2023-12-27,55.76
2023-12-26,55.39
2023-12-22,54.58
2023-12-21,54.69
2023-12-20,52.76
2023-12-19,53.31
2023-12-18,51.96
2023-12-15,51.54
2023-12-14,51.03
2023-12-13,48.03
2023-12-12,45.83
2023-12-11,46.89
2023-12-08,46.99
2023-12-07,47.015
2023-12-06,46.0
2023-12-05,45.75
2023-12-04,47.16
2023-12-01,47.09
2023-11-30,44.24
2023-11-29,44.88
2023-11-28,45.21
2023-11-27,44.85
2023-11-24,45.76
2023-11-22,45.72
2023-11-21,46.38
2023-11-20,46.75
2023-11-17,46.31
2023-11-16,45.43
2023-11-15,47.03
2023-11-14,45.91
2023-11-13,42.65
2023-11-10,43.21
2023-11-09,42.6
2023-11-08,43.4
2023-11-07,43.55
2023-11-06,44.87
2023-11-03,46.65
2023-11-02,44.1
2023-11-01,44.82
2023-10-31,43.62
2023-10-30,45.12
2023-10-27,44.98
2023-10-26,45.34
2023-10-25,47.31
2023-10-24,47.91
2023-10-23,48.61
2023-10-20,50.0
2023-10-19,50.18
2023-10-18,50.62
2023-10-17,51.14
2023-10-16,50.27
2023-10-13,48.91
2023-10-12,48.53
2023-10-11,49.76
2023-10-10,49.42
2023-10-09,48.46
2023-10-06,48.65
2023-10-05,48.99
2023-10-04,49.02
2023-10-03,48.67
2023-10-02,49.41
2023-09-29,49.02
2023-09-28,48.84
2023-09-27,47.88
2023-09-26,47.12
2023-09-25,47.62
2023-09-22,47.35
2023-09-21,47.83
2023-09-20,48.47
2023-09-19,48.9
2023-09-18,48.36
2023-09-15,48.03
2023-09-14,49.76
2023-09-13,48.15
2023-09-12,47.33
2023-09-11,47.85
2023-09-08,48.19
2023-09-07,48.1
2023-09-06,48.56
2023-09-05,48.6
2023-09-01,50.12
2023-08-31,48.56
2023-08-30,50.33
2023-08-29,52.55
2023-08-28,53.42
2023-08-25,53.88
2023-08-24,53.31
2023-08-23,53.99
2023-08-22,53.42
2023-08-21,54.18
2023-08-18,54.69
2023-08-17,54.1
2023-08-16,54.1
2023-08-15,54.89
2023-08-14,56.39
2023-08-11,56.34
2023-08-10,56.65
2023-08-09,56.67
2023-08-08,57.1
2023-08-07,57.68
2023-08-04,56.82
2023-08-03,55.73
2023-08-02,59.83
2023-08-01,60.31
2023-07-31,59.95
2023-07-28,58.52
2023-07-27,58.43
2023-07-26,59.33
2023-07-25,58.75
2023-07-24,58.18
2023-07-21,57.64
2023-07-20,57.19
2023-07-19,57.98
2023-07-18,56.9
2023-07-17,55.66
2023-07-14,55.68
2023-07-13,57.83
2023-07-12,58.04
2023-07-11,56.99
2023-07-10,55.76
2023-07-07,55.95
2023-07-06,56.34
2023-07-05,57.68
2023-07-03,59.41
2023-06-30,58.66
2023-06-29,58.75
2023-06-28,57.91
2023-06-27,58.15
2023-06-26,56.87
2023-06-23,56.25
2023-06-22,57.52
2023-06-21,58.19
2023-06-20,57.9
2023-06-16,57.82
2023-06-15,61.46
2023-06-14,61.24
2023-06-13,61.67
2023-06-12,59.7
2023-06-09,59.93
2023-06-08,59.59
2023-06-07,60.58
2023-06-06,57.53
2023-06-05,53.74
2023-06-02,54.3
2023-06-01,52.14
2023-05-31,52.45
2023-05-30,53.56
2023-05-26,53.81
2023-05-25,53.41
2023-05-24,52.86
2023-05-23,53.92
2023-05-22,54.04
2023-05-19,53.62
2023-05-18,56.23
2023-05-17,54.75
2023-05-16,53.33
2023-05-15,54.96
2023-05-12,55.15
2023-05-11,55.12
2023-05-10,54.45
2023-05-09,56.19
2023-05-08,58.26
2023-05-05,57.5
2023-05-04,55.75
2023-05-03,57.24
2023-05-02,56.6
2023-05-01,56.71
2023-04-28,56.75
2023-04-27,55.41
2023-04-26,54.62
2023-04-25,55.25
2023-04-24,56.36
2023-04-21,57.04
2023-04-20,56.42
2023-04-19,56.76
2023-04-18,56.65
2023-04-17,56.05
2023-04-14,55.7
2023-04-13,55.2
2023-04-12,54.55
2023-04-11,54.76
2023-04-10,53.01
2023-04-06,51.92
2023-04-05,53.07
2023-04-04,54.49
2023-04-03,56.66
2023-03-31,56.45
2023-03-30,54.15
2023-03-29,54.35
2023-03-28,54.45
2023-03-27,54.33
2023-03-24,54.1
2023-03-23,54.25
2023-03-22,54.43
2023-03-21,55.97
2023-03-20,53.77
2023-03-17,53.74
2023-03-16,55.71
2023-03-15,55.38
2023-03-14,56.55
2023-03-13,56.1
2023-03-10,57.29
2023-03-09,58.53
2023-03-08,60.38
2023-03-07,60.4
2023-03-06,59.8
2023-03-03,60.27
2023-03-02,60.0
2023-03-01,59.22
2023-02-28,59.76
2023-02-27,59.92
2023-02-24,60.61
2023-02-23,60.95
2023-02-22,61.43
2023-02-21,60.54
2023-02-17,62.26
2023-02-16,61.69
2023-02-15,62.69
2023-02-14,61.53
2023-02-13,61.75
2023-02-10,60.43
2023-02-09,61.04
2023-02-08,63.81
2023-02-07,63.38
2023-02-06,62.49
2023-02-03,63.77
2023-02-02,65.17
2023-02-01,62.69
2023-01-31,60.59
2023-01-30,57.22
2023-01-27,56.51
2023-01-26,56.85
2023-01-25,58.66
2023-01-24,58.95
2023-01-23,58.93
2023-01-20,57.55
2023-01-19,56.57
2023-01-18,56.36
2023-01-17,58.57
2023-01-13,58.77
2023-01-12,59.17
2023-01-11,58.59
2023-01-10,58.14
2023-01-09,57.32
2023-01-06,57.37
2023-01-05,55.55
2023-01-04,55.23
2023-01-03,53.42
2022-12-30,53.3
2022-12-29,53.39
2022-12-28,51.75
2022-12-27,53.57
2022-12-23,53.92
2022-12-22,53.3
2022-12-21,55.35
2022-12-20,53.77
2022-12-19,54.29
2022-12-16,55.45
2022-12-15,55.95
2022-12-14,56.43
2022-12-13,56.38
2022-12-12,56.87
2022-12-09,55.41
2022-12-08,55.67
2022-12-07,55.66
2022-12-06,56.06
2022-12-05,56.69
2022-12-02,58.41
2022-12-01,58.09
2022-11-30,57.71
2022-11-29,56.94
2022-11-28,56.58
2022-11-25,56.95
2022-11-23,56.72
2022-11-22,57.98
2022-11-21,56.32
2022-11-18,59.22
2022-11-17,58.08
2022-11-16,57.63
2022-11-15,59.73
2022-11-14,59.2
2022-11-11,60.02
2022-11-10,57.79
2022-11-09,54.3
2022-11-08,55.1
2022-11-07,53.64
2022-11-04,53.96
2022-11-03,52.25
2022-11-02,51.24
2022-11-01,53.73
2022-10-31,52.9
2022-10-28,53.83
2022-10-27,52.64
2022-10-26,53.04
2022-10-25,51.99
2022-10-24,49.51
2022-10-21,47.81
2022-10-20,47.53
2022-10-19,48.1
2022-10-18,48.9
2022-10-17,47.23
2022-10-14,47.17
2022-10-13,49.94
2022-10-12,49.15
2022-10-11,48.42
2022-10-10,47.27
2022-10-07,46.96
2022-10-06,48.01
2022-10-05,47.47
2022-10-04,48.53
2022-10-03,47.2
2022-09-30,47.99
2022-09-29,50.43
2022-09-28,52.05
2022-09-27,51.22
2022-09-26,48.81
2022-09-23,49.54
2022-09-22,50.03
2022-09-21,50.59
2022-09-20,51.58
2022-09-19,53.74
2022-09-16,53.05
2022-09-15,55.45
2022-09-14,54.27
2022-09-13,54.38
2022-09-12,55.63
2022-09-09,54.73
2022-09-08,55.04
2022-09-07,57.76
2022-09-06,55.93
2022-09-02,58.42
2022-09-01,58.5
2022-08-31,60.03
2022-08-30,61.56
2022-08-29,62.01
2022-08-26,63.39
2022-08-25,66.39
2022-08-24,67.19
2022-08-23,66.82
2022-08-22,66.56
2022-08-19,68.33
2022-08-18,70.49
2022-08-17,69.0
2022-08-16,68.37
2022-08-15,68.05
2022-08-12,66.53
2022-08-11,64.96
2022-08-10,65.03
2022-08-09,63.36
2022-08-08,64.2
2022-08-05,62.98
2022-08-04,63.1
2022-08-03,63.23
2022-08-02,61.64
2022-08-01,62.9
2022-07-29,62.45
2022-07-28,61.54
2022-07-27,61.59
2022-07-26,60.2
2022-07-25,60.5
2022-07-22,60.16
2022-07-21,60.5
2022-07-20,59.57
2022-07-19,57.79
2022-07-18,56.26
2022-07-15,57.5
2022-07-14,56.47
2022-07-13,57.52
2022-07-12,56.66
2022-07-11,55.96
