Date,Close Price
2024-01-03,9.18
2024-01-02,9.38
2023-12-29,9.3
2023-12-28,9.5
2023-12-27,9.56
2023-12-26,9.55
2023-12-22,9.54
2023-12-21,9.43
2023-12-20,8.96
2023-12-19,9.08
2023-12-18,8.73
2023-12-15,9.03
2023-12-14,9.42
2023-12-13,9.54
2023-12-12,9.18
2023-12-11,9.21
2023-12-08,9.25
2023-12-07,9.34
2023-12-06,9.22
2023-12-05,9.11
2023-12-04,9.19
2023-12-01,8.77
2023-11-30,8.38
2023-11-29,8.66
2023-11-28,8.66
2023-11-27,8.64
2023-11-24,8.84
2023-11-22,8.78
2023-11-21,8.72
2023-11-20,9.0
2023-11-17,9.1
2023-11-16,8.88
2023-11-15,9.8
2023-11-14,9.68
2023-11-13,9.15
2023-11-10,9.21
2023-11-09,9.28
2023-11-08,9.62
2023-11-07,9.89
2023-11-06,9.71
2023-11-03,9.9
2023-11-02,9.89
2023-11-01,11.21
2023-10-31,11.46
2023-10-30,11.41
2023-10-27,11.32
2023-10-26,11.63
2023-10-25,11.86
2023-10-24,12.29
2023-10-23,12.41
2023-10-20,12.62
2023-10-19,12.74
2023-10-18,12.86
2023-10-17,12.74
2023-10-16,12.56
2023-10-13,11.77
2023-10-12,11.78
2023-10-11,12.48
2023-10-10,12.79
2023-10-09,12.78
2023-10-06,12.88
2023-10-05,12.98
2023-10-04,12.84
2023-10-03,12.7
2023-10-02,12.81
2023-09-29,12.71
2023-09-28,12.68
2023-09-27,12.32
2023-09-26,12.23
2023-09-25,12.46
2023-09-22,12.38
2023-09-21,12.57
2023-09-20,12.58
2023-09-19,12.59
2023-09-18,12.8
2023-09-15,12.73
2023-09-14,12.55
2023-09-13,12.5
2023-09-12,12.61
2023-09-11,12.76
2023-09-08,12.73
2023-09-07,12.94
2023-09-06,13.03
2023-09-05,12.64
2023-09-01,13.97
2023-08-31,14.13
2023-08-30,14.35
2023-08-29,14.07
2023-08-28,14.11
2023-08-25,14.08
2023-08-24,14.1
2023-08-23,14.57
2023-08-22,14.78
2023-08-21,14.85
2023-08-18,14.94
2023-08-17,14.87
2023-08-16,14.57
2023-08-15,14.63
2023-08-14,14.56
2023-08-11,14.76
2023-08-10,14.77
2023-08-09,14.71
2023-08-08,14.7
2023-08-07,14.85
2023-08-04,14.63
2023-08-03,14.73
2023-08-02,13.81
2023-08-01,13.66
2023-07-31,13.73
2023-07-28,13.58
2023-07-27,13.84
