Date,Close Price
2024-01-03,45.94
2024-01-02,46.59
2023-12-29,47.15
2023-12-28,47.75
2023-12-27,48.07
2023-12-26,48.0
2023-12-22,47.34
2023-12-21,46.6
2023-12-20,46.05
2023-12-19,46.7
2023-12-18,45.14
2023-12-15,44.66
2023-12-14,44.61
2023-12-13,43.7
2023-12-12,42.54
2023-12-11,42.62
2023-12-08,42.6
2023-12-07,42.4
2023-12-06,42.37
2023-12-05,42.65
2023-12-04,43.52
2023-12-01,42.23
2023-11-30,41.53
2023-11-29,40.85
2023-11-28,40.6
2023-11-27,41.77
2023-11-24,41.24
2023-11-22,40.82
2023-11-21,40.78
2023-11-20,41.36
2023-11-17,41.4
2023-11-16,41.04
2023-11-15,41.56
2023-11-14,40.66
2023-11-13,38.63
2023-11-10,38.29
2023-11-09,37.71
2023-11-08,37.81
2023-11-07,38.71
2023-11-06,39.12
2023-11-03,39.67
2023-11-02,39.31
2023-11-01,38.06
2023-10-31,37.71
2023-10-30,37.44
2023-10-27,37.82
2023-10-26,37.41
2023-10-25,37.31
2023-10-24,36.29
2023-10-23,35.07
2023-10-20,70.45
2023-10-19,70.95
2023-10-18,70.87
2023-10-17,74.74
2023-10-16,73.59
2023-10-13,72.57
2023-10-12,72.95
2023-10-11,74.87
2023-10-10,74.47
2023-10-09,74.24
2023-10-06,73.31
2023-10-05,72.73
2023-10-04,72.9
2023-10-03,72.88
2023-10-02,73.85
2023-09-29,75.16
2023-09-28,76.37
2023-09-27,75.86
2023-09-26,73.23
2023-09-25,73.88
2023-09-22,72.94
2023-09-21,72.62
2023-09-20,73.64
2023-09-19,74.49
2023-09-18,74.33
2023-09-15,73.9
2023-09-14,74.64
2023-09-13,72.68
2023-09-12,72.29
2023-09-11,72.26
2023-09-08,72.34
2023-09-07,73.28
2023-09-06,74.68
2023-09-05,75.33
2023-09-01,76.93
2023-08-31,77.16
2023-08-30,77.64
2023-08-29,78.09
2023-08-28,77.37
2023-08-25,76.22
2023-08-24,76.04
2023-08-23,76.97
2023-08-22,75.91
2023-08-21,75.56
2023-08-18,75.29
2023-08-17,75.67
2023-08-16,76.15
2023-08-15,76.62
2023-08-14,76.49
2023-08-11,77.31
2023-08-10,78.31
2023-08-09,78.58
2023-08-08,79.22
2023-08-07,78.93
2023-08-04,78.16
2023-08-03,78.56
2023-08-02,79.21
2023-08-01,79.46
2023-07-31,81.06
2023-07-28,81.37
2023-07-27,80.31
2023-07-26,81.82
2023-07-25,82.72
2023-07-24,91.8
2023-07-21,90.75
2023-07-20,91.08
2023-07-19,90.0
2023-07-18,91.5
2023-07-17,89.5
2023-07-14,86.9
2023-07-13,87.96
2023-07-12,88.03
2023-07-11,86.27
2023-07-10,85.72
2023-07-07,84.51
2023-07-06,84.0
2023-07-05,85.78
2023-07-03,87.33
2023-06-30,87.28
2023-06-29,86.71
2023-06-28,86.11
2023-06-27,86.16
2023-06-26,84.91
2023-06-23,83.75
2023-06-22,80.16
2023-06-21,80.3
2023-06-20,80.72
2023-06-16,81.29
2023-06-15,81.14
2023-06-14,81.07
2023-06-13,82.61
2023-06-12,81.49
2023-06-09,83.5
2023-06-08,84.92
2023-06-07,85.88
2023-06-06,81.29
2023-06-05,78.63
2023-06-02,78.81
2023-06-01,74.45
2023-05-31,74.26
2023-05-30,77.81
2023-05-26,76.76
2023-05-25,76.3
2023-05-24,74.93
2023-05-23,78.2
2023-05-22,79.65
2023-05-19,78.79
2023-05-18,78.67
2023-05-17,76.91
2023-05-16,75.25
2023-05-15,75.61
2023-05-12,75.14
2023-05-11,76.27
2023-05-10,75.52
2023-05-09,74.86
2023-05-08,74.92
2023-05-05,74.48
2023-05-04,71.9
2023-05-03,72.8
2023-05-02,72.53
2023-05-01,72.8
2023-04-28,71.85
2023-04-27,71.08
2023-04-26,70.29
2023-04-25,70.84
2023-04-24,69.27
2023-04-21,68.73
2023-04-20,69.76
2023-04-19,68.67
2023-04-18,68.19
2023-04-17,68.88
2023-04-14,68.63
2023-04-13,69.41
2023-04-12,69.3
2023-04-11,69.0
2023-04-10,67.41
2023-04-06,66.0
2023-04-05,67.23
2023-04-04,69.58
2023-04-03,74.21
2023-03-31,73.48
2023-03-30,72.32
2023-03-29,72.62
2023-03-28,72.51
2023-03-27,72.52
2023-03-24,71.9
2023-03-23,72.04
2023-03-22,72.39
2023-03-21,73.48
2023-03-20,71.69
2023-03-17,70.48
2023-03-16,72.98
2023-03-15,71.05
2023-03-14,73.05
2023-03-13,71.63
2023-03-10,71.65
2023-03-09,74.34
2023-03-08,74.55
2023-03-07,73.55
2023-03-06,73.88
2023-03-03,75.36
2023-03-02,75.0
2023-03-01,74.04
2023-02-28,73.97
2023-02-27,74.2
2023-02-24,72.92
2023-02-23,73.23
2023-02-22,72.75
2023-02-21,71.53
2023-02-17,74.53
2023-02-16,73.43
2023-02-15,73.46
2023-02-14,73.08
2023-02-13,72.95
2023-02-10,72.35
2023-02-09,72.89
2023-02-08,73.96
2023-02-07,75.72
2023-02-06,69.19
2023-02-03,70.19
2023-02-02,69.92
2023-02-01,68.55
2023-01-31,65.55
2023-01-30,63.07
2023-01-27,65.66
