Date,Close Price
2024-01-02,76.96
2023-12-29,78.01
2023-12-28,78.01
2023-12-27,78.64
2023-12-26,79.0
2023-12-22,77.3
2023-12-21,77.31
2023-12-20,75.61
2023-12-19,74.4
2023-12-18,72.15
2023-12-15,72.44
2023-12-14,73.14
2023-12-13,74.99
2023-12-12,71.63
2023-12-11,71.09
2023-12-08,70.99
2023-12-07,69.3
2023-12-06,69.18
2023-12-05,67.75
2023-12-04,68.87
2023-12-01,67.92
2023-11-30,67.44
2023-11-29,67.8
2023-11-28,67.01
2023-11-27,67.63
2023-11-24,67.37
2023-11-22,66.68
2023-11-21,66.31
2023-11-20,66.4
2023-11-17,66.91
2023-11-16,66.45
2023-11-15,66.31
2023-11-14,66.0
2023-11-13,65.15
2023-11-10,65.5
2023-11-09,65.03
2023-11-08,65.49
2023-11-07,65.11
2023-11-06,65.11
2023-11-03,65.9
2023-11-02,64.53
2023-11-01,64.75
2023-10-31,65.46
2023-10-30,64.98
2023-10-27,65.0
2023-10-26,63.47
2023-10-25,63.42
2023-10-24,62.83
2023-10-23,63.23
2023-10-20,63.0
2023-10-19,63.99
2023-10-18,64.59
2023-10-17,65.27
2023-10-16,64.56
2023-10-13,66.42
2023-10-12,66.2
2023-10-11,68.47
2023-10-10,69.01
2023-10-09,69.25
2023-10-06,69.47
2023-10-05,70.33
2023-10-04,69.14
2023-10-03,68.77
2023-10-02,69.78
2023-09-29,70.66
2023-09-28,71.8
2023-09-27,72.01
2023-09-26,71.53
2023-09-25,72.4
2023-09-22,71.23
2023-09-21,71.59
2023-09-20,71.09
2023-09-19,71.3
2023-09-18,72.645
2023-09-15,74.17
2023-09-14,73.08
2023-09-13,71.33
2023-09-12,71.23
2023-09-11,70.92
2023-09-08,70.86
2023-09-07,71.42
2023-09-06,70.37
2023-09-05,71.55
2023-09-01,73.33
2023-08-31,72.71
2023-08-30,72.41
2023-08-29,74.15
2023-08-28,73.68
2023-08-25,71.79
2023-08-24,71.24
2023-08-23,72.7
2023-08-22,72.31
2023-08-21,72.3
2023-08-18,72.54
2023-08-17,73.69
2023-08-16,74.51
2023-08-15,74.85
2023-08-14,75.12
2023-08-11,78.0
2023-08-10,77.88
2023-08-09,78.11
2023-08-08,78.17
2023-08-07,78.63
2023-08-04,78.09
2023-08-03,79.16
2023-08-02,80.76
2023-08-01,79.98
2023-07-31,80.1
2023-07-28,79.42
2023-07-27,77.86
2023-07-26,79.02
2023-07-25,79.36
2023-07-24,79.49
2023-07-21,79.04
2023-07-20,79.76
2023-07-19,79.31
2023-07-18,79.58
2023-07-17,79.14
2023-07-14,77.55
2023-07-13,78.5
2023-07-12,78.96
2023-07-11,79.48
2023-07-10,80.68
2023-07-07,78.9
2023-07-06,78.25
2023-07-05,78.08
2023-07-03,77.52
2023-06-30,78.54
2023-06-29,79.01
2023-06-28,78.41
2023-06-27,77.2
2023-06-26,77.75
2023-06-23,76.29
2023-06-22,80.93
2023-06-21,81.75
2023-06-20,80.4
2023-06-16,79.64
2023-06-15,80.35
2023-06-14,78.64
2023-06-13,80.64
2023-06-12,80.99
2023-06-09,81.3
2023-06-08,82.19
2023-06-07,80.83
2023-06-06,77.69
2023-06-05,75.49
2023-06-02,76.79
2023-06-01,74.05
2023-05-31,71.28
2023-05-30,70.1
