Date,Close Price
2024-01-03,22.14
2024-01-02,22.73
2023-12-29,22.36
2023-12-28,22.48
2023-12-27,22.34
2023-12-26,22.6
2023-12-22,22.75
2023-12-21,22.57
2023-12-20,22.15
2023-12-19,22.51
2023-12-18,21.77
2023-12-15,22.18
2023-12-14,22.44
2023-12-13,22.06
2023-12-12,21.56
2023-12-11,21.31
2023-12-08,21.0
2023-12-07,21.06
2023-12-06,21.1
2023-12-05,20.73
2023-12-04,21.14
2023-12-01,20.87
2023-11-30,20.59
2023-11-29,20.53
2023-11-28,20.69
2023-11-27,20.87
2023-11-24,20.92
2023-11-22,21.02
2023-11-21,21.13
2023-11-20,21.04
2023-11-17,20.68
2023-11-16,20.52
2023-11-15,20.47
2023-11-14,19.84
2023-11-13,19.34
2023-11-10,19.2
2023-11-09,19.2
2023-11-08,19.8
2023-11-07,19.73
2023-11-06,19.58
2023-11-03,19.78
2023-11-02,19.4
2023-11-01,19.15
2023-10-31,19.22
2023-10-30,19.08
2023-10-27,19.01
2023-10-26,19.2
2023-10-25,19.33
2023-10-24,19.69
2023-10-23,19.6
2023-10-20,19.72
2023-10-19,20.01
2023-10-18,20.15
2023-10-17,20.36
2023-10-16,20.12
2023-10-13,19.98
2023-10-12,20.06
2023-10-11,20.69
2023-10-10,20.94
2023-10-09,20.84
2023-10-06,20.62
2023-10-05,20.75
2023-10-04,20.81
2023-10-03,20.8
2023-10-02,21.2
2023-09-29,21.5
2023-09-28,21.87
2023-09-27,21.99
2023-09-26,21.77
2023-09-25,21.65
2023-09-22,21.77
2023-09-21,21.64
2023-09-20,21.79
2023-09-19,22.01
2023-09-18,21.95
2023-09-15,21.93
2023-09-14,21.5
2023-09-13,21.83
2023-09-12,22.25
2023-09-11,23.14
2023-09-08,23.15
2023-09-07,23.06
2023-09-06,23.05
2023-09-05,22.96
2023-09-01,22.23
2023-08-31,21.53
2023-08-30,22.26
2023-08-29,22.25
2023-08-28,21.86
2023-08-25,21.64
2023-08-24,21.17
2023-08-23,21.89
2023-08-22,24.05
2023-08-21,24.88
2023-08-18,25.36
2023-08-17,25.76
2023-08-16,25.88
2023-08-15,26.42
2023-08-14,26.7
2023-08-11,26.92
2023-08-10,26.79
2023-08-09,27.14
2023-08-08,27.33
2023-08-07,27.56
2023-08-04,27.52
2023-08-03,27.74
2023-08-02,27.76
2023-08-01,28.07
2023-07-31,27.75
2023-07-28,27.37
2023-07-27,27.2
2023-07-26,27.46
2023-07-25,27.59
2023-07-24,27.48
2023-07-21,27.57
2023-07-20,27.84
2023-07-19,27.98
2023-07-18,27.86
2023-07-17,27.75
2023-07-14,27.72
2023-07-13,27.49
2023-07-12,27.45
2023-07-11,27.29
2023-07-10,26.9
2023-07-07,26.88
2023-07-06,27.02
2023-07-05,27.09
