Date,Close Price
2024-01-03,7.97
2024-01-02,8.42
2023-12-29,8.72
2023-12-28,8.62
2023-12-27,8.55
2023-12-26,8.64
2023-12-22,8.61
2023-12-21,8.55
2023-12-20,8.55
2023-12-19,8.76
2023-12-18,8.63
2023-12-15,8.67
2023-12-14,8.96
2023-12-13,8.87
2023-12-12,8.44
2023-12-11,8.33
2023-12-08,8.24
2023-12-07,8.41
2023-12-06,8.22
2023-12-05,8.37
2023-12-04,8.35
2023-12-01,8.78
2023-11-30,8.69
2023-11-29,8.59
2023-11-28,8.48
2023-11-27,8.49
2023-11-24,8.52
2023-11-22,8.45
2023-11-21,8.68
2023-11-20,8.49
2023-11-17,8.34
2023-11-16,8.04
2023-11-15,8.16
2023-11-14,8.15
2023-11-13,7.74
2023-11-10,7.86
2023-11-09,7.66
2023-11-08,8.01
2023-11-07,8.69
2023-11-06,8.58
2023-11-03,8.73
2023-11-02,8.54
2023-11-01,8.33
2023-10-31,8.4
2023-10-30,8.55
2023-10-27,8.4
2023-10-26,8.49
2023-10-25,8.52
2023-10-24,8.89
2023-10-23,8.72
2023-10-20,8.88
2023-10-19,8.41
2023-10-18,9.51
2023-10-17,9.68
2023-10-16,9.54
2023-10-13,9.4
2023-10-12,9.43
2023-10-11,9.61
2023-10-10,9.6
2023-10-09,9.24
2023-10-06,9.45
2023-10-05,9.23
2023-10-04,9.39
2023-10-03,9.8
2023-10-02,9.68
2023-09-29,9.63
2023-09-28,9.56
2023-09-27,9.55
2023-09-26,9.59
2023-09-25,9.89
2023-09-22,9.93
2023-09-21,9.84
2023-09-20,10.12
2023-09-19,9.8
2023-09-18,10.11
2023-09-15,10.45
2023-09-14,10.22
2023-09-13,10.02
2023-09-12,10.02
2023-09-11,10.0
2023-09-08,9.39
2023-09-07,9.41
2023-09-06,9.57
2023-09-05,9.69
2023-09-01,9.84
2023-08-31,9.76
2023-08-30,9.63
2023-08-29,9.59
2023-08-28,9.38
2023-08-25,9.79
2023-08-24,9.91
2023-08-23,9.95
2023-08-22,9.81
2023-08-21,9.64
2023-08-18,9.39
2023-08-17,9.64
2023-08-16,9.81
2023-08-15,9.74
2023-08-14,9.95
2023-08-11,9.78
2023-08-10,9.91
2023-08-09,10.0
2023-08-08,10.09
2023-08-07,11.12
2023-08-04,11.18
2023-08-03,11.33
2023-08-02,11.47
2023-08-01,11.88
2023-07-31,11.94
2023-07-28,11.84
2023-07-27,12.2
2023-07-26,12.26
2023-07-25,12.34
2023-07-24,12.2
2023-07-21,12.25
2023-07-20,12.37
2023-07-19,12.36
2023-07-18,12.44
2023-07-17,12.56
2023-07-14,12.54
2023-07-13,12.68
2023-07-12,12.71
2023-07-11,12.73
2023-07-10,12.5
2023-07-07,12.0
2023-07-06,11.54
2023-07-05,11.61
2023-07-03,11.88
2023-06-30,11.6
2023-06-29,11.4
2023-06-28,11.46
2023-06-27,11.86
2023-06-26,11.79
2023-06-23,11.69
2023-06-22,11.27
2023-06-21,10.9
2023-06-20,11.2
2023-06-16,11.38
2023-06-15,11.48
2023-06-14,11.2
2023-06-13,11.36
2023-06-12,11.36
2023-06-09,11.17
2023-06-08,10.84
2023-06-07,10.16
2023-06-06,10.36
2023-06-05,10.16
2023-06-02,10.14
2023-06-01,9.96
2023-05-31,10.03
2023-05-30,9.92
2023-05-26,10.1
2023-05-25,10.07
2023-05-24,10.11
2023-05-23,10.07
2023-05-22,10.19
2023-05-19,10.44
2023-05-18,10.59
2023-05-17,10.4
2023-05-16,10.34
2023-05-15,10.45
2023-05-12,10.28
2023-05-11,10.295
2023-05-10,10.16
2023-05-09,9.99
2023-05-08,10.17
2023-05-05,10.38
2023-05-04,9.965
2023-05-03,10.3
2023-05-02,10.1
2023-05-01,10.35
2023-04-28,10.0
2023-04-27,10.96
2023-04-26,10.85
2023-04-25,11.1
2023-04-24,11.25
2023-04-21,11.32
2023-04-20,11.44
2023-04-19,11.7
2023-04-18,11.49
2023-04-17,11.49
2023-04-14,10.82
2023-04-13,11.15
2023-04-12,11.65
2023-04-11,11.61
2023-04-10,11.91
2023-04-06,11.68
2023-04-05,11.5
2023-04-04,11.53
2023-04-03,11.14
2023-03-31,11.26
2023-03-30,10.93
2023-03-29,10.9
2023-03-28,10.82
2023-03-27,10.9
2023-03-24,10.73
2023-03-23,10.83
2023-03-22,10.32
2023-03-21,10.93
2023-03-20,10.76
2023-03-17,10.57
2023-03-16,10.34
2023-03-15,10.08
2023-03-14,9.94
2023-03-13,9.25
2023-03-10,9.12
2023-03-09,9.31
2023-03-08,9.7
2023-03-07,9.66
2023-03-06,9.85
2023-03-03,10.21
2023-03-02,9.72
2023-03-01,9.87
2023-02-28,9.6
2023-02-27,9.65
2023-02-24,9.37
2023-02-23,9.56
2023-02-22,9.65
2023-02-21,9.57
2023-02-17,9.89
2023-02-16,10.06
2023-02-15,10.47
2023-02-14,9.92
2023-02-13,9.89
2023-02-10,9.8
2023-02-09,10.21
2023-02-08,10.24
2023-02-07,10.55
2023-02-06,10.22
2023-02-03,10.75
2023-02-02,10.9
2023-02-01,10.54
2023-01-31,10.49
2023-01-30,10.18
2023-01-27,10.27
2023-01-26,10.31
2023-01-25,10.4
2023-01-24,10.56
2023-01-23,10.71
2023-01-20,10.2
2023-01-19,9.49
2023-01-18,9.61
2023-01-17,9.8
2023-01-13,9.63
2023-01-12,9.49
2023-01-11,9.49
2023-01-10,9.41
2023-01-09,9.23
2023-01-06,9.08
2023-01-05,9.17
2023-01-04,9.2
2023-01-03,8.63
2022-12-30,8.51
2022-12-29,8.36
2022-12-28,7.89
2022-12-27,7.95
2022-12-23,8.24
2022-12-22,8.41
2022-12-21,8.44
2022-12-20,8.23
2022-12-19,8.29
2022-12-16,8.89
2022-12-15,8.67
2022-12-14,9.05
2022-12-13,8.73
2022-12-12,8.48
2022-12-09,8.61
2022-12-08,8.36
2022-12-07,8.45
2022-12-06,8.44
2022-12-05,9.05
2022-12-02,9.49
2022-12-01,9.51
2022-11-30,9.45
2022-11-29,9.0
2022-11-28,9.0
2022-11-25,9.33
2022-11-23,9.45
2022-11-22,9.31
2022-11-21,9.27
2022-11-18,9.46
2022-11-17,9.69
2022-11-16,9.93
2022-11-15,10.14
2022-11-14,10.05
2022-11-11,10.23
2022-11-10,9.72
2022-11-09,8.54
2022-11-08,8.62
2022-11-07,9.69
2022-11-04,9.31
2022-11-03,8.97
2022-11-02,9.16
2022-11-01,9.66
2022-10-31,9.45
2022-10-28,9.82
2022-10-27,9.72
2022-10-26,9.88
2022-10-25,9.99
2022-10-24,9.39
2022-10-21,9.52
2022-10-20,9.73
2022-10-19,9.46
2022-10-18,9.88
2022-10-17,9.87
2022-10-14,9.1
2022-10-13,9.39
2022-10-12,9.55
2022-10-11,9.91
2022-10-10,10.11
2022-10-07,10.32
2022-10-06,10.37
2022-10-05,10.12
2022-10-04,10.3
2022-10-03,9.95
2022-09-30,9.39
2022-09-29,9.68
2022-09-28,9.95
2022-09-27,9.55
2022-09-26,9.62
2022-09-23,10.32
2022-09-22,10.91
2022-09-21,10.29
2022-09-20,10.44
2022-09-19,10.35
2022-09-16,10.09
2022-09-15,10.59
2022-09-14,10.6
