Date,Close Price
2024-01-02,17.93
2023-12-29,17.56
2023-12-28,17.72
2023-12-27,17.95
2023-12-26,17.8
2023-12-22,17.68
2023-12-21,17.67
2023-12-20,17.45
2023-12-19,17.25
2023-12-18,16.93
2023-12-15,16.92
2023-12-14,17.11
2023-12-13,17.74
2023-12-12,18.09
2023-12-11,18.01
2023-12-08,18.39
2023-12-07,18.45
2023-12-06,17.99
2023-12-05,17.82
2023-12-04,17.68
2023-12-01,17.49
2023-11-30,17.42
2023-11-29,17.44
2023-11-28,17.39
2023-11-27,17.45
2023-11-24,17.53
2023-11-22,17.36
2023-11-21,16.84
2023-11-20,16.94
2023-11-17,18.09
2023-11-16,18.07
2023-11-15,17.7
2023-11-14,17.66
2023-11-13,17.11
2023-11-10,17.21
2023-11-09,17.14
2023-11-08,17.06
2023-11-07,16.85
2023-11-06,17.23
2023-11-03,17.51
2023-11-02,18.53
2023-11-01,18.16
2023-10-31,18.09
2023-10-30,18.08
2023-10-27,17.91
2023-10-26,17.72
2023-10-25,17.95
2023-10-24,17.78
2023-10-23,17.5
2023-10-20,17.86
2023-10-19,17.76
2023-10-18,18.3
2023-10-17,17.88
2023-10-16,17.77
2023-10-13,17.46
2023-10-12,17.63
2023-10-11,17.9
2023-10-10,17.7
2023-10-09,17.6
2023-10-06,17.37
2023-10-05,17.43
2023-10-04,17.35
2023-10-03,17.42
2023-10-02,17.41
2023-09-29,17.1
2023-09-28,17.41
2023-09-27,17.64
2023-09-26,17.27
2023-09-25,17.36
2023-09-22,16.91
2023-09-21,16.68
2023-09-20,16.52
2023-09-19,16.45
2023-09-18,16.35
2023-09-15,16.43
2023-09-14,16.62
2023-09-13,16.8
2023-09-12,16.65
2023-09-11,16.71
2023-09-08,16.26
2023-09-07,16.0
2023-09-06,16.25
2023-09-05,16.36
2023-09-01,17.39
2023-08-31,16.57
2023-08-30,16.36
2023-08-29,16.38
2023-08-28,16.39
2023-08-25,16.34
2023-08-24,16.02
2023-08-23,16.11
2023-08-22,16.1
2023-08-21,16.13
2023-08-18,16.01
2023-08-17,16.1
2023-08-16,16.01
2023-08-15,16.39
2023-08-14,16.56
2023-08-11,16.68
2023-08-10,16.63
2023-08-09,16.66
2023-08-08,16.73
2023-08-07,16.99
2023-08-04,15.93
2023-08-03,13.94
2023-08-02,13.86
2023-08-01,13.74
2023-07-31,13.35
2023-07-28,13.11
2023-07-27,12.93
2023-07-26,13.03
2023-07-25,13.05
2023-07-24,13.14
2023-07-21,13.02
2023-07-20,12.95
2023-07-19,13.11
2023-07-18,12.96
2023-07-17,12.75
2023-07-14,12.7
2023-07-13,12.56
2023-07-12,12.65
2023-07-11,12.64
2023-07-10,12.5
2023-07-07,12.42
2023-07-06,12.18
2023-07-05,12.49
2023-07-03,12.1
2023-06-30,12.27
2023-06-29,12.27
2023-06-28,12.09
2023-06-27,12.15
2023-06-26,12.12
2023-06-23,12.18
2023-06-22,12.36
2023-06-21,12.53
2023-06-20,12.49
2023-06-16,12.55
2023-06-15,12.67
2023-06-14,12.4
2023-06-13,12.59
2023-06-12,12.42
2023-06-09,12.38
2023-06-08,12.56
2023-06-07,12.69
2023-06-06,12.35
2023-06-05,12.04
2023-06-02,12.46
2023-06-01,11.95
2023-05-31,11.79
2023-05-30,11.87
2023-05-26,11.93
2023-05-25,12.01
2023-05-24,12.21
2023-05-23,12.29
2023-05-22,12.3
2023-05-19,12.39
2023-05-18,12.25
2023-05-17,12.16
2023-05-16,11.92
2023-05-15,11.9
2023-05-12,11.91
2023-05-11,11.97
2023-05-10,12.06
2023-05-09,12.07
2023-05-08,12.12
2023-05-05,11.81
2023-05-04,12.32
2023-05-03,12.44
2023-05-02,12.44
2023-05-01,13.2
2023-04-28,12.98
2023-04-27,13.17
2023-04-26,13.23
2023-04-25,13.2
2023-04-24,13.2
2023-04-21,13.42
2023-04-20,13.41
2023-04-19,13.12
2023-04-18,13.03
2023-04-17,13.33
2023-04-14,13.55
2023-04-13,13.62
2023-04-12,13.49
2023-04-11,13.43
2023-04-10,13.35
2023-04-06,13.19
2023-04-05,13.22
2023-04-04,13.17
2023-04-03,13.41
2023-03-31,13.43
2023-03-30,12.99
2023-03-29,12.95
2023-03-28,13.29
2023-03-27,13.26
2023-03-24,12.98
2023-03-23,12.84
2023-03-22,13.11
2023-03-21,13.42
2023-03-20,13.3
2023-03-17,13.02
2023-03-16,13.37
2023-03-15,13.18
2023-03-14,13.37
2023-03-13,13.13
2023-03-10,13.44
2023-03-09,13.74
2023-03-08,13.53
2023-03-07,13.7
2023-03-06,13.45
2023-03-03,13.63
2023-03-02,13.71
2023-03-01,13.69
2023-02-28,13.785
2023-02-27,13.66
2023-02-24,13.59
2023-02-23,13.72
2023-02-22,13.88
2023-02-21,14.42
2023-02-17,14.42
2023-02-16,14.36
2023-02-15,14.29
2023-02-14,14.17
2023-02-13,14.36
2023-02-10,14.07
2023-02-09,13.94
2023-02-08,14.34
2023-02-07,14.2
2023-02-06,14.7
2023-02-03,15.62
2023-02-02,14.88
2023-02-01,14.67
2023-01-31,14.97
2023-01-30,14.5
2023-01-27,14.48
2023-01-26,14.68
2023-01-25,14.8
2023-01-24,14.65
2023-01-23,14.46
2023-01-20,14.17
2023-01-19,14.11
2023-01-18,14.24
2023-01-17,14.54
2023-01-13,15.03
2023-01-12,15.0
2023-01-11,14.66
2023-01-10,14.55
2023-01-09,14.43
2023-01-06,14.47
2023-01-05,14.17
2023-01-04,14.25
2023-01-03,14.41
2022-12-30,13.9
2022-12-29,14.15
2022-12-28,13.94
2022-12-27,14.37
2022-12-23,14.08
2022-12-22,14.24
2022-12-21,14.32
2022-12-20,13.88
2022-12-19,13.9
2022-12-16,13.48
2022-12-15,13.67
2022-12-14,13.79
2022-12-13,13.9
2022-12-12,13.65
2022-12-09,13.94
2022-12-08,14.18
2022-12-07,13.95
2022-12-06,13.9
2022-12-05,13.93
2022-12-02,14.24
2022-12-01,14.39
2022-11-30,14.35
2022-11-29,14.36
2022-11-28,14.22
2022-11-25,14.15
2022-11-23,14.19
2022-11-22,14.32
2022-11-21,14.15
2022-11-18,14.1
2022-11-17,14.27
2022-11-16,14.14
2022-11-15,14.22
2022-11-14,13.82
2022-11-11,14.38
2022-11-10,14.55
2022-11-09,13.84
2022-11-08,13.43
2022-11-07,11.78
2022-11-04,11.58
2022-11-03,11.5
2022-11-02,11.38
2022-11-01,11.48
2022-10-31,11.43
2022-10-28,11.68
2022-10-27,11.3
2022-10-26,11.25
2022-10-25,11.38
2022-10-24,10.95
2022-10-21,10.62
