Date,Close Price
2024-01-03,13.69
2024-01-02,13.98
2023-12-29,14.17
2023-12-28,14.26
2023-12-27,14.16
2023-12-26,14.22
2023-12-22,14.15
2023-12-21,14.15
2023-12-20,14.08
2023-12-19,14.11
2023-12-18,14.21
2023-12-15,14.13
2023-12-14,14.43
2023-12-13,14.32
2023-12-12,14.02
2023-12-11,14.25
2023-12-08,14.3
2023-12-07,14.12
2023-12-06,14.12
2023-12-05,13.97
2023-12-04,14.22
2023-12-01,14.075
2023-11-30,13.6
2023-11-29,13.61
2023-11-28,13.69
2023-11-27,13.86
2023-11-24,14.02
2023-11-22,14.01
2023-11-21,14.04
2023-11-20,14.3
2023-11-17,14.18
2023-11-16,14.18
2023-11-15,14.26
2023-11-14,14.46
2023-11-13,13.74
2023-11-10,13.7
2023-11-09,13.6
2023-11-08,13.63
2023-11-07,13.75
2023-11-06,13.98
2023-11-03,13.93
2023-11-02,13.72
2023-11-01,13.55
2023-10-31,13.47
2023-10-30,13.27
2023-10-27,13.29
2023-10-26,13.51
2023-10-25,13.26
2023-10-24,13.32
2023-10-23,13.5
2023-10-20,13.86
2023-10-19,14.06
2023-10-18,14.19
2023-10-17,14.41
2023-10-16,14.15
2023-10-13,13.9
2023-10-12,14.1
2023-10-11,14.11
2023-10-10,14.07
2023-10-09,14.15
2023-10-06,14.075
2023-10-05,13.53
2023-10-04,14.48
2023-10-03,14.56
2023-10-02,14.78
2023-09-29,14.91
2023-09-28,15.05
2023-09-27,15.08
2023-09-26,14.82
2023-09-25,15.16
2023-09-22,15.07
2023-09-21,15.29
2023-09-20,14.98
2023-09-19,15.01
2023-09-18,15.13
2023-09-15,15.09
2023-09-14,15.19
2023-09-13,14.71
2023-09-12,14.75
2023-09-11,14.77
2023-09-08,14.71
2023-09-07,14.98
2023-09-06,15.37
2023-09-05,15.28
2023-09-01,15.67
2023-08-31,15.51
2023-08-30,15.79
2023-08-29,15.38
2023-08-28,15.42
2023-08-25,15.3
2023-08-24,15.29
2023-08-23,15.39
2023-08-22,15.55
2023-08-21,15.86
2023-08-18,15.96
2023-08-17,16.02
2023-08-16,16.07
2023-08-15,16.18
2023-08-14,16.3
2023-08-11,16.26
2023-08-10,16.12
2023-08-09,16.32
2023-08-08,16.09
2023-08-07,16.32
2023-08-04,16.03
2023-08-03,16.14
2023-08-02,15.94
2023-08-01,16.06
2023-07-31,15.98
2023-07-28,15.82
2023-07-27,15.84
2023-07-26,16.31
2023-07-25,16.72
2023-07-24,16.4
2023-07-21,15.95
2023-07-20,16.34
2023-07-19,16.59
2023-07-18,16.56
2023-07-17,16.48
2023-07-14,16.47
2023-07-13,16.22
2023-07-12,16.04
2023-07-11,16.21
2023-07-10,15.98
2023-07-07,15.97
2023-07-06,15.78
2023-07-05,15.91
2023-07-03,15.95
2023-06-30,15.71
2023-06-29,15.8
2023-06-28,15.73
2023-06-27,15.64
2023-06-26,15.71
2023-06-23,15.89
2023-06-22,16.19
2023-06-21,16.14
2023-06-20,16.14
2023-06-16,16.01
2023-06-15,15.9
2023-06-14,15.94
2023-06-13,16.71
2023-06-12,16.85
2023-06-09,16.88
2023-06-08,16.82
2023-06-07,17.2
2023-06-06,16.58
2023-06-05,15.98
2023-06-02,16.17
2023-06-01,15.46
2023-05-31,15.28
2023-05-30,15.42
2023-05-26,15.57
2023-05-25,15.37
2023-05-24,15.71
2023-05-23,15.95
2023-05-22,15.77
2023-05-19,15.47
2023-05-18,15.39
2023-05-17,15.13
2023-05-16,15.0
2023-05-15,15.23
2023-05-12,15.06
2023-05-11,14.85
2023-05-10,14.83
2023-05-09,14.48
2023-05-08,14.46
2023-05-05,14.59
2023-05-04,14.28
2023-05-03,14.36
2023-05-02,14.29
2023-05-01,14.54
2023-04-28,14.59
2023-04-27,14.5
2023-04-26,14.33
2023-04-25,14.46
2023-04-24,14.9
2023-04-21,15.03
2023-04-20,15.27
2023-04-19,15.34
2023-04-18,15.59
2023-04-17,15.87
2023-04-14,15.76
2023-04-13,15.89
2023-04-12,15.63
2023-04-11,15.8
2023-04-10,15.89
2023-04-06,15.71
2023-04-05,15.29
2023-04-04,16.62
2023-04-03,17.09
2023-03-31,17.06
2023-03-30,16.87
2023-03-29,16.84
2023-03-28,17.14
2023-03-27,17.35
2023-03-24,17.09
2023-03-23,16.9
2023-03-22,17.51
2023-03-21,17.61
2023-03-20,17.32
2023-03-17,17.15
2023-03-16,17.79
2023-03-15,17.55
2023-03-14,17.86
2023-03-13,17.49
2023-03-10,17.64
2023-03-09,17.84
2023-03-08,17.74
2023-03-07,17.78
2023-03-06,17.92
2023-03-03,18.27
2023-03-02,18.02
2023-03-01,18.13
2023-02-28,18.06
2023-02-27,17.95
2023-02-24,18.05
2023-02-23,18.3
2023-02-22,18.05
2023-02-21,18.01
2023-02-17,18.3
2023-02-16,18.26
2023-02-15,18.15
2023-02-14,18.07
2023-02-13,18.1
2023-02-10,17.78
2023-02-09,17.69
2023-02-08,17.8
2023-02-07,18.04
2023-02-06,18.09
2023-02-03,18.1
2023-02-02,18.08
2023-02-01,17.73
2023-01-31,17.27
2023-01-30,16.63
2023-01-27,16.85
2023-01-26,16.93
2023-01-25,16.8
2023-01-24,16.78
2023-01-23,16.64
2023-01-20,16.57
2023-01-19,16.88
2023-01-18,16.99
2023-01-17,17.48
2023-01-13,17.64
2023-01-12,17.67
2023-01-11,17.62
2023-01-10,17.41
2023-01-09,17.04
2023-01-06,16.95
2023-01-05,15.42
2023-01-04,18.62
2023-01-03,18.54
2022-12-30,18.38
2022-12-29,18.5
2022-12-28,18.32
2022-12-27,18.56
2022-12-23,18.52
2022-12-22,18.46
2022-12-21,18.65
2022-12-20,18.49
2022-12-19,18.24
2022-12-16,18.36
2022-12-15,18.63
2022-12-14,19.18
2022-12-13,18.8
2022-12-12,18.72
2022-12-09,19.0
2022-12-08,19.24
2022-12-07,19.04
2022-12-06,19.28
2022-12-05,19.22
2022-12-02,19.24
2022-12-01,19.36
2022-11-30,19.3
2022-11-29,19.05
2022-11-28,19.11
2022-11-25,19.3
2022-11-23,19.18
2022-11-22,19.49
2022-11-21,19.38
2022-11-18,19.03
2022-11-17,19.14
2022-11-16,18.74
2022-11-15,19.03
2022-11-14,18.59
2022-11-11,18.4
2022-11-10,18.93
2022-11-09,18.24
2022-11-08,18.14
2022-11-07,18.2
2022-11-04,18.04
2022-11-03,17.82
2022-11-02,18.06
2022-11-01,18.64
