Date,Close Price
2024-01-03,3.28
2024-01-02,3.31
2023-12-29,3.27
2023-12-28,3.27
2023-12-27,3.31
2023-12-26,3.41
2023-12-22,3.37
2023-12-21,3.32
2023-12-20,3.2
2023-12-19,3.24
2023-12-18,3.07
2023-12-15,3.09
2023-12-14,3.21
2023-12-13,3.26
2023-12-12,3.31
2023-12-11,3.17
2023-12-08,3.15
2023-12-07,3.065
2023-12-06,3.18
2023-12-05,3.23
2023-12-04,3.22
2023-12-01,3.2
2023-11-30,3.14
2023-11-29,3.21
2023-11-28,3.15
2023-11-27,3.12
2023-11-24,3.08
2023-11-22,3.05
2023-11-21,3.06
2023-11-20,3.13
2023-11-17,3.13
2023-11-16,2.98
2023-11-15,3.1
2023-11-14,3.03
2023-11-13,2.93
2023-11-10,2.92
2023-11-09,2.79
2023-11-08,2.78
2023-11-07,2.78
2023-11-06,2.75
2023-11-03,2.82
2023-11-02,2.78
2023-11-01,2.4
2023-10-31,2.17
2023-10-30,2.13
2023-10-27,2.05
2023-10-26,2.04
2023-10-25,2.03
2023-10-24,2.11
2023-10-23,2.02
2023-10-20,2.04
2023-10-19,2.09
2023-10-18,2.16
2023-10-17,2.18
2023-10-16,2.13
2023-10-13,2.01
2023-10-12,2.05
2023-10-11,2.13
2023-10-10,2.19
2023-10-09,2.16
2023-10-06,2.16
2023-10-05,2.26
2023-10-04,2.17
2023-10-03,2.065
2023-10-02,2.12
2023-09-29,2.2
2023-09-28,2.15
2023-09-27,2.15
2023-09-26,2.16
2023-09-25,2.18
2023-09-22,2.18
2023-09-21,2.17
2023-09-20,2.18
2023-09-19,2.2
2023-09-18,2.21
2023-09-15,2.3
2023-09-14,2.3
2023-09-13,2.25
2023-09-12,2.27
2023-09-11,2.31
2023-09-08,2.3
2023-09-07,2.31
2023-09-06,2.36
2023-09-05,2.38
2023-09-01,2.46
2023-08-31,2.42
2023-08-30,2.44
2023-08-29,2.37
2023-08-28,2.35
2023-08-25,2.39
2023-08-24,2.42
2023-08-23,2.46
2023-08-22,2.46
2023-08-21,2.55
2023-08-18,2.44
2023-08-17,2.49
2023-08-16,2.53
2023-08-15,2.5
2023-08-14,2.57
2023-08-11,2.73
2023-08-10,2.66
2023-08-09,2.68
2023-08-08,2.65
2023-08-07,2.54
2023-08-04,2.46
2023-08-03,2.48
2023-08-02,2.64
2023-08-01,2.8
2023-07-31,2.72
2023-07-28,2.39
2023-07-27,2.33
2023-07-26,2.795
2023-07-25,3.09
2023-07-24,4.82
2023-07-21,4.94
2023-07-20,5.14
2023-07-19,5.16
2023-07-18,5.28
2023-07-17,5.15
2023-07-14,5.1
2023-07-13,5.25
2023-07-12,4.93
2023-07-11,4.91
2023-07-10,4.94
2023-07-07,4.85
2023-07-06,4.86
2023-07-05,4.8
2023-07-03,4.84
2023-06-30,4.79
2023-06-29,4.54
2023-06-28,4.41
2023-06-27,4.36
2023-06-26,4.24
2023-06-23,4.41
2023-06-22,4.3
2023-06-21,4.43
2023-06-20,4.51
2023-06-16,4.51
2023-06-15,4.76
2023-06-14,4.65
2023-06-13,4.72
2023-06-12,4.54
2023-06-09,4.34
2023-06-08,4.48
2023-06-07,4.48
2023-06-06,4.4
2023-06-05,4.245
2023-06-02,4.29
2023-06-01,4.22
2023-05-31,4.6
2023-05-30,4.49
2023-05-26,4.39
2023-05-25,4.15
2023-05-24,4.19
2023-05-23,4.23
2023-05-22,4.09
2023-05-19,4.04
2023-05-18,4.13
2023-05-17,3.97
2023-05-16,3.7
2023-05-15,3.79
2023-05-12,3.88
2023-05-11,3.93
2023-05-10,3.96
2023-05-09,4.02
2023-05-08,3.99
2023-05-05,4.15
2023-05-04,4.05
2023-05-03,3.46
2023-05-02,3.66
2023-05-01,3.7
2023-04-28,3.74
2023-04-27,3.69
2023-04-26,3.77
2023-04-25,3.7
2023-04-24,3.68
2023-04-21,3.91
2023-04-20,3.97
2023-04-19,3.99
2023-04-18,4.03
2023-04-17,4.06
2023-04-14,4.0
2023-04-13,4.18
2023-04-12,4.04
2023-04-11,4.07
2023-04-10,4.11
2023-04-06,4.015
2023-04-05,3.89
2023-04-04,3.96
2023-04-03,3.93
2023-03-31,4.12
2023-03-30,4.02
2023-03-29,4.03
2023-03-28,3.92
2023-03-27,4.17
2023-03-24,4.03
2023-03-23,4.06
2023-03-22,4.05
2023-03-21,4.23
2023-03-20,4.14
2023-03-17,4.02
2023-03-16,4.1
2023-03-15,4.1
2023-03-14,4.18
2023-03-13,4.1
2023-03-10,4.19
2023-03-09,4.34
2023-03-08,4.59
2023-03-07,4.96
2023-03-06,4.9
2023-03-03,5.06
2023-03-02,4.83
