Date,Close Price
2024-01-02,44.18
2023-12-29,44.29
2023-12-28,45.47
2023-12-27,45.6
2023-12-26,45.36
2023-12-22,43.21
2023-12-21,43.96
2023-12-20,42.86
2023-12-19,43.98
2023-12-18,44.85
2023-12-15,45.26
2023-12-14,45.77
2023-12-13,46.23
2023-12-12,46.29
2023-12-11,44.8
2023-12-08,45.05
2023-12-07,43.66
2023-12-06,42.55
2023-12-05,41.91
2023-12-04,40.73
2023-12-01,40.3
2023-11-30,38.54
2023-11-29,39.1
2023-11-28,38.82
2023-11-27,38.36
2023-11-24,38.85
2023-11-22,36.94
2023-11-21,36.93
2023-11-20,36.91
2023-11-17,39.15
2023-11-16,38.88
2023-11-15,38.84
2023-11-14,37.1
2023-11-13,34.38
2023-11-10,32.04
2023-11-09,29.12
2023-11-08,29.77
2023-11-07,29.99
2023-11-06,29.43
2023-11-03,30.48
2023-11-02,28.66
2023-11-01,28.61
2023-10-31,29.17
2023-10-30,28.6
2023-10-27,27.66
2023-10-26,28.97
2023-10-25,30.24
2023-10-24,30.88
2023-10-23,30.78
2023-10-20,30.5
2023-10-19,31.41
2023-10-18,32.23
2023-10-17,33.18
2023-10-16,31.34
2023-10-13,29.47
2023-10-12,29.44
2023-10-11,30.9
2023-10-10,30.98
2023-10-09,29.44
2023-10-06,28.0
2023-10-05,27.51
2023-10-04,26.85
2023-10-03,26.22
2023-10-02,25.66
2023-09-29,25.37
2023-09-28,26.87
2023-09-27,26.51
2023-09-26,26.47
2023-09-25,26.61
2023-09-22,26.79
2023-09-21,26.89
2023-09-20,27.335
2023-09-19,27.56
2023-09-18,27.45
2023-09-15,27.63
2023-09-14,28.18
2023-09-13,27.74
2023-09-12,28.06
2023-09-11,27.03
2023-09-08,26.15
2023-09-07,26.07
2023-09-06,26.51
2023-09-05,26.75
2023-09-01,27.42
2023-08-31,26.36
2023-08-30,26.71
2023-08-29,26.73
2023-08-28,26.99
2023-08-25,27.09
2023-08-24,26.88
2023-08-23,27.19
2023-08-22,27.2
2023-08-21,26.67
2023-08-18,26.33
2023-08-17,26.15
2023-08-16,26.8
2023-08-15,28.54
2023-08-14,28.46
2023-08-11,25.55
2023-08-10,23.47
2023-08-09,23.67
2023-08-08,23.86
2023-08-07,23.79
2023-08-04,23.15
2023-08-03,23.67
2023-08-02,23.97
2023-08-01,25.36
2023-07-31,24.55
2023-07-28,24.34
2023-07-27,24.31
2023-07-26,24.17
2023-07-25,24.21
2023-07-24,24.69
2023-07-21,25.32
2023-07-20,25.86
2023-07-19,26.54
2023-07-18,26.11
2023-07-17,26.12
2023-07-14,25.01
2023-07-13,25.7
2023-07-12,25.77
2023-07-11,25.71
2023-07-10,25.47
2023-07-07,25.22
2023-07-06,24.87
2023-07-05,25.26
2023-07-03,26.19
2023-06-30,26.24
2023-06-29,26.46
2023-06-28,26.32
2023-06-27,26.2
2023-06-26,26.12
2023-06-23,25.14
2023-06-22,26.11
2023-06-21,25.69
2023-06-20,25.79
2023-06-16,25.5
2023-06-15,25.49
2023-06-14,24.5
2023-06-13,25.74
2023-06-12,25.5
2023-06-09,26.25
2023-06-08,26.82
2023-06-07,27.29
2023-06-06,27.84
2023-06-05,27.68
2023-06-02,28.15
2023-06-01,27.64
2023-05-31,27.49
2023-05-30,27.58
2023-05-26,28.04
2023-05-25,27.87
2023-05-24,28.1
2023-05-23,28.57
2023-05-22,28.96
2023-05-19,30.45
2023-05-18,29.58
2023-05-17,30.58
2023-05-16,29.74
2023-05-15,29.35
2023-05-12,29.69
2023-05-11,27.3
2023-05-10,24.25
2023-05-09,24.0
2023-05-08,25.08
2023-05-05,25.46
2023-05-04,25.47
2023-05-03,26.63
2023-05-02,26.71
2023-05-01,27.61
2023-04-28,28.08
2023-04-27,26.5
2023-04-26,26.27
2023-04-25,24.88
2023-04-24,27.74
2023-04-21,26.62
2023-04-20,26.46
2023-04-19,25.1
2023-04-18,25.24
2023-04-17,25.21
2023-04-14,24.35
2023-04-13,24.37
2023-04-12,23.51
2023-04-11,23.33
2023-04-10,22.84
2023-04-06,23.07
2023-04-05,23.24
2023-04-04,23.2
2023-04-03,22.5
2023-03-31,26.8
2023-03-30,25.75
2023-03-29,25.85
2023-03-28,26.23
2023-03-27,26.25
2023-03-24,25.73
2023-03-23,25.73
2023-03-22,25.37
2023-03-21,21.91
2023-03-20,19.99
2023-03-17,19.28
2023-03-16,19.73
2023-03-15,20.06
2023-03-14,20.58
2023-03-13,20.02
2023-03-10,21.13
2023-03-09,22.0
2023-03-08,22.3
2023-03-07,21.82
2023-03-06,22.26
2023-03-03,23.07
2023-03-02,21.88
2023-03-01,21.29
2023-02-28,22.0
2023-02-27,23.05
2023-02-24,22.46
2023-02-23,22.33
2023-02-22,21.89
2023-02-21,21.37
2023-02-17,23.71
2023-02-16,23.6
2023-02-15,24.18
2023-02-14,23.6
2023-02-13,22.64
2023-02-10,22.43
2023-02-09,21.86
2023-02-08,20.92
2023-02-07,23.26
2023-02-06,24.5
2023-02-03,38.3
2023-02-02,41.74
2023-02-01,41.05
2023-01-31,39.21
2023-01-30,36.24
2023-01-27,37.11
2023-01-26,36.2
2023-01-25,36.27
2023-01-24,37.17
2023-01-23,36.96
2023-01-20,37.32
2023-01-19,36.44
2023-01-18,37.01
2023-01-17,37.75
2023-01-13,39.61
2023-01-12,39.27
2023-01-11,38.88
2023-01-10,38.07
2023-01-09,34.91
2023-01-06,33.5
2023-01-05,31.25
2023-01-04,31.9
2023-01-03,31.66
2022-12-30,33.0
2022-12-29,33.14
2022-12-28,32.21
2022-12-27,31.57
2022-12-23,31.6
2022-12-22,31.37
2022-12-21,33.7
2022-12-20,35.45
2022-12-19,34.16
2022-12-16,34.85
2022-12-15,33.11
2022-12-14,35.17
2022-12-13,34.78
2022-12-12,31.48
2022-12-09,30.55
2022-12-08,31.11
2022-12-07,30.55
2022-12-06,30.31
2022-12-05,30.76
2022-12-02,31.59
2022-12-01,31.15
2022-11-30,29.64
2022-11-29,28.99
2022-11-28,28.74
2022-11-25,30.54
2022-11-23,30.78
2022-11-22,30.0
2022-11-21,30.56
2022-11-18,32.1
2022-11-17,32.13
2022-11-16,32.28
2022-11-15,33.07
2022-11-14,33.92
2022-11-11,31.67
2022-11-10,32.39
2022-11-09,31.7
2022-11-08,31.62
2022-11-07,28.8
2022-11-04,29.12
2022-11-03,29.38
2022-11-02,28.01
2022-11-01,43.0
2022-10-31,42.01
2022-10-28,42.84
2022-10-27,40.84
2022-10-26,39.75
2022-10-25,39.0
2022-10-24,38.73
2022-10-21,38.87
2022-10-20,39.07
2022-10-19,39.04
2022-10-18,40.85
2022-10-17,40.88
2022-10-14,41.16
2022-10-13,43.49
2022-10-12,41.23
2022-10-11,41.72
2022-10-10,38.8
2022-10-07,38.18
2022-10-06,39.85
2022-10-05,40.16
2022-10-04,40.54
2022-10-03,38.31
2022-09-30,37.55
2022-09-29,38.53
2022-09-28,39.2
2022-09-27,37.23
2022-09-26,36.61
2022-09-23,36.72
2022-09-22,37.17
2022-09-21,37.3
2022-09-20,38.02
