Date,Close Price
2024-01-02,6.65
2023-12-29,6.63
2023-12-28,6.78
2023-12-27,6.82
2023-12-26,6.72
2023-12-22,6.42
2023-12-21,6.31
2023-12-20,6.17
2023-12-19,6.2
2023-12-18,6.08
2023-12-15,6.08
2023-12-14,6.08
2023-12-13,5.82
2023-12-12,5.49
2023-12-11,5.51
2023-12-08,5.41
2023-12-07,5.24
2023-12-06,5.2
2023-12-05,5.13
2023-12-04,5.26
2023-12-01,5.21
2023-11-30,5.02
2023-11-29,5.11
2023-11-28,5.13
2023-11-27,5.14
2023-11-24,5.23
2023-11-22,5.13
2023-11-21,4.92
2023-11-20,4.99
2023-11-17,5.05
2023-11-16,4.54
2023-11-15,4.72
2023-11-14,4.9
2023-11-13,4.61
2023-11-10,4.35
2023-11-09,4.64
2023-11-08,4.61
2023-11-07,4.6
2023-11-06,4.66
2023-11-03,4.74
2023-11-02,4.35
2023-11-01,4.12
2023-10-31,4.12
2023-10-30,4.33
2023-10-27,4.24
2023-10-26,4.46
2023-10-25,4.82
2023-10-24,4.03
2023-10-23,4.08
2023-10-20,4.19
2023-10-19,4.15
2023-10-18,4.26
2023-10-17,4.35
2023-10-16,4.22
2023-10-13,4.02
2023-10-12,4.34
2023-10-11,4.5
2023-10-10,4.59
2023-10-09,4.49
2023-10-06,4.54
2023-10-05,4.11
2023-10-04,4.13
2023-10-03,4.34
2023-10-02,4.6
2023-09-29,4.69
2023-09-28,4.62
2023-09-27,4.55
2023-09-26,4.46
2023-09-25,4.59
2023-09-22,4.69
2023-09-21,4.67
2023-09-20,4.64
2023-09-19,4.79
2023-09-18,4.685
2023-09-15,5.44
2023-09-14,5.51
2023-09-13,5.38
2023-09-12,5.46
2023-09-11,5.42
2023-09-08,5.31
2023-09-07,5.46
2023-09-06,5.67
2023-09-05,5.58
2023-09-01,5.51
2023-08-31,5.45
2023-08-30,5.48
2023-08-29,5.31
2023-08-28,5.08
2023-08-25,4.98
2023-08-24,4.95
2023-08-23,4.99
2023-08-22,4.87
2023-08-21,4.97
2023-08-18,5.14
2023-08-17,5.07
2023-08-16,5.2
2023-08-15,5.42
2023-08-14,5.66
2023-08-11,5.68
