Date,Close Price
2024-01-03,9.59
2024-01-02,9.82
2023-12-29,9.73
2023-12-28,9.77
2023-12-27,9.82
2023-12-26,9.75
2023-12-22,9.4
2023-12-21,9.19
2023-12-20,9.12
2023-12-19,9.21
2023-12-18,9.28
2023-12-15,9.04
2023-12-14,9.37
2023-12-13,9.91
2023-12-12,10.96
2023-12-11,10.88
2023-12-08,10.89
2023-12-07,10.78
2023-12-06,10.78
2023-12-05,10.89
2023-12-04,10.92
2023-12-01,11.18
2023-11-30,10.91
2023-11-29,10.99
2023-11-28,10.87
2023-11-27,10.92
2023-11-24,10.97
2023-11-22,11.0
2023-11-21,11.23
2023-11-20,11.47
2023-11-17,11.53
2023-11-16,10.95
2023-11-15,11.31
2023-11-14,11.31
2023-11-13,11.44
2023-11-10,11.44
2023-11-09,12.13
2023-11-08,14.59
2023-11-07,12.58
2023-11-06,12.7
2023-11-03,13.65
2023-11-02,14.18
2023-11-01,14.19
2023-10-31,13.73
2023-10-30,14.07
2023-10-27,14.2
2023-10-26,14.17
2023-10-25,14.4
2023-10-24,14.38
2023-10-23,14.31
2023-10-20,13.99
2023-10-19,14.18
2023-10-18,14.51
2023-10-17,14.72
2023-10-16,14.65
2023-10-13,14.94
2023-10-12,15.4
2023-10-11,16.15
2023-10-10,16.36
2023-10-09,15.67
2023-10-06,15.62
2023-10-05,15.81
2023-10-04,15.45
2023-10-03,15.5
2023-10-02,15.76
2023-09-29,15.88
2023-09-28,15.12
2023-09-27,14.92
2023-09-26,14.54
2023-09-25,15.04
2023-09-22,14.73
2023-09-21,14.27
2023-09-20,14.65
2023-09-19,13.82
2023-09-18,14.1
2023-09-15,13.95
2023-09-14,14.26
2023-09-13,15.1
2023-09-12,16.08
2023-09-11,15.38
2023-09-08,15.4
2023-09-07,15.34
2023-09-06,15.54
2023-09-05,15.835
2023-09-01,15.98
2023-08-31,15.9
2023-08-30,15.99
2023-08-29,15.41
2023-08-28,15.51
2023-08-25,15.46
2023-08-24,15.45
2023-08-23,15.16
2023-08-22,15.45
2023-08-21,15.39
2023-08-18,15.41
2023-08-17,14.73
2023-08-16,14.13
2023-08-15,14.14
2023-08-14,14.34
2023-08-11,13.94
2023-08-10,13.61
2023-08-09,14.39
2023-08-08,12.63
2023-08-07,13.19
2023-08-04,12.9
2023-08-03,12.82
2023-08-02,12.84
2023-08-01,12.59
2023-07-31,12.77
2023-07-28,12.7
2023-07-27,12.63
2023-07-26,12.65
2023-07-25,12.84
2023-07-24,12.69
2023-07-21,13.075
2023-07-20,13.15
2023-07-19,12.44
2023-07-18,12.27
2023-07-17,12.69
2023-07-14,12.72
2023-07-13,12.94
2023-07-12,13.05
2023-07-11,13.07
2023-07-10,13.55
2023-07-07,12.79
2023-07-06,12.78
2023-07-05,13.0
2023-07-03,13.25
2023-06-30,13.42
2023-06-29,13.25
2023-06-28,13.54
2023-06-27,13.11
2023-06-26,13.03
2023-06-23,13.32
2023-06-22,13.65
2023-06-21,13.65
2023-06-20,13.89
2023-06-16,14.12
2023-06-15,14.52
2023-06-14,15.07
2023-06-13,15.01
2023-06-12,15.93
2023-06-09,16.21
2023-06-08,15.25
2023-06-07,14.52
2023-06-06,14.7
2023-06-05,15.17
2023-06-02,15.34
2023-06-01,14.63
2023-05-31,14.13
2023-05-30,14.4
2023-05-26,14.45
2023-05-25,14.54
2023-05-24,15.09
2023-05-23,15.19
2023-05-22,15.785
2023-05-19,15.6
2023-05-18,15.99
2023-05-17,16.14
2023-05-16,15.88
2023-05-15,15.36
2023-05-12,15.34
2023-05-11,14.52
2023-05-10,13.95
2023-05-09,14.23
2023-05-08,12.25
2023-05-05,12.48
2023-05-04,12.46
2023-05-03,12.6
2023-05-02,12.63
2023-05-01,12.46
2023-04-28,12.61
2023-04-27,12.55
2023-04-26,12.35
2023-04-25,12.58
2023-04-24,13.0
2023-04-21,12.875
2023-04-20,12.82
2023-04-19,13.0
2023-04-18,12.82
2023-04-17,13.03
2023-04-14,12.58
2023-04-13,12.49
2023-04-12,12.77
2023-04-11,12.59
2023-04-10,12.6
2023-04-06,12.13
2023-04-05,12.54
2023-04-04,12.53
2023-04-03,13.11
2023-03-31,13.14
2023-03-30,15.41
2023-03-29,15.57
2023-03-28,15.29
2023-03-27,15.66
2023-03-24,15.8
2023-03-23,15.81
2023-03-22,16.61
2023-03-21,17.09
2023-03-20,16.14
2023-03-17,16.21
2023-03-16,16.93
2023-03-15,17.08
2023-03-14,17.31
2023-03-13,16.71
2023-03-10,16.66
2023-03-09,15.76
2023-03-08,16.21
2023-03-07,15.55
2023-03-06,14.98
2023-03-03,15.07
2023-03-02,14.75
2023-03-01,14.98
2023-02-28,14.83
2023-02-27,14.71
2023-02-24,15.12
2023-02-23,15.26
2023-02-22,15.525
2023-02-21,15.9
2023-02-17,16.34
2023-02-16,16.82
2023-02-15,16.06
2023-02-14,15.7
2023-02-13,14.66
2023-02-10,14.64
2023-02-09,14.58
2023-02-08,14.82
2023-02-07,14.99
2023-02-06,14.83
2023-02-03,15.46
2023-02-02,15.41
2023-02-01,15.61
2023-01-31,15.355
2023-01-30,15.81
2023-01-27,16.59
2023-01-26,16.98
2023-01-25,17.35
2023-01-24,17.4
2023-01-23,17.46
2023-01-20,17.93
2023-01-19,17.88
2023-01-18,17.74
2023-01-17,17.81
2023-01-13,18.0
2023-01-12,17.67
2023-01-11,17.9
2023-01-10,17.22
2023-01-09,15.86
2023-01-06,16.0
2023-01-05,15.41
2023-01-04,15.08
2023-01-03,14.85
2022-12-30,15.14
2022-12-29,14.91
2022-12-28,14.75
2022-12-27,14.61
2022-12-23,15.54
2022-12-22,15.75
2022-12-21,15.6
2022-12-20,15.5
2022-12-19,15.3
2022-12-16,16.41
2022-12-15,16.13
2022-12-14,16.08
2022-12-13,15.7
2022-12-12,15.88
2022-12-09,15.2
2022-12-08,15.28
2022-12-07,15.67
2022-12-06,15.01
2022-12-05,15.485
2022-12-02,14.94
2022-12-01,14.41
2022-11-30,14.46
2022-11-29,13.96
2022-11-28,13.95
2022-11-25,13.84
2022-11-23,14.39
2022-11-22,14.03
2022-11-21,13.81
2022-11-18,13.11
2022-11-17,12.87
2022-11-16,12.88
2022-11-15,12.83
2022-11-14,13.52
2022-11-11,13.52
2022-11-10,12.9
2022-11-09,12.15
2022-11-08,10.97
2022-11-07,10.72
2022-11-04,11.61
2022-11-03,11.72
2022-11-02,11.85
2022-11-01,12.4
2022-10-31,12.17
2022-10-28,12.06
2022-10-27,11.91
2022-10-26,12.02
2022-10-25,11.6
2022-10-24,11.54
2022-10-21,12.0
2022-10-20,11.58
2022-10-19,11.75
2022-10-18,11.77
2022-10-17,12.68
2022-10-14,12.38
2022-10-13,12.39
2022-10-12,11.73
2022-10-11,11.74
2022-10-10,11.69
2022-10-07,12.04
2022-10-06,12.22
2022-10-05,12.66
2022-10-04,12.9
2022-10-03,12.97
2022-09-30,12.62
2022-09-29,12.47
2022-09-28,12.78
2022-09-27,12.44
2022-09-26,12.17
2022-09-23,12.26
2022-09-22,12.49
2022-09-21,13.04
2022-09-20,13.16
2022-09-19,13.7
2022-09-16,13.59
2022-09-15,14.12
2022-09-14,13.85
2022-09-13,13.18
2022-09-12,13.73
2022-09-09,13.55
2022-09-08,12.9
2022-09-07,12.39
2022-09-06,12.28
2022-09-02,13.05
2022-09-01,12.68
2022-08-31,13.29
2022-08-30,12.76
2022-08-29,13.8
2022-08-26,13.86
2022-08-25,14.41
2022-08-24,14.72
2022-08-23,14.72
2022-08-22,13.81
2022-08-19,14.17
2022-08-18,14.16
2022-08-17,13.24
2022-08-16,13.07
2022-08-15,13.41
2022-08-12,13.63
2022-08-11,12.72
2022-08-10,12.64
2022-08-09,12.26
2022-08-08,13.99
2022-08-05,13.92
2022-08-04,13.39
2022-08-03,13.95
2022-08-02,14.44
2022-08-01,14.05
2022-07-29,13.75
2022-07-28,13.7
2022-07-27,13.8
2022-07-26,13.34
2022-07-25,14.02
2022-07-22,12.49
2022-07-21,12.43
2022-07-20,12.4
2022-07-19,11.86
2022-07-18,12.15
2022-07-15,12.45
2022-07-14,12.0
2022-07-13,11.38
2022-07-12,9.93
2022-07-11,9.07
2022-07-08,7.61
2022-07-07,6.05
2022-07-06,4.95
2022-07-05,5.21
2022-07-01,5.62
2022-06-30,5.71
2022-06-29,5.62
2022-06-28,5.98
2022-06-27,6.06
2022-06-24,5.96
