Date,Close Price
2024-01-03,40.83
2024-01-02,41.2
2023-12-29,43.18
2023-12-28,45.65
2023-12-27,67.0
2023-12-26,65.5
2023-12-22,65.3
2023-12-21,65.59
2023-12-20,65.826
2023-12-19,66.2
2023-12-18,66.95
2023-12-15,65.6
2023-12-14,64.63
2023-12-13,64.5
2023-12-12,64.38
2023-12-11,64.81
2023-12-08,56.25
2023-12-07,55.815
2023-12-06,56.4
2023-12-05,55.93
2023-12-04,55.48
2023-12-01,54.28
2023-11-30,53.12
2023-11-29,53.09
2023-11-28,52.75
2023-11-27,53.9
2023-11-24,54.9
2023-11-22,54.99
2023-11-21,54.9
2023-11-20,55.0
2023-11-17,55.16
2023-11-16,55.15
2023-11-15,55.5
2023-11-14,55.77
2023-11-13,55.57
2023-11-10,55.55
2023-11-09,55.0
2023-11-08,55.2
2023-11-07,54.99
2023-11-06,55.0
2023-11-03,55.1
2023-11-02,55.54
2023-11-01,55.0
2023-10-31,55.07
2023-10-30,55.0
2023-10-27,54.96
2023-10-26,55.32
2023-10-25,54.8
2023-10-24,56.43
2023-10-23,56.53
2023-10-20,56.06
2023-10-19,56.0
2023-10-18,56.58
2023-10-17,55.64
2023-10-16,55.0
2023-10-13,54.24
2023-10-12,53.75
2023-10-11,53.77
2023-10-10,53.52
2023-10-09,53.63
2023-10-06,53.0
2023-10-05,52.584
2023-10-04,52.55
2023-10-03,52.0
2023-10-02,54.11
2023-09-29,54.7
2023-09-28,54.15
2023-09-27,52.52
2023-09-26,52.05
2023-09-25,52.25
2023-09-22,52.0
2023-09-21,51.5
2023-09-20,51.25
2023-09-19,52.0
2023-09-18,52.03
2023-09-15,52.61
2023-09-14,53.25
2023-09-13,56.39
2023-09-12,56.05
2023-09-11,55.5
2023-09-08,55.83
2023-09-07,54.99
2023-09-06,53.5
2023-09-05,50.3
2023-09-01,50.1
2023-08-31,50.15
2023-08-30,50.12
2023-08-29,50.07
2023-08-28,50.1
2023-08-25,50.1
2023-08-24,50.1
2023-08-23,49.902
2023-08-22,50.1
2023-08-21,49.75
2023-08-18,49.15
2023-08-17,49.15
2023-08-16,49.25
2023-08-15,48.56
2023-08-14,50.62
2023-08-11,48.44
2023-08-10,47.98
2023-08-09,47.09
2023-08-08,47.05
2023-08-07,46.8
2023-08-04,46.5
2023-08-03,46.7
2023-08-02,46.82
2023-08-01,46.68
2023-07-31,47.0
2023-07-28,47.15
2023-07-27,47.15
2023-07-26,47.03
2023-07-25,46.75
2023-07-24,47.0
2023-07-21,47.01
2023-07-20,47.23
2023-07-19,47.28
2023-07-18,47.22
2023-07-17,47.0
2023-07-14,46.71
2023-07-13,46.9
2023-07-12,46.9
2023-07-11,47.0
2023-07-10,47.05
2023-07-07,46.99
2023-07-06,47.01
2023-07-05,47.05
2023-07-03,48.29
2023-06-30,47.88
2023-06-29,48.31
2023-06-28,48.25
2023-06-27,49.69
2023-06-26,50.14
2023-06-23,50.64
2023-06-22,49.25
2023-06-21,49.5
2023-06-20,49.5
2023-06-16,49.05
2023-06-15,49.95
2023-06-14,50.25
2023-06-13,50.74
2023-06-12,50.0
2023-06-09,50.2
2023-06-08,49.87
2023-06-07,49.6
2023-06-06,48.95
2023-06-05,48.7
2023-06-02,48.3075
2023-06-01,46.6
2023-05-31,45.75
2023-05-30,45.0
2023-05-26,45.51
2023-05-25,45.5
2023-05-24,46.01
2023-05-23,45.06
2023-05-22,44.8
2023-05-19,44.84
2023-05-18,44.1885
2023-05-17,43.81
2023-05-16,43.63
2023-05-15,43.11
2023-05-12,43.55
2023-05-11,43.95
2023-05-10,43.49
2023-05-09,43.3
