Date,Close Price
2024-01-02,9.0
2023-12-29,8.44
2023-12-28,8.81
2023-12-27,8.7
2023-12-26,8.71
2023-12-22,8.48
2023-12-21,8.15
2023-12-20,7.94
2023-12-19,8.23
2023-12-18,8.02
2023-12-15,7.98
2023-12-14,7.8
2023-12-13,7.81
2023-12-12,7.35
2023-12-11,7.56
2023-12-08,7.76
2023-12-07,7.86
2023-12-06,7.61
2023-12-05,7.44
2023-12-04,7.52
2023-12-01,7.61
2023-11-30,7.26
2023-11-29,7.03
2023-11-28,6.9
2023-11-27,6.92
2023-11-24,6.83
2023-11-22,6.88
2023-11-21,6.71
2023-11-20,6.84
2023-11-17,6.82
2023-11-16,6.55
2023-11-15,6.73
2023-11-14,6.77
2023-11-13,6.28
2023-11-10,6.35
2023-11-09,6.38
2023-11-08,6.81
2023-11-07,6.82
2023-11-06,6.49
2023-11-03,6.71
2023-11-02,6.45
2023-11-01,6.55
2023-10-31,6.57
2023-10-30,6.54
2023-10-27,6.41
2023-10-26,6.58
2023-10-25,6.74
2023-10-24,6.89
2023-10-23,6.81
2023-10-20,6.84
2023-10-19,6.98
2023-10-18,7.2
2023-10-17,7.56
2023-10-16,7.6
2023-10-13,7.39
2023-10-12,7.28
2023-10-11,7.63
2023-10-10,7.72
2023-10-09,7.53
2023-10-06,7.41
2023-10-05,7.2
2023-10-04,6.99
2023-10-03,7.05
2023-10-02,7.24
2023-09-29,7.75
2023-09-28,7.72
2023-09-27,7.74
2023-09-26,7.68
2023-09-25,7.55
2023-09-22,7.6
2023-09-21,7.73
2023-09-20,7.695
2023-09-19,8.04
2023-09-18,8.155
2023-09-15,7.96
2023-09-14,8.21
2023-09-13,8.18
2023-09-12,8.65
2023-09-11,8.9
2023-09-08,9.22
2023-09-07,9.21
2023-09-06,9.39
2023-09-05,9.26
2023-09-01,10.1
2023-08-31,10.02
2023-08-30,10.23
2023-08-29,10.06
2023-08-28,9.91
2023-08-25,9.69
2023-08-24,9.55
2023-08-23,9.59
2023-08-22,9.45
2023-08-21,9.4
2023-08-18,9.31
2023-08-17,9.09
2023-08-16,9.34
2023-08-15,9.5
2023-08-14,9.49
2023-08-11,9.34
2023-08-10,9.13
2023-08-09,9.05
2023-08-08,8.89
2023-08-07,8.68
2023-08-04,8.85
2023-08-03,9.31
2023-08-02,9.0
2023-08-01,9.2
2023-07-31,9.32
2023-07-28,9.08
2023-07-27,8.67
2023-07-26,8.79
2023-07-25,8.95
2023-07-24,9.14
2023-07-21,9.32
2023-07-20,9.02
2023-07-19,9.19
2023-07-18,9.51
2023-07-17,9.5
2023-07-14,9.51
2023-07-13,9.52
2023-07-12,9.72
2023-07-11,9.85
2023-07-10,10.18
2023-07-07,10.23
2023-07-06,10.64
2023-07-05,11.05
2023-07-03,11.25
2023-06-30,11.45
2023-06-29,11.44
2023-06-28,11.81
2023-06-27,11.58
2023-06-26,11.82
2023-06-23,11.93
2023-06-22,12.39
2023-06-21,12.64
2023-06-20,13.99
2023-06-16,12.97
2023-06-15,13.17
2023-06-14,12.93
2023-06-13,13.37
2023-06-12,13.2
2023-06-09,12.97
2023-06-08,12.79
2023-06-07,12.59
2023-06-06,12.57
2023-06-05,11.72
2023-06-02,11.36
2023-06-01,11.75
2023-05-31,11.39
2023-05-30,11.72
2023-05-26,12.05
2023-05-25,11.94
2023-05-24,13.09
2023-05-23,12.37
2023-05-22,13.85
2023-05-19,13.17
2023-05-18,12.27
2023-05-17,12.02
2023-05-16,11.365
2023-05-15,10.4
2023-05-12,10.44
2023-05-11,9.88
2023-05-10,9.89
2023-05-09,10.76
2023-05-08,8.31
2023-05-05,8.06
