fiscalDateEnding,reportedDate,ticker,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-11-02,AMR,6.65,6.46,0.19,2.9412
2023-06-30,2023-08-04,AMR,12.16,12.69,-0.53,-4.1765
2023-03-31,2023-05-08,AMR,17.01,14.13,2.88,20.3822
2022-12-31,2023-02-23,AMR,13.37,15.07,-1.7,-11.2807
2022-09-30,2022-11-07,AMR,14.21,16.81,-2.6,-15.467
2022-06-30,2022-08-08,AMR,30.03,30.8,-0.77,-2.5
2022-03-31,2022-05-05,AMR,20.52,19.04,1.48,7.7731
2021-12-31,2022-03-07,AMR,13.45,11.44,2.01,17.5699
2021-09-30,2021-11-05,AMR,4.4,4.14,0.26,6.2802
2021-06-30,2021-08-06,AMR,-1.03,-0.77,-0.26,-33.7662
2021-03-31,2021-05-10,AMR,-1.79,-2.06,0.27,13.1068
2020-12-31,2021-03-15,AMR,-3,-2.82,-0.18,-6.383
2020-09-30,2020-11-09,AMR,-3.75,-3.04,-0.71,-23.3553
2020-06-30,2020-08-07,AMR,-13.02,-3.33,-9.69,-290.991
2020-03-31,2020-05-11,AMR,-0.33,-1.61,1.28,79.5031
2019-12-31,2020-03-18,AMR,-3.71,-2.09,-1.62,-77.512
2019-09-30,2019-11-14,AMR,-2.29,0.85,-3.14,-369.4118
2019-06-30,2019-08-14,AMR,2.58,1.58,1,63.2911
2019-03-31,2019-04-01,AMR,0.2,3.83,-3.63,-94.7781
2018-12-31,2018-12-31,AMR,10.12,-0.03,10.15,33833.3333
2018-09-30,2018-11-14,AMR,1.15,3.74,-2.59,-69.2513
2018-06-30,2018-08-16,AMR,5.56,3.94,1.62,41.1168
2018-03-31,2018-05-24,AMR,5.58,4.79,0.79,16.4927
2017-12-31,2018-03-29,AMR,1.7,1.64,0.06,3.6585
2017-09-30,2017-11-27,AMR,0.93,1.02,-0.09,-8.8235
2017-06-30,2017-08-28,AMR,1.16,2.8,-1.64,-58.5714
2017-03-31,2017-05-30,AMR,3.47,5.48,-2.01,-36.6788
2016-12-31,2017-03-31,AMR,3.24,0.21,3.03,1442.8571
2016-09-30,2016-11-29,AMR,-4.9641,None,None,None
2023-09-30,2023-10-26,MO,1.28,1.29,-0.01,-0.7752
2023-06-30,2023-08-01,MO,1.31,1.3,0.01,0.7692
2023-03-31,2023-04-27,MO,1.18,1.18,0,0
2022-12-31,2023-02-01,MO,1.18,1.17,0.01,0.8547
2022-09-30,2022-10-27,MO,1.28,1.3,-0.02,-1.5385
2022-06-30,2022-07-28,MO,1.26,1.25,0.01,0.8
2022-03-31,2022-04-28,MO,1.12,1.09,0.03,2.7523
2021-12-31,2022-01-27,MO,1.09,1.08,0.01,0.9259
2021-09-30,2021-10-28,MO,1.22,1.26,-0.04,-3.1746
2021-06-30,2021-07-29,MO,1.23,1.18,0.05,4.2373
2021-03-31,2021-04-29,MO,1.07,1.05,0.02,1.9048
2020-12-31,2021-01-28,MO,0.99,1.02,-0.03,-2.9412
2020-09-30,2020-10-30,MO,1.19,1.16,0.03,2.5862
2020-06-30,2020-07-28,MO,1.09,1.06,0.03,2.8302
2020-03-31,2020-04-30,MO,1.09,0.98,0.11,11.2245
2019-12-31,2020-01-30,MO,1.02,1.02,0,0
2019-09-30,2019-10-31,MO,1.19,1.15,0.04,3.4783
2019-06-30,2019-07-30,MO,1.1,1.11,-0.01,-0.9009
2019-03-31,2019-04-25,MO,0.9,0.92,-0.02,-2.1739
2018-12-31,2019-01-31,MO,0.95,0.95,0,0
2018-09-30,2018-10-25,MO,1.08,1.07,0.01,0.9346
2018-06-30,2018-07-26,MO,1.01,1,0.01,1
2018-03-31,2018-04-26,MO,0.95,0.92,0.03,3.2609
2017-12-31,2018-02-01,MO,0.91,0.8,0.11,13.75
2017-09-30,2017-10-26,MO,0.9,0.87,0.03,3.4483
2017-06-30,2017-07-27,MO,0.85,0.86,-0.01,-1.1628
2017-03-31,2017-05-02,MO,0.73,0.74,-0.01,-1.3514
2016-12-31,2017-02-01,MO,0.68,0.67,0.01,1.4925
2016-09-30,2016-10-27,MO,0.82,0.8,0.02,2.5
2016-06-30,2016-07-27,MO,0.81,0.8,0.01,1.25
2016-03-31,2016-04-28,MO,0.72,0.68,0.04,5.8824
2015-12-31,2016-01-28,MO,0.67,0.68,-0.01,-1.4706
2015-09-30,2015-10-29,MO,0.75,0.75,0,0
2015-06-30,2015-07-29,MO,0.74,0.71,0.03,4.2254
2015-03-31,2015-04-23,MO,0.63,0.62,0.01,1.6129
